カテゴリ,難易度,問題文,選択肢１,選択肢２,選択肢３,選択肢４,正解番号,解説,関連交通ルール
ระบบตั๋วสีเขียว,ซูพีเรียร์,กําหนดเวลาการชําระเงินชั่วคราวใดที่สอดคล้องกับคําอธิบายของระบบเมื่อยอมรับการละเมิดด้วยตั๋วจักรยานสีน้ําเงิน,โดยหลักการภายใน 7 วันนับจากวันหลังจากการบังคับใช้,ในวันที่บังคับใช้,ภายใน 30 วันหลังจากได้รับแจ้ง,ไม่มีกําหนดเวลา,1,ตามคําอธิบายของระบบหากรับรู้การละเมิดจะดําเนินการตั้งแต่วันหลังจากการบังคับใช้เริ่มต้น โดยหลักการแล้วขั้นตอนคือชําระเงินชั่วคราวภายใน 7 วัน,เว็บไซต์พอร์ทัลจักรยานของสํานักงานตํารวจแห่งชาติ สํานักงานตํารวจแห่งชาติ Bicycle Portal Site การชําระเงินชั่วคราว
เมาแล้วขับ,ซูพีเรียร์,ข้อความใดต่อไปนี้เกี่ยวกับการเมาแล้วขับบนจักรยานที่ถูกต้อง,จักรยานไม่ใช่ยานพาหนะ ดังนั้นจึงไม่รวม,ห้ามเมาแล้วขับแม้ขี่จักรยาน,ห้ามเมาเท่านั้นไม่รวมผู้ที่อยู่ภายใต้อิทธิพลของแอลกอฮอล์,ห้ามเฉพาะเวลากลางคืน,2,ห้ามเมาแล้วขับแม้ขี่จักรยาน จะถือว่าเป็นการละเมิดอย่างร้ายแรง,พระราชบัญญัติจราจรทางบกมาตรา 65: ห้ามเมาแล้วขับแม้จักรยาน
จักรยานยนต์ขนาดเล็กที่ระบุ,ซูพีเรียร์,ข้อความใดต่อไปนี้เกี่ยวกับจักรยานขนาดเล็กที่ระบุถูกต้อง,หากคุณมีแป้นเหยียบมันจะกลายเป็นจักรยานยนต์ขนาดเล็กที่ระบุโดยอัตโนมัติ,มันเป็นไปตามกฎเดียวกันกับจักรยานยนต์ทั่วไปและไม่มีการจํากัดอายุ,เป็นจักรยานเองและจัดเป็นยานพาหนะขนาดเล็ก,หากตรงตามข้อกําหนดบางประการ ไม่จําเป็นต้องมีใบอนุญาต แต่แทนที่จะใช้จักรยาน เป็นจักรยานขนาดเล็กที่ระบุ,4,จักรยานขนาดเล็กที่ระบุไม่ใช่จักรยาน แต่เป็นจักรยานยนต์ประเภทหนึ่งเป็นไปตามข้อกําหนดบางประการและไม่ต้องการใบอนุญาต แต่ตามกฎหมายแล้วจัดประเภทแยกต่างหากจากจักรยาน,
ขณะใช้สมาร์ทโฟนของฉัน,ซูพีเรียร์,"ข้อใดต่อไปนี้ใกล้เคียงกับการกระทําต้องห้ามในการ ""ขี่ขณะขี่จักรยาน"" มากที่สุด",จับมือขณะขับรถ (ยกเว้นเมื่อหยุด) เพื่อโทรออก หรือจ้องมองหน้าจอ,พกพาสมาร์ทโฟนของคุณโดยปิดเครื่อง,พกสมาร์ทโฟนไว้ในกระเป๋าของคุณ,พกสมาร์ทโฟนแม้ในขณะที่รถหยุดอยู่,1,ตามระบบขณะขี่จักรยาน (ยกเว้นเมื่อหยุด) โดยใช้สมาร์ทโฟนหรืออุปกรณ์ที่คล้ายกัน ห้ามถือโทรศัพท์ขณะถือโทรศัพท์ไว้ในมือหรือจ้องหน้าจอ,มาตรา 71 วรรค 5-5 ของพระราชบัญญัติจราจรทางบก: ห้ามใช้มือถือหรือหยุดหน้าจอขณะขับรถ (ยกเว้นเมื่อหยุด)
จักรยานไฟฟ้า,ซูพีเรียร์,ข้อใดต่อไปนี้เป็นฉลากที่ถูกต้องสําหรับจักรยานที่มีระบบช่วยประเภทที่ได้รับการอนุมัติประเภท,เครื่องหมาย PSC,เครื่องหมาย PSE,เครื่องหมาย TS,เครื่องหมาย JIS,3,ภายใต้ระบบการอนุมัติประเภทของสํานักงานตํารวจแห่งชาติเครื่องหมาย TS จะแสดงบนจักรยานที่ติดตั้งระบบช่วยขับเคลื่อนที่ได้มาตรฐาน,เว็บไซต์พอร์ทัลจักรยานของสํานักงานตํารวจแห่งชาติ ระบบอนุมัติประเภทของสํานักงานตํารวจแห่งชาติจักรยานพร้อมระบบช่วยขับเคลื่อน
การกระทําที่เป็นอันตราย,ซูพีเรียร์,การขี่จักรยานในอุโมงค์หรือบนสะพานแคบ ๆ ที่สอดคล้องกับข้อผูกพันในการขับขี่อย่างปลอดภัยคือ อันไหน?,เพื่อหลีกเลี่ยงการรบกวนรถที่อยู่ข้างหลัง ให้เพิ่มความเร็วของคุณ ผ่านไปในครั้งเดียว,ขับรถโดยปิดไฟ ทําให้มองเห็นเฉพาะรถได้ยาก เพื่อทํา,ดําเนินการอย่างช้าๆ ในขณะที่ตรวจสอบความปลอดภัยทั้งด้านหลังและด้านหน้าอย่างละเอียด,เนื่องจากภาระผูกพันในการขับขี่อย่างปลอดภัยมีผลบังคับใช้กับรถยนต์เท่านั้นจักรยานจึงสามารถเดินทางด้วยความเร็วของตัวเองได้,3,ในพื้นที่ที่มีทัศนวิสัยไม่ดีและมีความเสี่ยงสูงต่อการสัมผัส การขับขี่อย่างช้าๆ และตรวจสอบความปลอดภัยอย่างเพียงพอเป็นสิ่งสําคัญ,พระราชบัญญัติจราจรทางบก มาตรา 42
ทางเดินเท้า,ซูพีเรียร์,กรณีใดที่เหมาะสมที่สุดสําหรับจักรยานที่จะเดินทางบนทางเท้า?,ในวันที่มีสัมภาระจํานวนมาก คุณสามารถเดินบนทางเท้าได้ตลอดเวลา,เมื่อได้รับอนุญาตโดยป้าย ฯลฯ หรือเมื่อมีข้อยกเว้น เช่น ผู้ที่มีอายุต่ํากว่า 13 ปีหรือมากกว่า 70 ปี,เมื่อรีบร้อน,หากคุณรู้สึกว่ามีรถมากเกินไป คุณก็สามารถเคลื่อนตัวไปบนทางเท้าได้อย่างอิสระ,2,"อนุญาตให้เดินทางบนทางเท้าได้เฉพาะเมื่อมีป้าย เมื่อบุคคลอายุต่ํากว่า 13, 70 ปีขึ้นไป หรือมีความพิการทางร่างกายกําลังขับรถ หรือในสถานการณ์ที่หลีกเลี่ยงไม่ได้",เว็บไซต์พอร์ทัลจักรยานของสํานักงานตํารวจแห่งชาติ สํานักงานตํารวจแห่งชาติ: กฎจราจรจักรยาน: ข้อยกเว้นสําหรับการเดินทางบนทางเท้า
ระบบตั๋วสีเขียว,ซูพีเรียร์,อายุใดที่เหมาะกับระบบแจ้งเตือนการละเมิดกฎจราจรของจักรยาน (Blue Ticket),อายุ 15 ปีขึ้นไป,อายุ 18 ปีขึ้นไป,อายุ 16 ปีขึ้นไป,ทุกเพศทุกวัย,3,ตามคําอธิบายของระบบ ตั๋วสีน้ําเงินสําหรับจักรยานโดยทั่วไปจะจํากัดเฉพาะผู้ที่มีอายุ 16 ปีขึ้นไปเท่านั้น,เว็บไซต์พอร์ทัลจักรยานของกรมตํารวจนครบาล　 อายุที่มีสิทธิ์: ตั๋วสีน้ําเงินโดยทั่วไปคือ 16 ปีขึ้นไป
กฎพื้นฐาน,ซูพีเรียร์,ข้อใดต่อไปนี้เป็นความเข้าใจที่ถูกต้องเกี่ยวกับอัตราส่วนแรงเสริมของจักรยานไฟฟ้าในช่วงความเร็วระหว่าง 10 กม./ชม. ถึง 24 กม./ชม.,ยิ่งความเร็วสูงเท่าใด อัตราส่วนของกําลังเสริมต่อกําลังมนุษย์ก็จะยิ่งน้อยลงเท่านั้น,โดยไม่คํานึงถึงความเร็ว ก็สามารถช่วยเหลือกําลังคนในอัตราส่วนคงที่ได้เสมอ,ไม่ควรใช้พลังงานเสริมเลยภายในช่วงความเร็วนี้,เกิน 20 กม./ชม. ขีดจํากัดอัตราส่วนแรงเสริมจะหายไป,1,มาตรา 1-3 รายการที่ 1 มาตรา (2) กําหนดขีดจํากัดบนโดยสูตรที่ลดอัตราส่วนแรงเสริมตามความเร็ว,ระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก ระเบียบการบังคับใช้พระราชบัญญัติจราจรโคลนมาตรา 1-3
กฎพื้นฐาน,ซูพีเรียร์,เงื่อนไขใดต่อไปนี้ที่สอดคล้องกับเจตนารมณ์ของมาตรา 63-4 ของพระราชบัญญัติจราจรทางบกในการอนุญาตให้จักรยานธรรมดาเดินทางบนทางเท้าได้มากที่สุด,โดยหลักการแล้วจักรยานจะใช้บนทางเท้า โดยมีข้อยกเว้นในการจราจรบนถนน,อนุญาตให้ใช้ทางเท้าได้เฉพาะเมื่อมีป้ายบอกทางกําหนดไว้ หรือเมื่อเป็นอันตรายต่อเด็กหรือผู้สูงอายุที่จะเดินทางบนถนน,จักรยานได้รับอนุญาตให้ผ่านบนทางเท้ากว้างได้เสมอ,ผู้ใช้จักรยานได้รับอนุญาตให้ใช้ทางเท้าได้ทุกเมื่อที่รู้สึกว่าเป็นอันตราย,2,จักรยานธรรมดาสามารถเดินทางบนทางเท้าได้ก็ต่อเมื่อมีป้ายบอกทางกําหนดไว้ หรือเมื่อเป็นอันตรายต่อเด็ก ทารก ผู้สูงอายุที่จะเดินทางบนถนน หรือในสถานการณ์ที่หลีกเลี่ยงไม่ได้อื่นๆ,กฎห้าข้อสําหรับการใช้จักรยานอย่างปลอดภัย | สํานักงานตํารวจแห่งชาติ พระราชบัญญัติจราจรทางบก มาตรา 63-4
กฎพื้นฐาน,ซูพีเรียร์,ตามพระราชบัญญัติจราจรทางบก จักรยานรวมหมวดหมู่ใดบ้าง?,รถยนต์,คนเดินเท้า,ยานพาหนะขนาดเล็ก,ไม่มีข้อมูลจําเพาะ,3,"มาตรา 2 ของพระราชบัญญัติจราจรทางบกกําหนดว่าจักรยานจัดเป็น ""ยานพาหนะขนาดเล็ก""",พระราชบัญญัติจราจรทางบก มาตรา 2: บทบัญญัติเกี่ยวกับคําจํากัดความของยานพาหนะขนาดเล็กและจักรยาน
การกระทําที่เป็นอันตราย,ซูพีเรียร์,ข้อใดต่อไปนี้เป็นคําอธิบายที่เหมาะสมที่สุดสําหรับการขี่จักรยาน (รายละเอียดตามข้อบังคับของจังหวัดมีให้แยกต่างหาก),ด้วยอุปกรณ์ขึ้นเครื่อง คุณสามารถบรรทุกคนได้มากเท่าที่คุณต้องการ,โดยทั่วไปห้ามขับรถกับผู้คนในสถานที่ที่ไม่มีสิ่งอํานวยความสะดวกในการขึ้นเครื่อง และจํานวนผู้โดยสารในยานพาหนะขนาดเล็กถูกจํากัดโดยข้อบังคับของคณะกรรมการความปลอดภัยสาธารณะ,อนุญาตให้นั่งอานได้หนึ่งคนและอีกคนบนเตียงบรรทุกสินค้าเสมอ,ไม่มีกฎเกณฑ์เกี่ยวกับจํานวนผู้โดยสารบนจักรยาน,2,ตามมาตรา 55 และ 57 ของพระราชบัญญัติจราจรทางบก โดยทั่วไปห้ามบรรทุกผู้คนในสถานที่ที่ไม่มีสิ่งอํานวยความสะดวกในการขึ้นเครื่อง และคณะกรรมการความปลอดภัยสาธารณะกําหนดมาตรฐานสําหรับจํานวนผู้โดยสารในยานพาหนะขนาดเล็ก,พระราชบัญญัติจราจรทางบก มาตรา 55 และ 57 ข้อบังคับเกี่ยวกับวิธีการขึ้นเครื่องและข้อจํากัดของผู้โดยสาร
กฎพื้นฐาน,ซูพีเรียร์,วิธีใดที่สอดคล้องกับเจตนารมณ์ของมาตรา 25 ของพระราชบัญญัติจราจรทางบกมากที่สุดเมื่อเลี้ยวซ้ายเมื่อจักรยานเข้าสถานที่นอกถนน,ใกล้กับขอบขวาแล้วเลี้ยวซ้าย,คุณสามารถเลี้ยวซ้ายหักศอกได้จากใกล้กึ่งกลางถนน,เคลื่อนไปทางด้านซ้ายสุดของถนนล่วงหน้าให้ไกลที่สุด จากนั้นค่อยๆ เลี้ยวซ้าย,เพียงแค่ข้ามทางเท้าแล้วเลี้ยว,3,เมื่อเลี้ยวซ้ายเพื่อออกจากถนน ตามมาตรา 25 ของพระราชบัญญัติจราจรทางบก คุณต้องชิดขอบซ้ายของถนนให้มากที่สุด และชะลอความเร็วก่อนเลี้ยวซ้าย,กฎห้าข้อสําหรับการใช้จักรยานอย่างปลอดภัย | สํานักงานตํารวจแห่งชาติ พระราชบัญญัติจราจรทางบก มาตรา 25
นโยบายการบังคับใช้,ซูพีเรียร์,ตัวอย่างใดของตั๋วสีน้ําเงินที่ระบุไว้ในคําถามที่พบบ่อยของสํานักงานตํารวจแห่งชาติว่าไม่ใช่คําเตือน แต่เป็นตั๋วสีน้ําเงิน,เดินช้าๆ บนทางเท้า,ไม่สวมหมวกกันน็อค,ทางเข้าที่ Barrier Crossing,การใช้วัสดุสะท้อนแสง,3,ตามคําถามที่พบบ่อยของสํานักงานตํารวจแห่งชาติ ตัวอย่างต่างๆ เช่น การเข้าทางม้าลาย เบรกจักรยานทํางานผิดปกติ และการใช้ (หรือถือโทรศัพท์มือถือ) ถูกระบุไว้เป็นตัวอย่างของสิทธิ์ตั๋วสีน้ําเงินแทนที่จะเป็นคําเตือน,เว็บไซต์พอร์ทัลจักรยานของสํานักงานตํารวจแห่งชาติ คําถามที่พบบ่อยเกี่ยวกับเว็บไซต์พอร์ทัลจักรยาน: ตัวอย่างการละเมิดที่เป็นอันตรายและเป็นอันตราย
ทางแยกและทางข้าม,ซูพีเรียร์,วิธีใดที่เหมาะสมในการจัดการจักรยานใกล้ทางม้าลาย?,ทางม้าลายมีความสําคัญสําหรับคนเดินเท้าและต้องไม่กีดขวางทางเดินเท้า,การกดกริ่งช่วยให้ผ่านลําดับความสําคัญ,แม้ว่าจะมีคนเดินเท้า แต่จักรยานก็ไปก่อนได้,จักรยานต้องไม่ข้ามทางม้าลาย,1,คนเดินเท้าเป็นสถานที่ที่คนเดินเท้ามีความสําคัญ และจักรยานต้องไม่กีดขวางทางเดินเท้า และต้องหยุดหรือยอมจํานนตามความจําเป็น,เว็บไซต์พอร์ทัลจักรยานของสํานักงานตํารวจแห่งชาติ สํานักงานตํารวจแห่งชาติ: กฎจราจรจักรยาน: ข้อยกเว้นสําหรับการเดินทางบนทางเท้า ทางม้าลาย และลําดับความสําคัญของคนเดินเท้า
การกระทําที่เป็นอันตราย,ซูพีเรียร์,ภาระผูกพันใดภายใต้มาตรา 72 ของพระราชบัญญัติจราจรทางบกที่เหมาะสมเมื่อจักรยานก่อให้เกิดอุบัติเหตุจราจร,หากอีกฝ่ายได้รับบาดเจ็บเล็กน้อย คุณอาจออกจากพื้นที่ได้,ผู้ขับขี่ต้องหยุดขับรถทันที ปฐมพยาบาลผู้บาดเจ็บ และใช้มาตรการป้องกันอันตราย และแจ้งตํารวจ,ไม่จําเป็นต้องใช้จักรยานในการรายงานอุบัติเหตุ,หากเป็นอุบัติเหตุความเสียหายต่อทรัพย์สิน ก็ไม่จําเป็นต้องทําอะไรเลย,2,มาตรา 72 แห่งพระราชบัญญัติจราจรทางบกกําหนดให้ผู้ขับขี่ยานพาหนะที่ประสบอุบัติเหตุจราจรต้องให้ความช่วยเหลือทางการแพทย์แก่ผู้บาดเจ็บ,กฎห้าข้อสําหรับการใช้จักรยานอย่างปลอดภัย | สํานักงานตํารวจแห่งชาติ พระราชบัญญัติจราจรทางบก มาตรา 72
เบรค,ระดับเริ่มต้น,ข้อใดต่อไปนี้เป็นจํานวนค่าปรับที่ถูกต้องสําหรับความล้มเหลวของระบบเบรกรถยนต์,"10,000 เยน","6,000 เยน","5,000 เยน","7,000 เยน",3,"ตามรายการละเมิดของกรมตํารวจนครบาล ค่าปรับสําหรับเบรกจักรยานล้มเหลวคือ 5,000 เยน",เว็บไซต์พอร์ทัลจักรยานของกรมตํารวจนครบาล　 กรมตํารวจนครบาล รายชื่อระบบเบรกจักรยานผิดพลาด
กฎพื้นฐาน,ระดับเริ่มต้น,ขนาดตัวถังแบบใดที่เหมาะกับจักรยานมาตรฐาน,ยาว 200 ซม. หรือน้อยกว่า กว้าง 70 ซม. หรือน้อยกว่า,เฉพาะความยาวสูงสุดเท่านั้นที่คงที่ แต่ไม่มีขีดจํากัดบนของความกว้าง,ยาว 190 ซม. หรือน้อยกว่า กว้าง 60 ซม. หรือน้อยกว่า,ยาว 180 ซม. หรือน้อยกว่า กว้าง 80 ซม. หรือน้อยกว่า,3,"ข้อบังคับการบังคับใช้ระบุว่าจักรยานมาตรฐานต้องมี ""ยาวไม่เกิน 190 ซม. กว้าง 60 ซม. หรือน้อยกว่า"" สิ่งใดนอกเหนือจากนี้ไม่ถือว่าเป็นจักรยานธรรมดา",ข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบกมาตรา 9-2-2 มาตรฐานขนาดจักรยาน (ความยาวและความกว้าง)
