問題番号,問題文,難易度,カテゴリ,正解,解説,法令参照
11,ไม่ว่าสภาพแวดล้อมจะเป็นอย่างไร ตราบใดที่คุณปฏิบัติตามขีดจํากัดความเร็ว คุณก็สามารถขี่จักรยานได้ทุกทาง,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,✕,มาตรา 70 กําหนดให้ขับรถด้วยความเร็วและไม่เป็นอันตรายต่อผู้อื่นตามสภาพถนนและการจราจร ซึ่งเป็นส่วนหนึ่งของหน้าที่ในการขับขี่อย่างปลอดภัย พระราชบัญญัติจราจรทางบก,มาตรา 70 ของกฎหมายจราจรทางบกกําหนดภาระหน้าที่ในการขับขี่อย่างปลอดภัย
12,การขี่ขณะจ้องมองหน้าจอสมาร์ทโฟนในขณะที่จักรยานไม่ได้หยุดถือเป็นการละเมิดข้อผูกพันในการขับขี่อย่างปลอดภัย,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,การจ้องมองหน้าจอโทรศัพท์มือถือหรืออุปกรณ์ที่คล้ายกันขณะขับรถถือเป็นการไม่ใส่ใจล่วงหน้าและเป็นการกระทําที่เป็นอันตรายซึ่งละเมิดหน้าที่ในการขับขี่อย่างปลอดภัย พระราชบัญญัติจราจรทางบก 7,มาตรา 70 และ 71 ของพระราชบัญญัติจราจรทางบก: บทบัญญัติเกี่ยวกับภาระผูกพันในการขับขี่อย่างปลอดภัยและการใช้โทรศัพท์มือถือ ฯลฯ
13,การขี่จักรยานโดยไม่ได้ควบคุมพวงมาลัยอย่างเพียงพอ เช่น การถือร่มหรือใช้งานด้วยมือเดียว อาจถือเป็นการละเมิดหน้าที่ในการขับขี่อย่างปลอดภัย,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,การขับขี่โดยไม่ใช้งานพวงมาลัยหรือเบรกอย่างถูกต้องอาจละเมิดหน้าที่ในการขับขี่อย่างปลอดภัย (มาตรา 70) และอาจถูกบังคับใช้ พระราชบัญญัติจราจรทางบก,มาตรา 70 และ 71 ของพระราชบัญญัติจราจรทางบก: บทบัญญัติเกี่ยวกับการขับขี่ในลักษณะที่เป็นอุปสรรคต่อการบังคับเลี้ยวอย่างปลอดภัย
14,นักปั่นจักรยานที่เป็นผู้ใหญ่ต้องสวมอุปกรณ์หมวกกันน็อคโดยเฉพาะตามกฎหมาย,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,มาตรา 63-11 กําหนดให้นักปั่นจักรยานทุกวัยต้องสวมหมวกกันน็อค พระราชบัญญัติจราจรทางบก 7,มาตรา 63-11 ของพระราชบัญญัติจราจรทางบก: ภาระผูกพันสําหรับผู้ขับขี่จักรยานต้องสวมหมวกนิรภัย
15,ผู้ที่รับผิดชอบในการปกป้องเด็กหรือทารกต้องพยายามตรวจสอบให้แน่ใจว่าเด็กหรือผู้อื่นขี่จักรยานโดยสวมหมวกกันน็อค,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,มาตรา 63-11 ยังกําหนดภาระผูกพันในการส่งเสริมการใช้หมวกนิรภัยโดยผู้ปกครองของเด็กและเด็กเล็ก พระราชบัญญัติจราจรทางบก 7,มาตรา 63-11 ของพระราชบัญญัติจราจรทางบก: ภาระผูกพันในการพยายามสวมหมวกนิรภัยสําหรับเด็กและเด็กเล็ก
16,โดยทั่วไปไม่อนุญาตให้จักรยานเดินทางทางด้านขวาของถนนโดยฝั่งละหนึ่งเลน,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,✕,ยานพาหนะขนาดเล็กจะต้องขับทางด้านซ้ายของถนน และโดยทั่วไปไม่อนุญาตให้ขับขี่ด้วยมือขวา ซึ่งเพิ่มความเสี่ยงต่อการชนด้านหน้า พระราชบัญญัติจราจรทางบก 7,มาตรา 17 และ 18 ของพระราชบัญญัติจราจรทางบก: บทบัญญัติเกี่ยวกับหมวดหมู่การจราจรของยานพาหนะและหลักการขับขี่ด้วยมือซ้าย
17,ในเวลากลางคืน การสวมวัสดุสะท้อนแสงหรือเสื้อผ้าสีสดใสถือเป็นสิ่งที่พึงปรารถนาจากมุมมองของภาระผูกพันทางกฎหมายและภาระผูกพันในการขับขี่อย่างปลอดภัย,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,ในเวลากลางคืนการปรับปรุงทัศนวิสัยเป็นสิ่งสําคัญและขอแนะนําอย่างยิ่งให้ใช้วัสดุสะท้อนแสงจากมุมมองของการป้องกันอุบัติเหตุ พระราชบัญญัติจราจรทางบก 7,มาตรา 70 ของพระราชบัญญัติจราจรทางบก: แนวคิดเป็นส่วนหนึ่งของภาระผูกพันในการรับรองการขับขี่และทัศนวิสัยที่ปลอดภัยในเวลากลางคืน
18,บนเส้นทางโรงเรียนและใกล้โรงเรียน จักรยานจะต้องใส่ใจเป็นพิเศษกับความเร็วและตําแหน่งการจราจรเพื่อความปลอดภัยของเด็กและผู้อื่น,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,ในพื้นที่ที่มีความเสี่ยงสูงที่เด็กจะวิ่งหนี ควรใช้ความระมัดระวังเป็นพิเศษตามภาระผูกพันในการขับขี่อย่างปลอดภัย พระราชบัญญัติจราจรทางบก 7,พระราชบัญญัติจราจรทางบก มาตรา 76: การกําหนดเส้นทางโรงเรียนที่เกี่ยวข้อง: หน้าที่ในการพิจารณาเพื่อความปลอดภัยบนเส้นทางโรงเรียน ฯลฯ (การรวมกันของกฎหมาย ประกาศ และข้อบัญญัติ)
19,หากคุณกําลังขับรถต่ํากว่าขีดจํากัดความเร็วบนทางลาดชันลงเนินไม่ว่าคุณจะวิ่งด้วยความเร็วมากแค่ไหนก็ไม่ถือเป็นการละเมิดหน้าที่ในการขับขี่อย่างปลอดภัย,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,✕,ขึ้นอยู่กับความลาดชันและสภาพถนนแม้แต่ความเร็วที่ต่ํากว่าขีด จํากัด ก็อาจเป็นอันตรายได้ดังนั้นจึงจําเป็นต้องเลือกความเร็วที่ปลอดภัยตามสถานการณ์ พระราชบัญญัติจราจรทางบก 7,พระราชบัญญัติจราจรทางบกมาตรา 70: ภาระผูกพันในการขับขี่อย่างปลอดภัยบนทางลาดลงเขา ฯลฯ
20,แม้ในสายฝนหรือลมแรง ก็ไม่จําเป็นต้องเปลี่ยนวิธีการขี่จักรยานหากคุณอยู่ในขีดจํากัดความเร็ว,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,✕,ในช่วงสภาพอากาศเลวร้ายระยะเบรกและทัศนวิสัยจะลดลงดังนั้นคุณต้องชะลอความเร็วและขับขี่อย่างระมัดระวังกว่าปกติ พระราชบัญญัติจราจรทางบก 7,พระราชบัญญัติจราจรทางบกมาตรา 70: การปรับความเร็ว ฯลฯ ตามภาระผูกพันในการขับขี่อย่างปลอดภัยในฝนตกหรือลมแรง
21,จักรยานซึ่งเป็นยานพาหนะขนาดเล็กสามารถเดินทางได้ตราบเท่าที่ติดตั้งแถบริมถนนทางด้านซ้ายของถนน ตราบใดที่ไม่กีดขวางการจราจรของคนเดินเท้าอย่างมีนัยสําคัญ,ระดับเริ่มต้น,กฎพื้นฐาน,〇,ตามมาตรา 17-2 ของพระราชบัญญัติจราจรทางบกยานพาหนะขนาดเล็กอาจเดินทางไปตามแถบริมถนนทางด้านซ้ายด้วยความเร็วและในลักษณะที่ไม่กีดขวางคนเดินถนน กฎห้าข้อสําหรับการใช้จักรยานอย่างปลอดภัย | 2022 การเข้าสู่หน่วยงานตรวจสอบสาธารณะ,มาตรา 17-2 ของพระราชบัญญัติจราจรทางบกกําหนดการจราจรริมถนนสําหรับยานพาหนะขนาดเล็กและการคํานึงถึงคนเดินเท้า
22,ตามข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบกจักรยานธรรมดาต้องมีสี่ล้อหรือน้อยกว่า,ระดับเริ่มต้น,กฎพื้นฐาน,〇,"มาตรา 9-2-2 ของข้อบังคับการบังคับใช้กําหนดให้โครงสร้างของจักรยานธรรมดาต้อง ""สี่ล้อหรือน้อยกว่า"" ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7",มาตรา 9-2-2 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: มาตรฐานสําหรับจํานวนล้อของจักรยานธรรมดา
23,มาตรฐานสําหรับจักรยานธรรมดารวมถึงข้อกําหนดว่าไม่มีรถข้างเคียง,ระดับเริ่มต้น,กฎพื้นฐาน,〇,มาตรา 9-2-2 ข้อ 2 ระบุไว้อย่างชัดเจนว่าเงื่อนไขสําหรับจักรยานธรรมดาคือต้องไม่ติดรถด้านข้าง ระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก,มาตรา 9-2-2 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: สามารถติดไซด์คาร์กับจักรยานธรรมดาได้หรือไม่
24,จักรยานธรรมดาสามารถติดตั้งเบาะนั่งสําหรับทารกได้ตราบเท่าที่ยังเป็นที่นั่งอื่นที่ไม่ใช่ที่นั่งคนขับ,ระดับเริ่มต้น,กฎพื้นฐาน,〇,ข้อบังคับการบังคับใช้ระบุว่า 'ยานพาหนะต้องไม่ติดตั้งอุปกรณ์ขึ้นเครื่องอื่นนอกเหนือจากที่นั่งคนขับ (ไม่รวมที่นั่งสําหรับทารก)' และอนุญาตให้ใช้เฉพาะที่นั่งสําหรับเด็กเท่านั้นเป็นข้อยกเว้น ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 9-2-2 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: ข้อจํากัดเกี่ยวกับที่นั่งสําหรับจักรยานธรรมดา
25,ต้องติดตั้งเบรกจักรยานธรรมดาในตําแหน่งที่ช่วยให้ใช้งานได้ง่ายขณะขี่,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,มาตรา 9-2-2 รายการที่ 2(ii) ระบุว่าระบบเบรกต้องอยู่ในตําแหน่งที่สามารถใช้งานได้ง่ายขณะขี่ ซึ่งเป็นเงื่อนไขสําหรับจักรยานทั่วไป ระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก,มาตรา 9-2-2 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: มาตรฐานสําหรับตําแหน่งการทํางานของระบบเบรก (เบรก)
26,จักรยานธรรมดาอาจมีส่วนที่ยื่นออกมาอย่างแหลมคมซึ่งอาจเป็นภัยคุกคามต่อคนเดินถนน,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,✕,มาตรา (i) ของบทความเดียวกันระบุว่าต้องไม่มีส่วนที่ยื่นออกมาแหลมคมที่อาจเป็นอันตรายต่อคนเดินเท้า และไม่อนุญาตให้ยื่นออกมาดังกล่าว ระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก,มาตรา 9-2-2 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: ห้ามยื่นออกมาอย่างมีคมซึ่งอาจเป็นภัยคุกคามต่อคนเดินเท้า
27,ตามมาตรฐานการเบรกของจักรยาน ก็เพียงพอที่จะเบรกล้อหน้าหรือล้อหลัง,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,✕,"มาตรา 9-3 ข้อ 1 กําหนดว่า ""ต้องเบรกล้อหน้าและล้อหลัง"" ซึ่งต้องมีความสามารถในการเบรกล้อทั้งสองข้าง ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7",มาตรา 9-3 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: มาตรฐานสําหรับอุปกรณ์เบรกจักรยาน (การเบรกล้อหน้าและล้อหลัง)
28,ระบบเบรกจักรยานต้องสามารถหยุดได้อย่างราบรื่นภายใน 3 เมตรที่ความเร็วเริ่มต้น 10 กม./ชม. บนพื้นผิวที่แห้งและเรียบ,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,มาตรา 9-3 ข้อ 2 ระบุเงื่อนไขไว้อย่างชัดเจน ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 9-3 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: ประสิทธิภาพการเบรกของจักรยาน (หยุดภายในระยะ 3 เมตรจาก 10 กม./ชม.)
29,อุปกรณ์สะท้อนแสงที่จัดเตรียมไว้บนจักรยานจะต้องสามารถยืนยันแสงสะท้อนได้อย่างง่ายดายเมื่อส่องสว่างจากด้านหลัง 100 เมตรในเวลากลางคืนด้วยไฟหน้า,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,ข้อ 9-4 ข้อ 1 กําหนดมาตรฐานสําหรับความสามารถในการยืนยันแสงสะท้อนได้อย่างง่ายดายเมื่อส่องไฟหน้าจากด้านหลัง 100 เมตร ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 9-4 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: มาตรฐานการมองเห็นของอุปกรณ์สะท้อนแสงจักรยาน (100 เมตรในเวลากลางคืน)
30,สีของแสงสะท้อนจากแผ่นสะท้อนแสงของจักรยานอาจเป็นสีเหลืองหรือสีเขียว,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,✕,"ข้อบังคับการบังคับใช้จํากัดสีของแสงสะท้อนไว้ที่ ""สีส้มหรือสีแดง"" และสีเหลืองหรือสีเขียวไม่เป็นไปตามมาตรฐาน ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7",มาตรา 9-4 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: มาตรฐานสําหรับสีของแสงสะท้อนในอุปกรณ์สะท้อนแสงจักรยาน
31,จักรยานที่ใช้มอเตอร์เพื่อชดเชยกําลังมนุษย์ (ที่เรียกว่าจักรยานไฟฟ้า) จะต้องมีมอเตอร์ไฟฟ้าเป็นมอเตอร์,ระดับเริ่มต้น,กฎพื้นฐาน,〇,มาตรา 1-3 วรรค 1 ข้อ (i) กําหนดให้มอเตอร์เป็นมอเตอร์ไฟฟ้า ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 1-3 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: ประเภทของมอเตอร์ (มอเตอร์ไฟฟ้า) ที่ใช้เสริมกําลังมนุษย์
32,จักรยานไฟฟ้าต้องได้รับการออกแบบเพื่อให้เมื่อถึงความเร็วสูงกว่า 24 กม./ชม. จะไม่มีแรงเสริมจากมอเตอร์,ระดับเริ่มต้น,กฎพื้นฐาน,〇,มาตรา 1-3 ข้อ 1(h) กําหนดว่าที่ความเร็ว 24 กม./ชม. หรือสูงกว่า จะไม่ใช้แรงเสริมจากเครื่องยนต์ ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 1-3 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: ที่ความเร็วสูงกว่า 24 กม./ชม.
33,ยานพาหนะขนาดเล็กที่ใช้มอเตอร์ต้องมีโครงสร้างที่ใช้มอเตอร์ไฟฟ้าเป็นเครื่องยนต์และทํางานขณะเดิน,ระดับเริ่มต้น,กฎพื้นฐาน,〇,มาตรา 1-2-3 ข้อ 2(i) กําหนดให้ใช้มอเตอร์ไฟฟ้าและต้องใช้งานยานพาหนะขณะเดิน ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 1-2-3 ของระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก: โครงสร้างของยานพาหนะขนาดเล็กที่ใช้มอเตอร์ (เช่น ขับรถขณะเดิน)
34,ยานพาหนะเคลื่อนที่ขนาดเล็กต้องได้รับการออกแบบให้มีความเร็วไม่เกิน 6 กม./ชม.,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,ข้อ 1-4 ข้อ 2 กําหนดว่าไม่อนุญาตให้ใช้ความเร็วเกิน 6 กม./ชม. ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 1-4 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: จํากัดความเร็วสูงสุดสําหรับยานพาหนะเคลื่อนที่ขนาดเล็ก
35,เครื่องยนต์สําหรับยานพาหนะเคลื่อนที่ขนาดเล็กอาจเป็นเครื่องยนต์สันดาปภายใน เช่น เครื่องยนต์เบนซิน,ระดับเริ่มต้น,กฎพื้นฐาน,✕,มาตรา 1-4 ข้อ 2(i) กําหนดว่าต้องใช้มอเตอร์ไฟฟ้าเป็นมอเตอร์เครื่องยนต์ และไม่ถือว่าเครื่องยนต์สันดาปภายใน ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 1-4 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: ประเภทของมอเตอร์ (มอเตอร์ไฟฟ้า) สําหรับยานพาหนะขนาดเล็กเพื่อการเคลื่อนย้าย
36,"จักรยานไฟฟ้าที่สอดคล้องกับมาตรา 1-3 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบกถือเป็น ""จักรยาน"" มากกว่าจักรยานที่ใช้เครื่องยนต์",ระดับเริ่มต้น,กฎพื้นฐาน,〇,ตามที่หน่วยงานตรวจสอบสาธารณะและแต่ละจังหวัดได้แจ้งให้ทราบว่าจักรยานที่ตรงตามมาตรฐานของกฎระเบียบเหล่านี้จะถือว่าเป็นจักรยาน ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,พระราชบัญญัติจราจรทางบก มาตรา 2 และระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก มาตรา 1-3: คําจํากัดความที่ใช้เป็นพื้นฐานในการแยกแยะระหว่างจักรยานไฟฟ้าและจักรยานยนต์
37,"จักรยานไฟฟ้าที่สอดคล้องกับมาตรา 1-3 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบกถือเป็น ""จักรยาน"" มากกว่าจักรยานที่ใช้เครื่องยนต์",ระดับเริ่มต้น,กฎพื้นฐาน,〇,"บทความนี้ต้องใช้จักรยานที่ติดตั้ง ""ระบบเบรก ฯลฯ"" โดยสมมติว่ามีอุปกรณ์เบรกที่มีประสิทธิภาพทั้งล้อหน้าและล้อหลัง ระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก",พระราชบัญญัติจราจรทางบก มาตรา 63-9 วรรค 1: พื้นฐานทางกฎหมายสําหรับมาตรฐานอุปกรณ์เบรก (เบรก) ที่จะจัดเตรียมไว้สําหรับจักรยาน
38,อุปกรณ์สะท้อนแสงของจักรยานต้องมีประสิทธิภาพที่ช่วยให้สามารถยืนยันการสะท้อนแสงได้ง่ายจากตําแหน่งที่ส่องสว่างเมื่อส่องสว่างจากด้านหลัง 100 เมตรในเวลากลางคืนด้วยไฟหน้า,ระดับเริ่มต้น,กฎพื้นฐาน,〇,นี่เป็นข้อกําหนดที่ระบุไว้อย่างชัดเจนในมาตรา 9-4 ข้อ 1 ของข้อบังคับการบังคับใช้ ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 9-4 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: อุปกรณ์สะท้อนแสงต้องมีประสิทธิภาพที่ช่วยให้สามารถยืนยันการสะท้อนแสงได้เมื่อส่องสว่างด้วยไฟหน้าจากระยะ 100 เมตรด้านหลังในเวลากลางคืน
39,ไม่อนุญาตให้ใช้เลนรถจักรยานยนต์ที่กําหนดโดยป้ายจราจรและวิธีการอื่น ๆ สําหรับจักรยานยนต์หรือรถยนต์เข้าและผ่าน,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,เส้นทางจักรยานเป็นเลนเฉพาะสําหรับยานพาหนะขนาดเล็ก เช่น จักรยาน และห้ามยานพาหนะอื่นๆ ผ่าน ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,พระราชบัญญัติจราจรทางบกมาตรา 17 และ 63-3: เลนจักรยานเป็นทางเดินสําหรับจักรยานและการใช้งานที่คล้ายคลึงกัน และไม่อนุญาตให้ใช้จักรยานและรถยนต์ผ่าน
40,ตามมาตรา 2 วรรค 3 ของพระราชบัญญัติจราจรทางบก ใครก็ตามที่เข็นจักรยานขณะเดินถือว่าเป็นคนเดินเท้า,ระดับเริ่มต้น,กฎพื้นฐาน,〇,บทความนี้กําหนดว่าคนที่เข็นรถขณะเดินถือเป็นคนเดินเท้า และสิ่งนี้ใช้กับจักรยานเช่นกัน ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 2 วรรค 3 แห่งพระราชบัญญัติจราจรทางบกกําหนดให้ผู้ใดเข็นยานพาหนะขณะเดินให้ถือว่าเป็นคนเดินเท้า
41,ใกล้โซนทางม้าลายจักรยานต้องข้ามถนนโดยใช้โซนทางข้ามจักรยาน,ระดับเริ่มต้น,กฎพื้นฐาน,〇,นี่คือกฎพื้นฐานสําหรับการข้ามจักรยานตามมาตรา 25-2 และ 63-6 ของพระราชบัญญัติจราจรทางบก ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,พระราชบัญญัติจราจรทางบกมาตรา 25-2 และมาตรา 63-6: ในสถานที่ที่มีทางม้าลายจักรยาน คุณต้องข้ามถนนโดยใช้ทางม้าลายจักรยานเหล่านั้น
