問題番号,問題文,難易度,カテゴリ,正解,解説,法令参照
21,"A bicycle, as a light vehicle, may travel on the road shoulder located on the left side of the roadway, as long as it does not significantly obstruct pedestrian traffic.",Beginner,Basic Rules,〇,"Under Article 17-2, light vehicles may travel on the left‑side road shoulder at a speed and in a manner that does not obstruct pedestrians.",Article 17-2 of the Road Traffic Act: Regulations on light vehicles using road shoulders and consideration for pedestrians.
22,"Under the Road Traffic Act Enforcement Regulations, an ordinary bicycle must have four wheels or fewer.",Beginner,Basic Rules,〇,Enforcement Regulation Article 9-2-2 requires ordinary bicycles to have four wheels or fewer.,Enforcement Regulation Article 9-2-2: Standards for the number of wheels on ordinary bicycles.
23,The standards for an ordinary bicycle include the requirement that it must not have a sidecar attached.,Beginner,Basic Rules,〇,Article 9-2-2(2)(a) specifies that ordinary bicycles must not have a sidecar.,Enforcement Regulation Article 9-2-2: Whether ordinary bicycles may have sidecars.
24,An ordinary bicycle may be equipped with a child seat as a passenger seat other than the operator’s seat.,Beginner,Basic Rules,〇,The Enforcement Regulation allows only child seats as passenger seats other than the operator’s seat.,Enforcement Regulation Article 9-2-2: Restrictions on seats installed on ordinary bicycles.
25,The braking devices of an ordinary bicycle must be installed in a position that can be easily operated while riding.,Beginner,Dangerous Acts,〇,Article 9-2-2(2)(d) requires braking devices to be located where they can be easily operated while riding.,Enforcement Regulation Article 9-2-2: Standards for the location of braking device controls.
26,An ordinary bicycle may have sharp protrusions that could endanger pedestrians.,Beginner,Dangerous Acts,✕,The same article prohibits sharp protrusions that may endanger pedestrians.,Enforcement Regulation Article 9-2-2: Prohibition of sharp protrusions that may endanger pedestrians.
27,"Under the braking standards for bicycles, it is sufficient if either the front or rear wheel can be braked.",Beginner,Dangerous Acts,✕,Article 9-3(1) requires braking devices capable of braking both the front and rear wheels.,Enforcement Regulation Article 9-3: Standards for bicycle braking devices (front and rear braking).
28,"A bicycle’s braking device must be capable of smoothly stopping within 3 meters when traveling at an initial speed of 10 km/h on a dry, flat, paved surface.",Beginner,Dangerous Acts,〇,Article 9-3(2) specifies the detailed braking performance requirements.,Enforcement Regulation Article 9-3: Bicycle braking performance (stopping within 3 m from 10 km/h).
29,Reflective materials installed on a bicycle must be easily visible when illuminated by headlights from 100 meters behind at night.,Beginner,Dangerous Acts,〇,Article 9-4(1) requires reflectors to be visible when illuminated from 100 meters behind at night.,Enforcement Regulation Article 9-4: Standards for visibility of bicycle reflectors (visible from 100 m at night).
30,The color of the reflected light from bicycle reflectors may be yellow or green.,Beginner,Dangerous Acts,✕,The Enforcement Regulation limits reflector colors to orange or red; yellow or green do not meet standards.,Enforcement Regulation Article 9-4: Standards for reflector color.
31,The motor used to assist human power on a bicycle (electric-assist bicycle) must be an electric motor.,Beginner,Basic Rules,〇,Article 1-3(1)(a) requires the motor to be an electric motor.,Enforcement Regulation Article 1-3: Type of motor used for bicycles that assist human power (electric motor).
32,An electric-assist bicycle must be constructed so that motor assistance does not operate at speeds of 24 km/h or higher.,Beginner,Basic Rules,〇,Article 1-3(1)(c) requires that motor assistance does not operate at speeds of 24 km/h or higher.,Enforcement Regulation Article 1-3: Motor assistance must not operate at speeds of 24 km/h or higher.
33,A light vehicle using a motor must use an electric motor and be constructed to be operated while walking.,Beginner,Basic Rules,〇,Article 1-2-3(2)(a)(b) requires the use of an electric motor and operation while walking.,"Enforcement Regulation Article 1-2-3: Structure of motorized light vehicles (operated while walking, etc.)."
34,A mobility scooter must be constructed so that it cannot exceed a speed of 6 km/h.,Beginner,Dangerous Acts,〇,Article 1-4(2)(b) requires that the vehicle cannot exceed 6 km/h.,Enforcement Regulation Article 1-4: Maximum speed limit for mobility scooters.
35,The motor of a mobility scooter may be an internal combustion engine such as a gasoline engine.,Beginner,Basic Rules,✕,"Article 1-4(2)(a) requires the use of an electric motor, not an internal combustion engine.",Enforcement Regulation Article 1-4: Type of motor for mobility scooters (electric motor).
36,"An electric-assist bicycle that meets the standards of Article 1-3 of the Enforcement Regulations is treated as a “bicycle,” not a motorized bicycle.",Beginner,Basic Rules,〇,"Vehicles meeting these standards are treated as bicycles, as indicated by the National Police Agency and prefectural authorities.",Articles 2 and Enforcement Regulation 1-3: Definitions distinguishing electric-assist bicycles from motorized bicycles.
37,A bicycle equipped with a braking device on only one wheel may violate the braking performance requirements of Road Traffic Act Article 63-9.,Beginner,Basic Rules,〇,"The same article requires bicycles to be equipped with braking devices, meaning effective brakes on both wheels.",Article 63-9(1) of the Road Traffic Act: Legal basis for braking device standards for bicycles.
38,A bicycle’s reflector must have performance that allows its reflected light to be easily confirmed from the illumination point when lit from 100 meters behind at night.,Beginner,Basic Rules,〇,This requirement is explicitly stated in Article 9-4(1) of the Enforcement Regulation.,Enforcement Regulation Article 9-4: Reflectors must be visible when illuminated from 100 m behind at night.
39,Motorized bicycles and automobiles are not permitted to enter or travel on bicycle lanes designated by road signs.,Beginner,Dangerous Acts,〇,"Bicycle lanes are exclusive lanes for bicycles as light vehicles, and other vehicles are prohibited from entering.",Articles 17 and 63-3 of the Road Traffic Act: Bicycle lanes are for bicycles; motorized bicycles and cars may not use them.
40,"Under Road Traffic Act Article 2(3), a person walking while pushing a bicycle is regarded as a pedestrian.",Beginner,Basic Rules,〇,"This article provides that a person pushing a vehicle is regarded as a pedestrian, and this applies to bicycles as well.",Article 2(3) of the Road Traffic Act: A person pushing a vehicle is treated as a pedestrian.
41,"When a bicycle crossing lane is provided near the crossing point, a bicycle must cross the road using that bicycle crossing lane.",Beginner,Basic Rules,〇,This is the basic rule for how bicycles must cross the road under Articles 25-2 and 63-6 of the Road Traffic Act.,Articles 25-2 and 63-6 of the Road Traffic Act: Bicycles must cross using the bicycle crossing lane where provided.
42,"Riding bicycles side by side is prohibited under Road Traffic Act Articles 19 and 63-5, except in sections specifically permitted by road signs.",Beginner,Dangerous Acts,〇,"Riding side by side on light vehicles including bicycles is prohibited in principle, with exceptions only where signs permit it.",Articles 19 and 63-5 of the Road Traffic Act: Side-by-side riding of bicycles is prohibited except where signs allow it.
43,"The number of children who may ride on a bicycle and the structure of child seats are restricted by Road Traffic Act Article 63-4 and prefectural regulations, and unlimited boarding is not allowed.",Beginner,Dangerous Acts,〇,The number and placement of child seats and the number of children allowed to ride are limited by laws and regulations.,Article 63-4 of the Road Traffic Act: Regulations on the number of passengers and child seats on bicycles.
44,"When traveling on roads at night, a bicycle must use a headlamp and be equipped with a tail lamp or a reflector that meets the standards of Enforcement Regulation Article 9-4.",Beginner,Basic Rules,〇,This is the obligation regarding lighting and reflectors under Articles 52 and 63-9(2) of the Road Traffic Act.,Articles 52 and 63-9(2) of the Road Traffic Act: Nighttime lighting and reflector obligations.
45,"Under the Road Traffic Act, a bicycle is defined as a light vehicle.",Beginner,Basic Rules,〇,A bicycle is classified as a light vehicle under Article 2(1)(11) of the Road Traffic Act and is subject to various obligations as a vehicle.,Article 2(1)(11) of the Road Traffic Act: Bicycles are defined as light vehicles.
46,"A bicycle must, in principle, travel along the left edge of the roadway.",Beginner,Basic Rules,〇,"Under Articles 17 and 63-3, bicycles must travel along the left edge of the roadway.",Articles 17 and 63-3 of the Road Traffic Act: Bicycles must travel along the left edge of the roadway.
47,"Even for bicycles, riding on the right side of the roadway (so‑called “wrong‑way riding”) is a violation of the Road Traffic Act.",Beginner,Dangerous Acts,〇,"As a light vehicle, a bicycle must travel on the left side of the road, and right‑side riding is generally prohibited.",Article 17 of the Road Traffic Act: Right-side riding (wrong-way riding) is prohibited for bicycles.
48,"When a bicycle travels on a sidewalk, it must give priority to pedestrians, travel slowly, and must not obstruct pedestrian traffic.",Beginner,Dangerous Acts,〇,"Under Article 63-4, bicycles must give priority to pedestrians and travel slowly when using sidewalks.",Article 63-4 of the Road Traffic Act: Bicycles must give priority to pedestrians and travel slowly on sidewalks.
49,"As a light vehicle, a bicycle must obey traffic signals, and proceeding on a red signal constitutes a violation.",Beginner,Dangerous Acts,〇,"Article 7 applies to all vehicles, and bicycles are no exception.",Articles 7 and 2(1)(11) of the Road Traffic Act: Light vehicles including bicycles must obey traffic signals.
50,"At intersections with a stop sign, bicycles are also required to make a complete stop.",Beginner,Dangerous Acts,〇,The obligation to stop under Article 43 also applies to bicycles as light vehicles.,Articles 43 and 63-3 of the Road Traffic Act: The obligation to stop at intersections with a stop sign also applies to bicycles.
51,Riding a bicycle while holding an umbrella or with one hand may be treated as a violation of the safe‑driving obligation.,Beginner,Dangerous Acts,〇,This is explicitly listed as an enforcement matter by police headquarters and is considered serious negligence in accidents.,Article 70 of the Road Traffic Act: One-handed riding and riding with an umbrella are treated as violations of the safe-driving obligation and are subject to enforcement.
52,Riding at night without turning on the bicycle’s headlamp is a violation of lighting obligations.,Beginner,Penalties / Responsibility,〇,Riding without lights at night violates Article 52 and is subject to enforcement nationwide.,Articles 52 and 120 of the Road Traffic Act: Riding without lights at night is a violation of lighting obligations and subject to penalties.
53,"Riding double on a bicycle is, in principle, prohibited under the Road Traffic Act except for special bicycles designed for carrying children.",Beginner,Dangerous Acts,〇,"For safety reasons, riding double is not permitted except where the seat and structure are designed for it.",Articles 57 and 63-4 of the Road Traffic Act: Riding double on a bicycle is generally prohibited except for special bicycles designed for carrying children.
54,"A bicycle lane is a part of the roadway designated for bicycles that meet standards, and motor vehicles are generally prohibited from entering.",Advanced,Basic Rules,〇,"A bicycle lane is a designated part of the roadway for bicycles, and motor vehicles are prohibited from using it.",Article 63-3 of the Road Traffic Act: Defines which vehicles may use bicycle lanes.
55,"At intersections designated by the Public Safety Commission, bicycles as light vehicles may be required to make a two‑stage right turn.",Advanced,Dangerous Acts,〇,"Under Article 34, light vehicles may be required to perform a two‑stage right turn as designated by the Public Safety Commission.",Article 34 of the Road Traffic Act: Regulations on right-turn methods for light vehicles (such as two-stage right turns).
56,"As a light vehicle, a bicycle is subject to restrictions on the size and weight of loads according to the structure of the loading device and standards set by the Public Safety Commission.",Advanced,Dangerous Acts,〇,"Under Article 57-2, loading methods and limits for light vehicles must comply with standards set by the Public Safety Commission.",Article 57-2 of the Road Traffic Act: Regulations on loading limits for light vehicles.
57,A person who repeatedly engages in dangerous bicycle riding may be ordered by the Public Safety Commission to attend a bicycle rider training course.,Advanced,Dangerous Acts,〇,"Under Article 108-3, repeated dangerous bicycle behavior may result in an order to attend a bicycle rider training course.",Article 108-3 of the Road Traffic Act: Regulations on orders to attend bicycle rider training courses.
58,Roads marked as “Pedestrians Only” may not be traveled on by bicycles while riding.,Advanced,Basic Rules,〇,"Pedestrian‑only roads are generally restricted to pedestrians, and bicycles may pass only by being pushed.",Articles 8 and 9 of the Road Traffic Act: Regulations on pedestrian-only roads.
59,"On roads with one‑way traffic regulations, bicycles must follow the designated direction unless exceptions are indicated by signs.",Advanced,Dangerous Acts,〇,"One‑way traffic regulations also apply to bicycles, which must follow the indicated direction.",Articles 8 and 17 of the Road Traffic Act: One-way traffic regulations and how bicycles must follow them.
60,Intentionally stopping a bicycle in the middle of the road to obstruct others’ passage constitutes a prohibited act under the Road Traffic Act.,Advanced,Dangerous Acts,〇,"Article 76 prohibits acts that obstruct traffic, and intentionally blocking traffic is a violation.",Article 76 of the Road Traffic Act: Prohibits acts that obstruct traffic.
61,Intentionally stopping a bicycle in the middle of the road to obstruct others’ passage constitutes a prohibited act under the Road Traffic Act.,Advanced,Dangerous Acts,〇,"Article 76 prohibits acts that obstruct traffic, and intentionally blocking traffic is a violation.",Article 76 of the Road Traffic Act: Prohibits acts that obstruct traffic.
62,Riding a bicycle while intoxicated is prohibited under the Road Traffic Act.,Advanced,Dangerous Acts,〇,"Under Article 65, operating a bicycle while intoxicated is prohibited.","Road Traffic Act Article 76: Regulations concerning prohibited acts on roads, including acts that obstruct traffic."
63,Riding a bicycle while listening to loud music that prevents hearing surrounding sounds may violate safe‑driving obligations and prefectural regulations.,Advanced,Dangerous Acts,〇,Being unable to hear surrounding sounds significantly impairs hazard perception and may be treated as a safe‑driving violation.,"Articles 70 and 71 of the Road Traffic Act: Regulations on safe driving and prohibited acts designated by the Public Safety Commission (e.g., earphones)."
64,"Because stopping distance increases with speed, adjusting speed according to conditions is required for safe driving.",Advanced,Basic Rules,〇,"Stopping distance increases with speed, requiring appropriate speed selection based on visibility and road conditions.",Article 70 of the Road Traffic Act: Obligation to select a safe speed considering stopping distance.
65,"Even when the road surface is slippery due to ice, snow, or gravel, normal riding is acceptable as long as the speed is below the speed limit.",Advanced,Dangerous Acts,✕,Failing to adjust speed or path according to road conditions may violate the safe‑driving obligation.,"Article 70 of the Road Traffic Act: Obligation to adjust riding according to road surface conditions (ice, gravel, mud, etc.)."
66,Bicycle braking performance standards specify numerical stopping distances even on wet road surfaces.,Advanced,Dangerous Acts,✕,"The Enforcement Regulation specifies conditions for dry, flat paved surfaces but does not specify stopping distances for wet surfaces.",Enforcement Regulation Article 9-3: Understanding of road surface conditions to which braking performance standards apply.
67,"For electric‑assist bicycles, there is no upper limit on the assist ratio at low speeds (below 10 km/h).",Advanced,Basic Rules,✕,"Article 1-3 sets specific upper limits for assist ratios at each speed range, including low speeds.",Enforcement Regulation Article 1-3: Upper limit of assist ratio at speeds below 10 km/h.
68,The assist function of an electric‑assist bicycle must operate smoothly and must not interfere with safe riding.,Advanced,Dangerous Acts,〇,Article 1-3(2) specifies requirements for smooth and safe operation of assist functions.,Enforcement Regulation Article 1-3: Standards for smoothness and safety of assist functions.
69,"The body size of a light vehicle using a motor must not exceed 4 m in length, 2 m in width, and 3 m in height.",Advanced,Basic Rules,〇,"Article 1-2-3(1) sets maximum dimensions of 4 m in length, 2 m in width, and 3 m in height.",Enforcement Regulation Article 1-2-3: Maximum body size of motorized light vehicles.
70,"In light vehicles using a motor, the motor may continue operating even when the operator has moved away from the vehicle.",Advanced,Dangerous Acts,✕,The same article requires the motor to stop when the operator leaves the vehicle.,Enforcement Regulation Article 1-2-3: Requirement that the motor stops when the operator leaves the vehicle.
71,"For bicycles with four or more wheels that are treated as pedestrians when pushed, the body size must not exceed 190 cm in length and 60 cm in width.",Advanced,Basic Rules,〇,Article 1-8 sets maximum dimensions of 190 cm in length and 60 cm in width for four‑wheel bicycles.,"Enforcement Regulation Article 1-8: Size limits for vehicles treated as pedestrians when pushed (four-wheel bicycles, etc.)."
72,"The body size of a mobility scooter must not exceed 120 cm in length, 70 cm in width, and 120 cm in height (excluding head support).",Advanced,Basic Rules,〇,Article 1-4(1) sets these dimensions as the upper limit.,Enforcement Regulation Article 1-4: Size limits for mobility scooters.
73,"The body size of a motorized vehicle for persons with disabilities must not exceed 120 cm in length, 70 cm in width, and 120 cm in height (excluding head support).",Advanced,Basic Rules,〇,Article 1-5(1) sets the same size limits as mobility scooters.,Enforcement Regulation Article 1-5: Size limits for motorized vehicles for persons with disabilities.
74,A motorized vehicle for persons with disabilities must be clearly distinguishable in appearance from automobiles and motorized bicycles.,Advanced,Basic Rules,〇,Article 1-5(2)(b) requires that the vehicle be clearly distinguishable in appearance from automobiles and motorized bicycles.,Enforcement Regulation Article 1-5: Requirement that such vehicles be distinguishable in appearance from automobiles and motorized bicycles.
75,"Standards for bicycle helmets include ensuring field of vision, impact absorption, chin‑strap stability, and a weight of 2 kg or less.",Advanced,Dangerous Acts,〇,"Article 9-5 sets requirements for field of vision, hearing, impact absorption, penetration resistance, chin strap, and weight of 2 kg or less; similar considerations apply to bicycle helmets.","Enforcement Regulation Article 9-5: Helmet standards (field of vision, stability, weight, etc.) relevant also to bicycle helmets."
76,A vehicle capable of self‑propulsion by motor power alone without pedaling falls under “motor‑assisted bicycle” as defined in Enforcement Regulation Article 1‑3.,Advanced,Basic Rules,✕,Article 1-3 assumes an electric motor that assists human pedaling; vehicles that can run solely on motor power are treated as motorized bicycles.,"Enforcement Regulation Article 1-3: Standards for motors used in electric-assist bicycles (must be electric, must not interfere with safe riding)."
78,"For electric‑assist bicycles, the assist ratio at speeds below 10 km/h may provide motor assistance up to twice the rider’s human power.",Advanced,Basic Rules,〇,"Under Article 1-3, the maximum assist ratio at speeds below 10 km/h is 1:2, and exceeding this falls outside the legal definition of a bicycle.",Enforcement Regulation Article 1-3: Relationship between assist ratio and speed for electric-assist bicycles.
79,Electric‑assist bicycles with structures that allow easy modification of assist ratios or speed control may not meet the requirement of “not easily modifiable” under Article 1‑3.,Advanced,Dangerous Acts,〇,Structures that allow easy modification beyond standards do not meet the requirements for assisted bicycles and may be classified as motorized vehicles.,Enforcement Regulation Article 1-3: Electric-assist bicycles must not be easily modifiable beyond legal standards.
80,"Because braking performance standards are defined in Enforcement Regulation Article 9‑3, it is not sufficient for a bicycle to simply “have brakes.”",Advanced,Basic Rules,〇,"This article sets specific braking performance standards, and operating a bicycle that does not meet them may violate the law.","Enforcement Regulation Article 9-3: Specific braking performance standards for bicycles (e.g., stopping distance)."
81,"If a bicycle is equipped with reflectors that meet the standards of Article 9‑4, some local ordinances allow omission of a tail lamp.",Advanced,Basic Rules,〇,"Many prefectural regulations allow omission of a tail lamp if a compliant reflector is installed, although using both is recommended for safety.",Article 63-9(2) of the Road Traffic Act and Enforcement Regulation Article 9-4: Bicycles may use compliant reflectors instead of a tail lamp.
82,"Reflectors required under Article 9‑4 must be “attached to the bicycle,” and reflective materials on clothing alone are not considered substitutes.",Advanced,Dangerous Acts,〇,"The provision assumes the reflector is attached to the bicycle itself, and in practice attachment to the bicycle body is required.",Enforcement Regulation Article 9-4: Reflectors must be attached to the bicycle itself; clothing reflectors are not considered substitutes.
83,"Enforcement Regulation Article 5‑6 sets maximum size limits (length, width, height) for bicycles allowed to use bicycle lanes; vehicles exceeding these limits may not use them.",Advanced,Basic Rules,〇,This article sets dimensional standards for bicycles to ensure safety on bicycle lanes.,Enforcement Regulation Article 5-6: Size standards for bicycles allowed to use bicycle lanes.
84,Wide four‑wheel bicycles that exceed the dimensional standards for bicycle lane use are not permitted to travel on bicycle lanes.,Advanced,Basic Rules,〇,Vehicles exceeding the dimensional limits of Article 5-6 are not permitted to use bicycle lanes.,Enforcement Regulation Article 5-6: Only bicycles within certain size limits may use bicycle lanes.
85,"A person pushing a bicycle across a crosswalk is regarded as a pedestrian, and automobiles must stop under Road Traffic Act Article 38.",Advanced,Basic Rules,〇,A person pushing a bicycle is treated as a pedestrian and is protected as such when crossing a crosswalk.,"Articles 38 and 2(3) of the Road Traffic Act: A person pushing a bicycle across a crosswalk is treated as a pedestrian, and vehicles must stop."
86,The safe use of bicycles and securing bicycle parking spaces are addressed not only by the Road Traffic Act but also by the so‑called Bicycle Act (Act on Comprehensive Bicycle Parking Measures).,Advanced,Basic Rules,〇,The Bicycle Act serves as a basic framework law promoting safe bicycle use and comprehensive parking measures.,Bicycle Act: A law promoting safe bicycle use and comprehensive bicycle parking measures.
87,Enforcement Regulation Article 9‑5 prohibits operating a bicycle or other vehicle while listening to music in a way that prevents hearing surrounding sounds necessary for safe driving.,Advanced,Dangerous Acts,〇,This article prohibits operating a bicycle while using audio devices in a way that prevents hearing necessary sounds.,Enforcement Regulation Article 9-5: Prohibits riding while listening to audio in a way that prevents hearing necessary traffic sounds.
88,"Although reflector and tail lamp requirements mainly apply at night, conditions such as tunnels mean that it cannot be said that no equipment is needed during the daytime.",Advanced,Basic Rules,〇,"Even outside nighttime, lighting may be required in tunnels, and carrying lighting equipment is recommended for safety.","Articles 52 and 63-9(2) of the Road Traffic Act: Reflector and tail lamp obligations mainly apply at night, but daytime use is recommended for safety."
89,"Regardless of whether a bicycle crossing lane is present, a bicycle must not cross the road if doing so may obstruct pedestrians or other normal traffic.",Advanced,Dangerous Acts,〇,"Under Articles 25-2 and 63-7, bicycles must not cross in a manner that endangers other traffic.",Articles 63-7 and 25-2 of the Road Traffic Act: Bicycles must not cross in a manner that obstructs other traffic.
90,Continuously staring at a smartphone screen while riding a bicycle may constitute a violation of the safe‑driving obligation (Road Traffic Act Article 70).,Advanced,Dangerous Acts,〇,This conduct is treated as failure to keep eyes forward and is subject to enforcement.,Article 70 of the Road Traffic Act: Looking at a smartphone screen while riding may violate the safe-driving obligation.
91,Bicycles are required by the Enforcement Regulations to be equipped with a bell (audible warning device).,Advanced,Basic Rules,〇,Article 9-1 of the Enforcement Regulation requires bicycles to be equipped with an audible warning device similar to automobiles.,Enforcement Regulation Article 9-1: Bicycles must be equipped with an audible warning device (bell).
92,Ringing a bicycle bell excessively to force pedestrians to move is not considered proper use of the audible warning device under the Road Traffic Act.,Advanced,Dangerous Acts,〇,"Article 54 limits the use of audible warning devices to necessary situations, and misuse to force pedestrians aside is discouraged.",Article 54 of the Road Traffic Act: Bells must be used only when necessary; misuse to force pedestrians aside is prohibited.
93,"Currently, all bicycle users are legally encouraged to wear a bicycle helmet.",Advanced,Basic Rules,〇,The revised Road Traffic Act introduced a helmet‑wearing encouragement duty for all ages.,Article 63-11 of the Road Traffic Act (revised): Helmet-wearing encouragement duty applies to all bicycle users.
94,The prohibition on riding under the influence of alcohol also applies to bicycle operation.,Advanced,Penalties / Responsibility,〇,"Under Article 65, no person may operate a vehicle while intoxicated, and bicycles are included.",Article 65 of the Road Traffic Act: Prohibits riding a bicycle while intoxicated.
95,"Riding a bicycle without braking devices, such as so‑called “no‑brake fixies,” may result in penalties as a defective vehicle.",Advanced,Penalties / Responsibility,〇,Operating a bicycle that does not meet the requirements of Article 63-9 is subject to enforcement as a violation.,Articles 63-9 and 120 of the Road Traffic Act: Riding a bicycle without braking devices may result in penalties.
96,"Bicycles are obligated to travel at a safe speed appropriate to road and traffic conditions, separate from posted speed limits.",Advanced,Dangerous Acts,〇,"Under Articles 22 and 70, bicycles must adjust speed appropriately according to conditions.","Articles 22 and 70 of the Road Traffic Act: Bicycles must travel at a safe speed appropriate to conditions, not only within posted limits."
