Category,Difficulty,Question,Option 1,Option 2,Option 3,Option 4,Correct Answer Number,Explanation,Related Traffic Rule
Traffic Ticket System,Advanced,"According to the system guidelines, what is the deadline for provisional payment when a cyclist admits to a violation under the blue ticket system?",Within 7 days from the day after the citation.,By the end of the day of the citation.,Within 30 days after the notice is issued.,There is no deadline.,1,"According to the system guidelines, if a cyclist admits the violation, the penalty payment is generally made within seven days from the day after the citation is issued.",National Police Agency Bicycle Portal Site; Bicycle Portal Site – Provisional Payment
Drunk Riding,Beginner,Which statement about drunk cycling is correct?,"Bicycles are not vehicles, so the rule does not apply.",Drunk cycling is prohibited even for bicycles.,Only drunk driving is prohibited; driving under the influence is not covered.,Prohibited only at night.,2,Drunk cycling is prohibited and treated as a serious violation.,"Road Traffic Act, Article 65 – Drunk Cycling Is Prohibited"
Motorized Kickboard (Specified Small Motorized Bicycle),Advanced,Which statement about a Specified Small Motorized Bicycle is correct?,"If it has pedals, it automatically qualifies as a specified small motorized bicycle.",It follows exactly the same rules as a general moped and has no age restriction.,It is a bicycle itself and is classified as a light vehicle.,"If certain requirements are met, no license is required, but it is not a bicycle; it is a specified small motorized bicycle.",4,"A specified small motorized bicycle is not classified as a bicycle but as a type of moped. Although no license is required if certain conditions are met, it is legally distinct from a bicycle.","Road Traffic Act, Article 71-5-5 – Handheld Phone Calls and Screen Viewing While Riding Are Prohibited"
Smartphone Use While Riding,Beginner,Which of the following most closely corresponds to prohibited distracted cycling?,Holding a phone while riding (except when stopped) to make calls or watching the screen.,Carrying a smartphone while it is powered off.,Keeping a smartphone in a bag.,"Simply possessing a smartphone, including while stopped.",1,"Public guidance states that while riding a bicycle (excluding when stopped), it is prohibited to hold a smartphone or similar device for calls or to stare at its screen.",National Police Agency Bicycle Portal Site; Type Approval System – Power-Assisted Bicycles
Electric Assist Bicycle,Advanced,Which mark indicates a type-approved power-assisted bicycle?,PSC mark.,PSE mark.,TS Mark.,JIS mark.,3,"Under the National Police Agency type-approval system, compliant electrically assisted bicycles are marked with a TS certification mark.","Road Traffic Act, Article 42"
Dangerous Conduct,Advanced,Which action best complies with the duty of safe operation when cycling through a tunnel or on a narrow bridge?,Increase speed and pass through quickly to avoid inconveniencing following vehicles.,Ride without lights so that only your own vehicle becomes difficult to see.,Proceed while slowing down and thoroughly checking both ahead and behind for safety.,"The duty of safe driving applies only to motor vehicles, so bicycles may travel at any speed.",3,"In places with poor visibility and a high risk of collision, riding slowly and conducting thorough safety checks are essential.",National Police Agency Bicycle Portal Site; Bicycle Traffic Rules – Exceptions for Sidewalk Riding
Sidewalk Riding,Advanced,Under what circumstances may a bicycle legally travel on a sidewalk?,You may always ride on the sidewalk when carrying a lot of luggage.,"When permitted by signs or when an exception applies, such as riders under 13 or aged 70 and over.",When in a hurry.,"If traffic seems heavy, a cyclist may freely move onto the sidewalk.",2,"Riding on sidewalks is permitted only when authorized by signs, when the rider is under 13 years old, aged 70 or older, has a physical disability, or when other unavoidable circumstances exist.",Metropolitan Police Department Bicycle Portal Site; Eligible Age – Bicycle Traffic Tickets Generally Apply to Riders Aged 16 and Older
Traffic Ticket System,Beginner,What is the minimum age at which the bicycle traffic infraction notification system (blue ticket system) generally applies?,15 years old or older.,18 years old or older.,16 years old or older.,All ages.,3,"According to the system guidelines, bicycle traffic tickets generally apply to riders aged 16 and older.",Road Traffic Act Enforcement Regulations; Article 1-3 of the Road Traffic Act Enforcement Regulations
Basic Rules,Advanced,What is the correct understanding of the assistance ratio of an electric-assist bicycle when traveling at speeds of 10 km/h or more but less than 24 km/h?,"As speed increases, the ratio of motor assistance to human power must decrease.",Motor assistance may remain at a constant ratio regardless of speed.,No motor assistance may be used at all within this speed range.,"Once exceeding 20 km/h, there are no restrictions on the assistance ratio.",1,"Article 1-3, Items 1 and 2 establish formulas that reduce the allowable assistance ratio as speed increases.","Five Rules for Safe Bicycle Use | National Police Agency; Road Traffic Act, Article 63-4"
Basic Rules,Advanced,Which condition most closely reflects the intent of Article 63-4 regarding when a standard bicycle may use a sidewalk?,"Bicycles are principally for sidewalk use, and roadway use is the exception.","Sidewalk riding is permitted only when designated by signs or when roadway travel is dangerous for children, elderly persons, and similar cases.",Bicycle travel is always permitted if the sidewalk is wide.,Sidewalk riding is permitted whenever the cyclist feels roadway travel is dangerous.,2,"An ordinary bicycle may use a sidewalk only when permitted by traffic signs, when ridden by children, elderly persons, or others for whom roadway travel would be dangerous, or under other unavoidable circumstances.","Road Traffic Act, Article 2 – Definitions of Light Vehicles and Bicycles"
Basic Rules,Beginner,"Under the Road Traffic Act, into which category is a bicycle classified?",Automobile.,Pedestrian.,Light vehicle.,No designation.,3,Article 2 of the Road Traffic Act classifies bicycles as light vehicles.,"Road Traffic Act, Articles 55 and 57 – Restrictions on Carrying Passengers and Occupancy"
Dangerous Conduct,Beginner,Which statement regarding carrying a passenger on a bicycle is the most appropriate? (Detailed rules may vary by prefecture.),"If there is a passenger seat, any number of passengers may ride.","Carrying a person where there is no passenger seat is generally prohibited, and passenger limits for light vehicles are set by Public Safety Commission regulations.",One person on the saddle and one on the rear carrier is always allowed.,There are no passenger limits for bicycles.,2,"Articles 55 and 57 of the Road Traffic Act generally prohibit carrying passengers in locations not equipped for seating, and passenger limits for light vehicles are established by the Public Safety Commission.","Five Rules for Safe Bicycle Use | National Police Agency; Road Traffic Act, Article 25"
Basic Rules,Advanced,"When turning left to enter a facility off the roadway, which method best reflects the intent of Article 25 of the Road Traffic Act?",Move to the far right side of the road before turning left.,You may turn left sharply from near the center of the road.,Move as close as possible to the left edge of the road and make a slow left turn.,Simply cross the sidewalk and turn.,3,"When turning left to enter or exit a property off the roadway, Article 25 requires cyclists to move as close as possible to the left edge of the road and make the turn slowly.",National Police Agency Bicycle Portal Site; FAQ – Examples of Dangerous and Malicious Violations
Enforcement Policy,Advanced,Which of the following is identified by the National Police Agency FAQ as an example of a violation subject to a blue ticket rather than a warning?,Ride slowly on the sidewalk.,Not wearing a helmet.,Entering a railroad crossing when the barrier is down.,Attach reflectors.,3,"According to the National Police Agency FAQ, entering a railroad crossing when the barrier is down, riding a bicycle with defective brakes, and using a handheld mobile phone while cycling are examples of violations subject to traffic tickets rather than mere warnings.","National Police Agency Bicycle Portal Site; Bicycle Traffic Rules – Sidewalk Riding Exceptions, Crosswalks, and Pedestrian Priority"
Intersections & Crossing,Advanced,What is the appropriate action for a cyclist near a pedestrian crossing?,"Pedestrians have priority at crosswalks, and their passage must not be obstructed.",You may proceed with priority if you ring the bell.,The bicycle may proceed first even if pedestrians are present.,Bicycles must not use crosswalks.,1,Crosswalks are areas where pedestrians have priority. Cyclists must not obstruct pedestrians and must stop or yield when necessary.,"Five Rules for Safe Bicycle Use | National Police Agency; Road Traffic Act, Article 72"
Dangerous Conduct,Advanced,What duty does Article 72 of the Road Traffic Act impose on a cyclist involved in a traffic accident?,"If the other person appears only slightly injured, you may leave the scene.","You must immediately stop, assist any injured persons, take measures to prevent danger, and report the accident to the police.",Bicyclists have no duty to report accidents.,Nothing needs to be done in a property-damage-only accident.,2,"Article 72 of the Road Traffic Act requires drivers involved in traffic accidents, including cyclists, to provide aid to injured persons, take measures to prevent further danger, and report the accident to the police.",Metropolitan Police Department Bicycle Portal Site; List of Traffic Violations – Defective Bicycle Brakes
Brakes,Beginner,What is the correct penalty amount for operating a bicycle with defective brakes?,"10,000 yen.","6,000 yen.","5,000 yen.","7,000 yen.",3,"According to the Metropolitan Police Department’s penalty schedule, the fine for riding a bicycle with defective brakes is ¥5,000.","Road Traffic Act Enforcement Regulations, Article 9-2-2 – Size Standards for Ordinary Bicycles"
Basic Rules,Beginner,Which combination of dimensions qualifies as a standard bicycle?,"Length 200 cm or less, width 70 cm or less.",Only the maximum length is regulated; there is no maximum width.,Length 190 cm or less and width 60 cm or less.,Length 180 cm or less and width 80 cm or less.,3,The Enforcement Regulations define an ordinary bicycle as having a length of 190 cm or less and a width of 60 cm or less. Bicycles exceeding these dimensions are not classified as ordinary bicycles.,Five Rules for Safe Bicycle Use
Dangerous Conduct,Beginner,Which statement best describes the legal treatment of dangerous acts such as one-handed riding or smartphone operation while cycling?,The duty of safe driving does not apply to bicycles.,Operating a smartphone is not prohibited.,It may be subject to enforcement as a violation of the duty of safe driving or of Public Safety Commission regulations.,One-handed riding is not a violation.,3,"Under Article 70 (Duty of Safe Driving) and regulations issued by Public Safety Commissions under Article 71, one-handed riding, smartphone use, and riding while holding an umbrella may be subject to enforcement action.",Road Traffic Act Enforcement Regulations; Articles 9-4 and 39-8
Basic Rules,Advanced,Which statement about bicycle reflectors is correct?,There are no standards whatsoever for the color or brightness of reflectors.,Reflectors must comply with standards for automobiles rather than bicycles.,"It is not treated as safety equipment, and there is no type-approval system for it.",It is subject to type approval as safety equipment and is judged based on compliance with the standards of Article 9-4.,4,"Article 39-8 identifies bicycle reflectors as safety equipment eligible for type approval, and their standards are determined under Article 9-4.",Road Traffic Act; Article 72
Intersections & Crossing,Advanced,What is the most appropriate explanation regarding bicycles and traffic signals while traveling on a sidewalk?,Bicycles are not subject to traffic signals.,You must obey the signal facing you according to the intersection structure and your position on the road.,"When riding on a sidewalk, cyclists must always obey only pedestrian signals.","Even when riding on a sidewalk, cyclists must always obey only vehicle signals.",2,"When riding on a sidewalk, cyclists may be required to follow pedestrian signals depending on the intersection layout and riding position. Observing the signal that directly applies to the rider’s path is generally the safest approach.","Five Rules for Safe Bicycle Use | National Police Agency; Road Traffic Act, Article 20"
Dangerous Conduct,Advanced,"If a cyclist causes a traffic accident, which action best complies with Article 72 of the Road Traffic Act?",Only move the vehicle; assisting injured persons is generally unnecessary.,"If the damage is minor, you may settle it on the spot without contacting the police.",Nothing needs to be done if the other party wishes to leave.,"Immediately stop, assist any injured persons, take measures to prevent danger, and report the details of the incident to a police officer.",4,"Article 72 requires cyclists involved in an accident to assist injured persons, prevent further danger, and report the incident to the police.",Metropolitan Police Department Notice – Enforcement Guidance for Cyclists Using Earphones
Basic Rules,Advanced,"On a road with designated traffic lanes, where should a bicycle travel?",Freely move between the sidewalk and roadway as conditions change.,Use the leftmost traffic lane and ride on the left side of that lane.,Use the far-right traffic lane.,You may freely choose any open traffic lane.,2,"When traffic lanes are provided, bicycles must generally use the lane closest to the left side of the roadway and ride on the left side of that lane.",Road Traffic Act; Article 36
Headphone Use,Beginner,Which statement most closely reflects the intent of the Metropolitan Police Department’s guidance regarding cycling while wearing earphones?,"Regardless of whether one or both ears are covered, the key issue is whether sounds necessary for safe driving can be heard.",Using only one earphone is always legal.,There are no regulations concerning earphones.,Using both earphones is always a violation.,1,"Police Agency guidance indicates that the legality of using earphones is determined not by whether one or both ears are covered, but by whether the rider can hear sounds necessary for safe operation.",National Police Agency Bicycle Portal Site; Osaka Prefectural Police and Government Public Relations Online – Treatment of Stopped Vehicles
Basic Rules,Advanced,"At an intersection where a priority road and a non-priority road meet, what is the correct way for a cyclist to proceed?",The concept of priority roads does not apply to bicycles.,Cyclists on a non-priority road must watch for vehicles on the priority road and stop if necessary.,Cyclists always have priority regardless of which road they are on.,Vehicles on priority roads must always yield to traffic from non-priority roads.,2,"On priority roads, cyclists and other vehicles entering from non-priority roads are subject to heightened duties of caution.",Metropolitan Police Department Bicycle Portal Site; FAQ and List of Traffic Violations – Entering a Railroad Crossing While the Barrier Is Down
Smartphone Use While Riding,Advanced,Which statement about smartphone use while cycling is the most appropriate?,"It is always a violation, even when stopped.",It is always a violation even when pushing the bicycle.,It is explained that the basic target is while driving (excluding when stopped).,Looking at a smartphone is not a violation if no phone call is made.,3,"Public guidance states that holding a phone for calls or staring at a screen while riding (excluding when stopped) is prohibited, although the specific legal assessment depends on the circumstances of each case.",Road Traffic Act; Article 63-7
Railroad Crossings,Beginner,What is the correct rule for a bicycle at a railroad crossing when the crossing barriers are down?,"If you dismount and push the bicycle, you may always pass.",You may proceed if you stay on the sidewalk side.,You must not enter when the crossing gate is down or beginning to descend.,Bicycles may pass through.,3,Cyclists must not enter a railroad crossing when the barrier is lowered or is beginning to lower.,"Five Rules for Safe Bicycle Use | Metropolitan Police Department; Road Traffic Act, Articles 19 and 63-5"
Dangerous Conduct,Advanced,"If a bicycle crossing lane is provided near an intersection, what is the most appropriate way for a cyclist to proceed?",Follow roadway rules and do not use the bicycle crossing zone.,Use only the pedestrian crosswalk and do not use the bicycle crossing zone.,"At intersections, cyclists must always dismount and walk.","Where a bicycle crossing lane exists, cyclists must use that crossing lane regardless of the general roadway riding rules.",4,Article 63-7 requires cyclists to use a bicycle crossing zone where one is provided near an intersection.,Metropolitan Police Department Bicycle Portal Site; Bicycle Traffic Rules – Riding a Bicycle with Defective Brakes
Dangerous Conduct,Beginner,Which statement about riding bicycles side by side is correct?,Up to three ordinary bicycles may ride abreast.,Riding abreast is never permitted for ordinary bicycles.,Any number of bicycles may ride side by side on a sidewalk.,"Even where permitted by road signs, ordinary bicycles may ride side by side only up to two abreast.",4,"Articles 19 and 63-5 of the Road Traffic Act prohibit side-by-side riding unless expressly permitted by signs, and even then it is limited to two bicycles abreast.","Five Rules for Safe Bicycle Use | National Police Agency; Road Traffic Act, Articles 36 and 42"
Brakes,Beginner,Which statement about a bicycle with defective brakes is correct?,It is prohibited only on downhill slopes.,A bicycle with defective brakes must not be ridden.,It does not matter if you are riding on a sidewalk.,Having only one working brake is sufficient.,2,Riding a bicycle with defective brakes is prohibited because it creates a danger of being unable to stop safely.,"Five Rules for Safe Bicycle Use | National Police Agency; Road Traffic Act, Article 25-2"
Basic Rules,Advanced,What is the most appropriate way for a cyclist to proceed through an uncontrolled intersection with poor visibility?,"If there is a sidewalk, ride on it without slowing down.","At intersections with poor visibility, proceed slowly while paying attention to vehicles and pedestrians on the crossing road.","Even with poor visibility, there is generally no need to slow down if on a priority road.",Bicycles are not subject to slow-speed requirements; those apply only to motor vehicles.,2,Articles 36 and 42 of the Road Traffic Act require cyclists to slow down and pay close attention to vehicles and pedestrians when entering an uncontrolled intersection with poor visibility.,Road Traffic Act Enforcement Regulations; Road Traffic Act and Bicycle-Related Laws and Regulations
Dangerous Conduct,Advanced,"According to Article 25-2 of the Road Traffic Act, which statement correctly describes crossing, turning, or reversing by a vehicle, including a bicycle?","Do not cross, turn around, or reverse when doing so may obstruct the normal traffic of pedestrians or other vehicles.",The prohibition on crossing applies only to automobiles.,Vehicles may freely cross or turn around as long as they consider other traffic.,"If there is no traffic sign, crossing or turning around is permitted anywhere.",1,"Article 25-2 prohibits crossing, turning, or reversing when doing so may obstruct the normal movement of pedestrians or other vehicles.",National Police Agency Bicycle Portal Site; Bicycle Traffic Rules – Keep Left
Basic Rules,Beginner,Which of the following best represents the overall concept of safe bicycle use?,You should simply accept accidents as bad luck.,"Because no license is required, liability for violations is minor.",Understand the rules that apply to bicycles as light vehicles and use them with awareness of the responsibilities and risks involved.,You may ride with the same mindset as a pedestrian and do not need to pay attention to detailed rules.,3,"As light vehicles, bicycles are subject to many legal duties and responsibilities. Understanding the rules and maintaining safety awareness are essential for accident prevention.",National Police Agency Bicycle Portal Site; Prefectural Public Safety Commission Regulations and Road Traffic Act Article 70 – One-Handed Riding
Intersections & Crossing,Advanced,Where should a bicycle travel when riding on the roadway?,You may freely ride on the right side of the road.,Ride in the center of the roadway.,"If there is a sidewalk, roadway regulations do not apply.",Ride on the left side of the road.,4,Bicycles are generally required to travel on the left side of the roadway. Riding against traffic is dangerous and increases the risk of serious accidents.,"Five Rules for Safe Bicycle Use | National Police Agency; Road Traffic Act, Article 63-4, Paragraph 2"
Umbrella Riding,Advanced,Which statement about one-handed riding is the most appropriate?,One-handed riding is not addressed by law at all.,One-handed riding is prohibited only for children.,Unstable one-handed riding may constitute a violation of the duty of safe driving.,"As long as it is not umbrella riding, one-handed riding is never a problem.",3,"Not only riding with an umbrella but any form of unstable one-handed riding may be evaluated as a violation of the duty to drive safely, depending on the manner of operation and the circumstances.",National Police Agency Bicycle Portal Site; Bicycle Safety Course System – Penalties for Failure to Attend
Basic Rules,Beginner,What obligation applies when a standard bicycle travels on a sidewalk?,"When on a sidewalk, cyclists must always dismount and walk.",You may ride quickly near the center of the sidewalk.,Bicycles have priority over pedestrians.,Ride slowly on the roadway-side portion of the sidewalk and stop if you would obstruct pedestrians.,4,"When riding on a sidewalk, ordinary bicycles must travel slowly on the side closer to the roadway (or within the designated bicycle section if provided) and must stop when necessary to avoid obstructing pedestrians.","Road Traffic Act Enforcement Regulations; Road Traffic Act, Article 63-4"
Bicycle Safety Course,Advanced,What happens if a cyclist fails to comply with an order to attend a bicycle safety course?,Only license points are added.,There is no particular penalty.,"It ends with a 3,000-yen blue-ticket fine.","A fine of up to 50,000 yen may be imposed.",4,"Failure to comply with an order to attend a bicycle safety training course may result in a fine of up to ¥50,000.",National Police Agency Bicycle Portal Site; List of Traffic Violations – Speeding
Basic Rules,Advanced,What is the most appropriate basic principle regarding bicycle use of sidewalks under the Road Traffic Act?,There are no regulations regarding sidewalk riding.,"If danger is perceived, sidewalk riding is always mandatory.","Sidewalk riding is the rule, and roadway riding is the exception.","Roadway riding is the rule, and sidewalk riding is permitted only when signs, markings, or specific conditions such as age-related exceptions are met.",4,"As light vehicles, bicycles are generally required to use the roadway, and sidewalk riding is permitted only when authorized by signs or when specific legal conditions are met.",Metropolitan Police Department Bicycle Traffic Rules – Passenger Restrictions
Speeding,Advanced,Which statement about bicycle speed regulations is correct?,Bicycles are not bound by posted speed limits.,Speeding regulations apply only to mopeds.,Light vehicles can also be cited for speeding violations.,There is no concept of speeding for bicycles.,3,"The schedule of traffic violations includes speeding offenses for bicycles, with penalty amounts varying according to the degree of excess speed.",Metropolitan Police Department Bicycle Portal Site; Promotion of Safe Bicycle Use – Pedal-Assisted Mopeds
Passenger Restrictions,Beginner,What is the general rule regarding carrying a passenger on a bicycle?,It is always permitted.,It is always permitted on sidewalks.,It is prohibited only at night.,It is prohibited in principle.,4,"According to the Metropolitan Police Department’s traffic rules guidance, carrying a passenger on a bicycle is generally prohibited.","Five Rules for Safe Bicycle Use | National Police Agency; Road Traffic Act, Article 54"
Pedal-Equipped Moped,Beginner,Which statement about a vehicle equipped with pedals is correct?,Vehicles with a throttle or that do not meet electric-assist standards may be classified as mopeds rather than bicycles.,All pedal-equipped vehicles can be operated without a license.,Vehicles with pedals do not require a license plate.,"If it has pedals, it is always a bicycle.",1,The Metropolitan Police Department explains that vehicles equipped with pedals but also featuring a throttle or failing to meet electric-assist bicycle standards may be classified as mopeds or motor vehicles rather than bicycles.,Road Traffic Act Enforcement Regulations; Article 9-2-3 of the Road Traffic Act Enforcement Regulations
Dangerous Conduct,Advanced,Which use of a bicycle bell is consistent with the intent of Article 54 of the Road Traffic Act?,You may ring the bell at all times to make pedestrians give way.,Rules regarding horn use apply only to automobiles.,"Use the horn when designated by signs at places with poor visibility, or when unavoidable to prevent danger.",Use of a horn is completely prohibited in urban areas.,3,"Article 54 of the Road Traffic Act requires the use of a horn when directed by signs at blind intersections or when necessary to prevent danger, and prohibits unnecessary use of the horn in other situations.",Road Traffic Act; Articles 44 and 45
Basic Rules,Advanced,Under which law’s appendix are physical disabilities listed that may significantly interfere with safely operating a bicycle on the roadway?,Act on Welfare of Persons with Disabilities.,Road Transport Vehicle Act.,For bicycle utilization promotion.,Labor Standards Act.,1,Article 9-2-3 applies the disabilities listed in the appendix to the Act on Welfare of Persons with Physical Disabilities.,Metropolitan Police Department Bicycle Portal Site; List of Traffic Violations – Violation of Public Safety Commission Rules
Dangerous Conduct,Advanced,Which location is considered a no-parking or no-stopping area for bicycles under the Road Traffic Act?,A space designated as a bicycle parking area.,The center of the roadway.,Any location on a sidewalk where bicycles do not travel.,Crosswalks and certain areas before and after them.,4,"Crosswalks, areas near intersections, and other designated locations are subject to parking and stopping restrictions, and bicycles may not be parked there just like other vehicles.","Road Traffic Act Enforcement Regulations; Road Traffic Act, Articles 24-2 and 62-7"
Headphone Use,Beginner,Which combination of violation category and penalty is most closely associated with cycling while unable to hear surrounding sounds due to earphones?,"Riding without lights / 5,000 yen.","Signal violation / 6,000 yen.","Violation of Public Safety Commission compliance rules / 5,000 yen.","Mobile phone use (holding) / 12,000 yen.",3,"Rules concerning earphones are based on regulations issued by Prefectural Public Safety Commissions and are categorized as violations of Public Safety Commission rules. Because wording and enforcement practices differ by jurisdiction, individual confirmation is important.","Road Traffic Act, Article 7 – Obligation to Obey Traffic Signals"
Basic Rules,Advanced,How should a cyclist cross an intersection where no bicycle crossing lane is provided?,Cyclists are required to ride across crosswalks.,Cross the intersection by proceeding straight or turning as a vehicle according to vehicle traffic rules.,You may cross diagonally from any location.,You must always dismount and cross as a pedestrian.,2,"When no bicycle crossing zone is provided, cyclists must cross intersections according to the general traffic rules applicable to vehicles.","Five Rules for Safe Bicycle Use | Metropolitan Police Department; Road Traffic Act, Article 2"
Penalties & Liability,Advanced,Which statement best describes civil liability for damages in a bicycle accident?,Even bicycle accidents may result in substantial civil liability and damages under tort law.,"Liability belongs to the bicycle retailer, and the rider bears no responsibility.","All bicycle accidents are covered by health insurance, so compensation issues never arise.","Because bicycles are light vehicles, no liability for damages arises even if a personal injury accident is caused.",1,"Under Article 709 of the Civil Code and related provisions, many court cases have imposed substantial damages for bicycle accidents.",
Basic Rules,Beginner,"When crossing a road via a pedestrian crossing while riding a bicycle, which traffic signal must be obeyed?",Always follow pedestrian signals only.,"If there is a signal marked “Pedestrians and Bicycles Only,” follow that signal.",Always obey only vehicle signals.,Either signal is acceptable as long as it is green.,2,"Where a pedestrian-and-bicycle signal is installed, cyclists must obey that signal.","Road Traffic Act, Article 7 – Obligation to Obey Traffic Signals"
Basic Rules,Beginner,"According to Article 2 of the Road Traffic Act, into which category is a bicycle classified?",Pedestrian.,No classification.,Motor vehicle.,Light vehicle.,4,"Article 2 of the Road Traffic Act defines bicycles as light vehicles. Therefore, traffic rules applicable to light vehicles also apply to bicycles.","Five Rules for Safe Bicycle Use | Metropolitan Police Department; Road Traffic Act, Article 2"
Basic Rules,Advanced,Which method of operating a bicycle when entering a roadway from a sidewalk best complies with the duty of safe operation?,"If the vehicle signal is green, no safety check is necessary.",Do not check roadway traffic; only check whether a crosswalk exists.,Enter the roadway at the same speed used on the sidewalk.,Stop or slow down and carefully check the movements of vehicles and pedestrians before entering.,4,"To avoid collisions with other vehicles or pedestrians when entering a four-lane roadway, thorough safety checks are necessary.",Road Traffic Act; Articles 112 and 38
Speeding,Advanced,What is the penalty amount for a light vehicle exceeding the speed limit by less than 15 km/h?,"5,000 yen.","6,000 yen.","7,000 yen.","10,000 yen",2,"According to the National Police Agency's list of traffic violations, the penalty for a light vehicle exceeding the speed limit by less than 15 km/h is ¥6,000.",National Police Agency Bicycle Portal Site; List of Traffic Violations – Speeding
