カテゴリ,難易度,問題文,選択肢１,選択肢２,選択肢３,選択肢４,正解番号,解説,関連交通ルール
青切符制度,上級,自転車の青切符で違反を認める場合の仮納付期限として、制度説明に沿うものはどれでしょうか,取締り翌日から原則7日以内,取締り当日中,通告後30日以内,期限はない,1,"制度説明では、違反を認める場合は取締り翌日から
原則7日以内に仮納付する流れとされている","警察庁　自転車ポータルサイト
警察庁　自転車ポータルサイト　仮納付"
飲酒運転,初級,自転車の飲酒運転について正しいものはどれでしょうか？,自転車は車両ではないので対象外,自転車でも飲酒運転は禁止される,酒酔いだけ禁止で酒気帯びは対象外,夜間だけ禁止される,2,自転車でも飲酒運転は禁止です。重大違反として扱われます。,道路交通法　第65条　自転車でも飲酒運転は禁止される
特定小型原付,上級,特定小型原動機付自転車に関する説明として正しいものはどれでしょうか,ペダルがあれば自動的に特定小型原付になる,一般原付と完全に同一ルールで、年齢制限もない,自転車そのものであり、軽車両に分類される,"一定要件を満たせば免許不要だが、自転車ではなく
特定小型原動機付自転車である",4,特定小型原動機付自転車は、自転車ではなく原付の一種一定要件を満たすため免許不要だが、法的には自転車とは別区分,
ながらスマホ,初級,自転車の「ながら運転」として禁止される行為に最も近いものはどれでしょうか？,"運転中（停止中を除く）に手で保持して通話
したり、画面を注視したりすること",スマホを電源オフで所持すること,バッグにスマホを入れていること,停止中も含めてスマホを所持すること自体,1,"制度周知では、自転車運転中（停止中を除く）にスマホ等を
手で保持して通話することや、画面を注視することが禁止とされています。",道路交通法　第71条第5号の５　運転中（停止中を除く）の手持ち通話や画面中止が禁止されている。
電動アシスト自転車,上級,型式認定を受けた駆動補助機付自転車の表示として正しいものはどれでしょうか,PSCマーク,PSEマーク,TSマーク,JISマーク,3,警察庁の型式認定制度では、基準に適合した駆動補助付自転車にTSマークが表示される,"警察庁　自転車ポータルサイト
警察庁　型式認定制度　駆動補助付自転車"
危険行為,上級,"トンネル内や狭い橋などでの自転車の運転として、安全運転義務に沿ったものは
どれでしょうか","後続車への迷惑を避けるため、速度を上げて
一気に通過する","ライトを消して走行し、自車だけが見えにくくなるよう
にする",徐行しつつ、後方・前方の安全確認を十分に行いながら通行する,安全運転義務は自動車にだけ適用されるため、自転車は自由な速度で通行できる,3,見通しが悪く接触の危険が高い場所では、徐行と十分な安全確認が不可欠である,道路交通法　第42条
歩道通行,上級,自転車が歩道を通行できる場合として、最も適切などれでしょうか,荷物が多い日は常に歩道を通行できる,標識等で認められているとき、または13歳未満・70歳以上などの例外に当たるとき,急いでいるとき,車が多いと感じたら自由に歩道に移れる,2,歩道通行が認められるのは、標識等がある場合や、13歳未満・70歳以上・身体の不自由な人が運転するとき、またはやむを得ない事情がある場合などに限られる,"警察庁　自転車ポータルサイト
警察庁　自転車の交通ルール　歩道通行の例外"
青切符制度,初級,自転車の交通反則通知制度（青切符）の対象年齢として正しいものはどれでしょうか？,15歳以上,18歳以上,16歳以上,全年齢,3,制度説明では、自転車の青切符の対象は原則16歳以上とされています。,"警視庁　自転車ポータルサイト　
対象年齢　青切符の対象は原則16歳以上。"
基本ルール,上級,10km/h以上24km/h未満の速度域における電動アシスト自転車の補助力比率について正しい理解はどれか,速度が上がるほど、人力に対する補助力の比率は小さくなるように制限されている,速度に関係なく常に一定の比率で人力を補助できる,この速度域では補助力を一切使ってはならない,20km/hを超えると補助力比率の制限はなくなる,1,第1条の３第1号口・（２）では、速度に応じて補助力比率が小さくなるような数式で上限を定めている,"道路交通法施行規則
泥交通法施行規則　第1条の３"
基本ルール,上級,普通自転車が歩道を通行できる条件として、道路交通法第63条の4の趣旨に最も合致するものはどれでしょうか,自転車は原則として歩道通行であり、車道通行は例外である,道路標識等で指定された場合や、児童・高齢者などで車道通行が危険な場合などに限り歩道通行が認められる,歩道が広い場合はいつでも自転車通行が認められる,自転車利用者が危険だと感じたときはいつでも歩道通行が認められる,2,普通自転車が歩道を通行できるのは、道路標識等で指定された場合や、児童・幼児・高齢者等で車道通行が危険な場合やその他のやむを得ない場合に限られる,"自転車安全利用五則｜警察庁
道路交通法　第63条の4"
基本ルール,初級,道路交通法上、自転車はどの区分に含まれるでしょうか？,自動車,歩行者,軽車両,指定なし,3,道路交通法第2条で、自転車は「軽車両」に区分されると定められています。,道路交通法　第2条　軽車両及び自転車の定義に関する規定
危険行為,初級,自転車の二人乗りに関する説明として、最も適切なものはどれでしょうか？（都道府県の規則による詳細は別途あり）,乗車装置があれば何人でも乗せられる,乗車設備のない場所に人を乗せて運転することは原則禁止であり、軽車両の乗車人員は公安委員会規則で制限されている,サドルに１人、荷台に一人なら常に許される,自転車には乗車人員の規則はない,2,道路交通法第55条・第57条により、乗車設備のない場所に人を乗せることは原則禁止であり、軽車両の乗車人員については公安委員会が基準を定めています。,"道路交通法　第55条・第57条
乗車方法と乗車人員の制限に関する規定"
基本ルール,上級,自転車が道路外の施設に入るため左折する場合の方法として、道路交通法第25条の趣旨に最も合致するものはどれでしょうか,右側端に寄ってから左折する,道路の中央付近から一気に左折してよい,あらかじめできる限り道路の左端側に寄り、徐行して左折する,歩道を横切って曲がればよい,3,道路外に出るため左折する場合、道路交通法第25条により、あらかじめできる限り道路の左端に寄り、徐行して左折する必要がある,"自転車安全利用五則｜警察庁
道路交通法　第25条"
取締方針,上級,警察庁FAQで、指導警告ではなく青切符対象の例として示されているものはどれでしょうか,歩道をゆっくり通行すること,ヘルメット未着用,遮断踏切立ち入り,反射材をつけること,3,警察庁FAQでは、遮断踏切立ち入り、自転車制動装置不良、携帯電話使用等（保持）などが、指導警告ではなく青切符対象の例として示されている,"警察庁　自転車ポータルサイト
自転車ポータルサイト　FAQ悪質・危険な違反の例"
交差点・横断,上級,横断付近での自転車の対応として適切なものはどれでしょうか,横断歩道は歩行者優先であり、歩行者の通行を妨げてはならない,ベルを鳴らせば優先して通行できる,歩行者がいても自転車が先に通ってよい,自転車は横断歩道を通ってはいけない,1,横断歩道は歩行者が優先される場所であり、自転車も歩行者の通行を妨げてはならず、必要に応じて停止や譲る対応が求められます,"警察庁　自転車ポータルサイト
警察庁　自転車の交通ルール　歩道通行の例外横断歩道と歩行者優先"
危険行為,上級,自転車で交通事故を起こした場合の道路交通法第72条に基づく義務として、適切なものはどれでしょうか,相手に怪我が軽そうであれば、その場を離れてもよい,直ちに運転を停止し、負傷者の救護と危険防止処置を行い、警察へ報告しなければならない,自転車には事故時の報告義務はない,物損事故であれば何もする必要はない,2,道路交通法第72条では、交通事故を起こした車両の運転者に対し、負傷者の救護や道路上の危険防止措置、警察への報告義務が課されており、自転車も対象である,"自転車安全利用五則｜警察庁
道路交通法　第72条"
ブレーキ,初級,自動車制動装置不良の反則金額として正しいものはどれでしょうか？,"10,000円","6,000円","5,000円","7,000円",3,"警視庁の反則一覧では、自転車制動不良の反則金は5,000円です。","警視庁　自転車ポータルサイト　
警視庁　反則行為一覧　自転車制動装置不良"
基本ルール,初級,普通自転車として認められる車体寸法の組み合わせとして正しいものはどれか？,長さ200㎝以下・幅70㎝以下,長さ上限だけ決まっていて幅の上限はない,長さ190㎝以下・幅60㎝以下,長さ180㎝以下・幅80㎝以下,3,施行規則では普通自転車の大きさを「長さ190㎝以下・幅60㎝以下」と定めている。これを超えると普通自転車には該当しない。,"道路交通法施行規則　第9条の２の２
普通自転車の大きさ（長さ・幅）の基準"
危険行為,初級,自転車における片手運転やスマートフォン操作などの危険行為について、道路交通法の規定として最も適切な説明はどれでしょうか？,自転車には安全運転義務は適用されない,スマートフォン操作は禁止されていない,安全運転義務違反や公安員会規則違反として取り締まりの対象となり得る,片手運転であれば違反にはならない,3,道路交通法第70条の安全運転の義務及び第71条に基づく公安委員会規則により、片手運転やスマートフォン操作、傘さし運転などは違反として取り締まりの対象となり得ます。,自転車安全利用五則
基本ルール,上級,自転車に備えられる反射器材について正しい説明はどれか,反射器材の色や明るさには一切の基準がない,自転車用ではなく自動車用反射器材の基準に従う,安全機材とは扱われておらず、型式認定の制度もない,安全機材等として型式認定の対象となり、第9条の4の基準に適合するかどうかで判断される,4,第39条の8で自転車に備えられる反射器材が安全機材等として型式認定の対象とされ、その基準は第9条の4によって判断される,"道路交通法施策規則
道路交通法施行規則　第9条の4・第39条の8"
交差点・横断,上級,歩道通行中の自転車と信号の関係について、最も適切な説明はどれでしょうか,自転車は信号機則の対象外である,交差点コクゾウや通行位置に応じて、対面する信号に従う必要がある,歩道通行中は常に歩行者用信号だけに従う,歩道通行中でも常に車両用信号だけに従う,2,歩道通行中の自転車は、交差点構造や通行位置に応じて歩行者用信号に従う場面がある。単純に「常にこれだけ」と断定しにくいため、対面する信号を見る整理が安全,
危険行為,上級,自転車で交通事故を起こした場合、運転者だとるべき措置として道路交通法第72条に最も沿っているものはどれでしょうか,車両の移動のみ行い、負傷者の救護は原則として行わなくてよい,軽微な損傷であれば、その場で示唆し警察には連絡しなくてよい,相手が立ち去ることを望めば、何もしなくてよい,直ちに運転を停止し、負傷者の救護と危険防止措置を講じたうえで、警察官に自己内容を報告する,4,第72条により、事故発生時には負傷者の救護・危険防止措置・警察への報告が義務付けられている,"道路交通法
道路交通法　第72条"
基本ルール,上級,車両通行帯が設けられている道路において、自転車が通行すべき位置として最も適切なのはどれでしょうか,歩道と車道を状況に応じて自由に移動する,左側端から数えて一番目の車両通行帯を通行し、その左側部分を通行する,最も右側の車両通行帯を通行する,空いている通行帯を自由に選んで通行してよい,2,自転車は車両通行帯がある場合、原則として左側端から数えて1番目の車両通行帯を通行し、その左側部分を通行することが求められています,"自転車安全利用五則｜警察庁
道路交通法　第20条"
イヤホン使用,初級,イヤホン装着中の自転車運転について、警視庁通達の趣旨に最も近いものはどれでしょうか？,片耳・両耳にかかわらず、安全運転に必要な音や声が聞こえない状態かどうかで判断する,片耳なら常に適法,イヤホン規制は存在しない,両耳なら常に違反,1,警察庁通達では、片耳か両耳かで一律に判断せず、「安全な運転に必要な音や声が聞こえない状態」かどうかで判断する方向が示されています。,"警視庁通達　
イヤホン等を使用した自転車利用者への取り締まり上の留意事項　片耳か両耳かではなく、「安全な運転に必要な音や声が聞こえない状態」かどうかで判断する"
基本ルール,上級,優先道路と非優先道路が交わる交差点における自転車の通行方法として、正しいものはどれでしょうか,自転車には優先道路の考え方は適用されない,非優先道路を通行する自転車は、優先度路を通行する車両に注意し、必要に応じて一時停止等の措置をとる,どちらの道路でも、自転車が常に優先される,優先道路を通行する車両が、常に非優先道路に道を譲らなければならない,2,優先道路では、非優先側から侵入する自転車も含めた車両等に一層の注意義務が課される,"道路交通法
道路交通法　第36条"
ながらスマホ,上級,自転車の「ながらスマホ」に関する内容として、最も適切なものはどれでしょうか？,停止中も必ず違反になる,押して歩いていても必ず違反になる,運転中（停止中を除く）が基本対象と説明されている,スマホを見ても通話しなければ違反にならない,3,周知資料では、運転中（停止中を除く）の手持ち通話や画面注視が対象とされており、なお個別事案での評価は状況次第である,"警察庁　自転車ポータルサイト
大阪府警・政府広報オンライン　停止中の扱い"
踏切,初級,遮断機が下りている踏切における自転車の通行として正しいものはどれでしょうか？,押して歩けば常に通ってよい,歩道側なら通ってよい,遮断機が下りている、あたはおり始めているときは入ってはならない,自転車なら通ってよい,3,遮断機が下りている、またはおり始めている踏切に進入してはいけません。自転車も同じです。,"警視庁　自転車ポータルサイト
警視庁　FAQ・反則行為一覧　遮断機踏切立入り"
危険行為,上級,交差点付近に自転車横断帯がある場合の自転車の通行方法として、最も適切なものはどれでしょうか,車道での通行方法に従い、自転車横断帯は利用しなくてよい,歩行者用横断歩道のみを利用し、自転車横断帯は利用してはならない,交差点では必ず自転車から降りて歩かなければならない,自転車横断帯がある場合は、車道通行方法に関する規定にかかわらず、その自転車横断帯を進行しなければならない,4,第63条の7により、自転車横断隊がある交差点付近では、その自転車横断隊を進行することとされている,"道路交通法
道路交通法　第63条の7"
危険行為,初級,普通自転車の並進について正しい説明はどれでしょうか？,普通自転車は3台まで並進が認められる,普通自転車の並進は一切認められていない,歩道であれば何代でも並進してよい,道路標識等で許可されている場合でも、普通自転車が並進できるのは2台までである,4,道路交通法第19条及び第63条の５により、道路標識等で許可された場合を除き並進は禁止され、許可された場合でも2台までに制限があります。,"自転車安全利用五則｜警視庁
道路交通法　第19条・第63の5"
ブレーキ,初級,ブレーキ不良の自転車に関する説明として正しいものはどれでしょうか？,下り坂だけ禁止である,制動装置不良の自転車を運転してはならない,歩道を走るなら関係ない,片方のブレーキだけ効けば問題ない,2,ブレーキ不良の自転車を運転してはなりません。停止できない危険があるためです。,"警視庁　自転車ポータルサイト
警視庁　自転車の交通ルール　制動装置不良自転車運転"
基本ルール,上級,交通整理の行われているない見通しの悪い交差点における自転車の通行方法として、最も適切なものはどれでしょうか,歩道があれば、速度を落とさず歩道を通行すればよい,見通しの悪い交差点では、徐行し交差道路を通行する車両等や歩行者に注意して進行する,見通しが悪くても、優先道路であれば原則の必要はない,自転車には徐行義務はなく、自動車にのみ適用される,2,道路交通法第36条および第42条により、交通整理の行われていない見通しの悪い交差点では、徐行しつつ交差道路の車両や歩行者に注意して進行する必要がある,"自転車安全利用五則｜警察庁
道路交通法　第36条・第42条"
危険行為,上級,道路交通法第25条の2において、自転車を含む車両の横断や転回について定められている内容として、適切なものはどれでしょうか,歩行者または他の車両等の正常な交通を妨害するおそれがあるときは、横断・転回・交代をしてはならない,横断の禁止は自動車のみ適用される,車両は、ほかの交通に配慮すれば自由に横断・転回してよい,道路標識がなければ、どこでも横断・転回してもよい,1,第25条の2では、歩行者または他の車両の正常な交通を妨害するおそれがある場合には、横断・転回・後退をしてはならないと定められている,"自転車安全利用五則｜警察庁
道路交通法　第25条の2"
基本ルール,初級,自転車の安全利用に関する総合的な考え方として、最も適切なのはどれか？,自己は運が悪かったと割り切ればよい,免許が不要なため、違反しても責任は軽い,軽車両としてのルールを理解し、車両としての責任とリスクを自覚して利用する,歩行者と同じ感覚で、細かいルールは意識しなくてよい,3,自転車は軽車両として、多くの法的義務と責任を負う。ルール理解と安全意識が事故防止の前提となる。,"道路交通法施行規則
道路交通法・自転車関連法令　総輪"
交差点・横断,上級,車道通行時の自転車の通行位置として正しいものはどれでしょうか,道路の右側を自由に通行できる,道路中央を通行する,歩道がある場合は車道の規制を受けない,道路の左側によって通行する,4,自転車は車道では左側通行が原則で、逆走は危険であり、重大事故につながりやすい行為である,"警察庁　自転車ポータルサイト
警察庁　自転車の交通ルール　左側通行"
傘さし運転,上級,片手運転に関する整理として最も適切なものはどれでしょうか,片手運転は法律上一切触れられていない,片手運転は子供だけ禁止である,安定を欠く片手運転は安全運転義務違反等につながり得る,傘さしでなければ片手運転は常に問題ない,3,傘さしに限らず、安定を欠く片手運転は安全運転義務違反等などの評価につながり、外形だけでなく運転模様も見られるため、個別判断の要素がある,"警察庁　自転車ポータルサイト
都道府県公安委員会規則・道路交通法第70条片手運転"
基本ルール,初級,普通自転車が歩道を通行する際の義務として、最も適当なものはどれでしょうか？,歩道を通行する場合、自転車は常に押して歩かなければならない,歩道の中央付近を速い速度で通行してよい,歩行者より自転車の通行が優先される,歩道の中央から車道よりの部分を徐行し、歩行者の通行を妨げる場合は一時停止しなければならない,4,普通自転車は、歩道を通行する場合、歩道の中央から車道よりの部分（普通自転車通行指定部分があればその部分）を徐行し、歩行者の通行を妨げる場合は一時停止する義務があります。,"自転車安全利用五則｜警察庁
道路交通法　第63条の4第2項"
自転車運転者講習,上級,自転車運転者講習の受講命令に従わない場合の扱いとして正しいものはどれでしょうか,免許点数だけ加算される,特にペナルティはない,"青切符3,000円で終了する",5万円以下の罰金があり得る,4,自転車運転者講習の受講命令に従わない場合は、5万円以下の罰金とされている,"警察庁　自転車ポータルサイト
自転車運転者講習制度　府受講時の罰則"
基本ルール,上級,自転車の歩道通行において、道路交通法上の基本的な考え方として最も適切なものはどれでしょうか,歩道通行に関する規定は存在しない,危険を感じだ場合は常に歩道通行が義務付けられる,歩道通行が原則であり、車道通行は例外である,茶堂通行が原則であり、標識・標示・や児童等の条件を満たす場合に限り歩道通行が認められる,4,自転車は軽車両として本来車道通行が原則であり、歩道通行は標識灯または特定の要件を満たす場合に限られる,"道路交通法施行規則
道路交通法　第63条の4"
速度超過,上級,自転車の速度に関する説明として正しいものはどれでしょうか,自転車は標識速度に縛られない,速度違反は原付だけの制度である,軽車両にも速度超過の反則行為がある,自転車には速度超過の概念はない,3,反則行為一覧では、軽車両にも速度超過の類型があり、超過速度に応じた反則金額が示されている,"警察庁　自転車ポータルサイト
警察庁　反則行為一覧　速度超過"
乗車制限,初級,自転車の二人乗りに関する原則として正しいものはどれでしょうか？,常に認められている,歩道上なら常に認められる,夜間のみ禁止される,原則として禁止されている,4,警視庁の交通ルール解説では、自転車の二人乗りは原則禁止とされています。,"警視庁　自転車の交通ルール
乗車の制限等　自転車の二人乗りは原則禁止"
ペダル付き原付,初級,ペダル付きの車両に関する説明として正しいものはどれでしょうか？,スロットル付きや電動アシスト基準不適合なら、自転車ではなく原付等に該当し得る,ペダル付き車両はすべて免許不要である,ペダル付きならナンバー不要である,ペダルが付いていれば必ず自転車である,1,警視庁は、ペダルがあってもスロットル付きや電動アシスト基準不適合のものは、自転車ではなく一般原動機付自転車や自動車に該当し得ると案内しています。,"警視庁　自転車ポータルサイト
警視庁　自転車安全利用の促進　ペダル付き原動機付自転車"
危険行為,上級,自転車の警音器の使用について、道路交通法第54条の趣旨に合致するものはどれでしょうか,歩行者に道を譲らせるために常時鳴らしてよい,警音器の使用に関する規定は自動車のみ適用される,左右の見通しのきかない場所で標識により指定されている場合や、危険を防止するためやむを得ない場合に鳴らす,市街地では警音器の使用は一切禁止されている,3,道路交通法第54条では、見通しのきかない交差点等で標識に寄り指定された場合や、危険防止のためやむを得ない場合に警音器を使用すべきこと、またそれ以外の不必要な使用を禁じている,"自転車安全利用五則｜警察庁
道路交通法　第54条"
基本ルール,上級,普通自動車で安全に車道を通行することに支障を生ずる程度の身体障害は、どの法律の別表に掲げる障害とされているか,身体障碍者福祉法,道路運送車両法,自転車活用推進用,労働基準法,1,第9条の2の3のは、身体障碍者福祉法別表に掲げる障害を準用している,"道路交通法施行規則
道路交通法施行規則　第9条2の3"
危険行為,上級,自転車の駐輪について、道路交通法上「駐車・停車禁止」とされる場所として適切なものはどれでしょうか,駐輪場として指定されてスペース,車道の中央,自転車が通行しない歩道上の任意の場所,横断歩道およびその前後の一定距離の部分,4,横断歩道や交差点付近などは駐停車禁止場所とされており、自転車もほかの車両と同様に駐輪してはならない場所がある,"道路交通法
道路交通法　第44条・第45条"
イヤホン使用,初級,イヤホン等で周囲音が聞こえない状態の運転に関係しやすい違反類型と反則金の組み合わせとして、最も適切なものはどれでしょうか？,"無灯火/5,000円","信号無視/6,000円","公安委員会遵守事項違反/5,000円","携帯電話使用等（保持）/12,000円",3,イヤホン規則は都道府県公安委員会規則由来であり、反則行為一覧では公安委員会遵守事項違反として整理されます。地位差・規則文言差があるため、実務上は個別確認が必要です。,"警視庁　自転車ポータルサイト
警視庁　反則行為一覧　公安委員会遵守事項違反"
基本ルール,上級,自転車横断帯が設けられていない交差点における自転車の横断方法として、最も適切なものはどれでしょうか,横断歩道上を自転車で通行することが義務付けられている,交差点において、車両としての通行方法に従って直進・右右折しながら横断する,任意の場所から斜めに横断してよい,必ず自転車を降りて歩行者として横断しなければならない,2,自転車横断帯がない場合、自転車は車両として交差点通行の原則に従って横断することになる,"道路交通法施行規則
道路交通法　第24条の2、第62条の7"
罰則・責任,上級,自転車事故における損害賠償責任について、最も適切な説明はどれか,自転車事故でも、民法上の不法行為責任に寄り高額な賠償が命じれられることがある,責任を負うのは自転車の販売店であり、運転者本人は責任を負わない,自転車事故はすべて健康保険でまかなわれるため、賠償問題は発生しない,自転車は軽車両なので、人身事故を起こしても損害賠償義務は生じない,1,民法第709条などに基づき、自転車事故でも高額な損害賠償を命じられた判例が多数存在する,
基本ルール,初級,自転車で横断歩道を通行して道路を横断する場合、どの信号に従う必要があるでしょうか？,常に歩行者信号のみ,「歩行者・自転車専用」と表示された歩行者信号がある場合は、その信号,常に車両信号のみ,青色であればどちらでもよい,2,歩行者・自転車専用信号が設けられている場合、自転車はその表示に従うことが求められます。,"道路交通法　第7条
信号機の表示に従う義務"
基本ルール,初級,道路交通法第2条において、自転車はどの区分に含まれると規定されているでしょうか？,歩行者,区分なし,自動車,軽車両,4,道路交通法第2条で、自転車は「軽車両」に含まれると定義されています。したがって、自転車には軽車両としての交通ルールが適用されます。,"自転車安全利用五則｜警視庁
道路交通法　第2条"
基本ルール,上級,歩道から車道へ侵入する際の自転車の運転方法として、安全運転義務に最も沿うものはどれでしょうか,車両用信号が青であれば、安全確認は不要である,車道の交通を確認せず、横断歩道の有無だけを確認する,歩道上と同じ速度で車道に侵入する,一時停止や徐行に寄り、車両や歩行者の動向を十分に確認してから侵入する,4,4車道への進入時は、他の車両や歩行者との接触を避けるため、十分な安全確認が必要,"道路交通法
道路交通法　第112条・第38条"
速度超過,上級,軽車両の速度超過について、15km/h未満超過の場合の反則金額はどれでしょうか,"5,000円","6,000円","7,000円","10,000円",2,"警察庁の反則行為一覧では、軽車両の速度超過は15km/h未満超過で6,000円である","警察庁　自転車ポータルサイト
警察庁　反則行為一覧　速度超過"
一時停止,上級,自転車の指定場所一時不停止等の反則金額として正しいものはどれでしょうか,"5,000円","6,000円","7,000円","12,000円",1,"警察庁の反則行為一覧では、軽車両の指定場所一時不停止等は5,000円である","警察庁　自転車ポータルサイト
警察庁　反則行為一覧　指定場所一時不停止等"
青切符制度,上級,青切符ではなく刑事手続き側で処理されやすい例として、最も適切なものはどれでしょうか？,ベルの未使用,サドルの高さ調整不備,軽微な無灯火,酒気帯び・酒酔い運転などの重大違反,4,制度説明では、酒気帯び・酒酔いなどの重大違反や事故発生時は赤切符側、つまり刑事手続き側になりやすいと整理されています。,"警視庁　自転車ポータルサイト
政府広報インライン　青切符と赤切符の切り分け"
危険行為,上級,自転車事故における法的責任について、一般的な説明として適切なものはどれでしょうか,他人に損害を与えた場合、過失があれば高額な損害賠償責任を負う可能性がある,自転車には保険は存在しない,自転車事故では、加害者が賠償責任を負うことはない,歩行者との事故の場合のみ責任が発生する,1,自転車事故でも、重い後遺障害等が残る事例では数千万円規模の賠償責任が生じることがあり、自転車保険加入が強く推奨されている,"道路交通法
民法・道路交通法関連　第709条ほか"
基本ルール,上級,道路交通法の「普通自転車」に該当する条件として、最も適切な説明はどれでしょうか？,原動機のみで走行する原動機付自転車,ペダルが付いていれば大きさに関係なくすべて普通自転車,車体の大きさ・構造が基準に適合し、他の車両を牽引していない自転車,三輪以上の自転車であればすべて普通自転車,3,普通自転車は、車体の大きさおよび構造が内閣府令の基準に適合し、他の車両を牽引していない自転車と定義されています。,"自転車安全利用五則｜警察庁
道路交通法　第2条・第63条の３・施行規則第9条の2"
信号,上級,自転車が守るべき信号に関する説明として最も適切なものはどれでしょうか,常に歩行者用信号だけを守る,自転車は信号規制の対象外である,自分が通行している一・方法に応じて対面する信号に従う,常に車両用信号だけを守る,3,警察庁の解説では、車道通行時は車両用信号、歩道通行時は状況に応じて歩行者用信号を守るなど、対面する信号に従う整理が示されている,"警察庁　自転車ポータルサイト
警察庁　自転車の交通ルール　左側通行対面する信号機を守る"
