問題番号,問題文,難易度,カテゴリ,正解,解説,法令参照
33,使用动力装置的轻型车辆，其动力装置必须为电动机，并应具有步行推行时操作的结构。,初级,基本规则,〇,《道路交通法实施规则》第1条之2第3项第2号（イ、ロ）规定，必须使用电动机，并且应当具有可边步行边操作的结构。,《道路交通法实施规则》第1条之2之3：关于使用原动机的轻车结构规定（如可边步行边操作等）。
34,移动用小型车的结构不得超过时速6公里。,初级,危险行为,〇,《道路交通法实施规则》第1条之4第2号（ロ）规定，其结构不得达到超过6km/h的速度。,《道路交通法实施规则》第1条之4：移动用小型车最高速度的上限。
35,移动用小型车的动力装置也可以是汽油发动机等内燃机。,初级,基本规则,✕,《道路交通法实施规则》第1条之4第2号（イ）规定，原动机必须为电动机，不包括汽油发动机等内燃机。,《道路交通法实施规则》第1条之4：移动用小型车原动机的种类（电动机）。
36,符合《道路交通法施行规则》第1条之3规定的电动助力自行车，不属于原动机付自行车，而作为“自行车”处理。,初级,基本规则,〇,正如日本警察厅及各都道府县所说明的，符合该实施规则标准的车辆，作为“自行车”处理。,《道路交通法》第2条、《道路交通法实施规则》第1条之3：区分电动助力自行车与轻便摩托车的法律依据。
37,仅在前轮或后轮其中一侧装有制动装置的自行车，可能因不符合《道路交通法》第63条之9要求的制动性能而构成违法。,初级,基本规则,〇,该条要求自行车配备制动装置等，因此前后车轮均应具有有效的制动装置。,《道路交通法》第63条之9第1项：关于自行车制动装置（刹车）标准的法律依据。
38,自行车的反光装置必须具备在夜间从后方100米处用前照灯照射时，能够从照射位置清楚确认反光的性能。,初级,基本规则,〇,这是《道路交通法实施规则》第9条之4第1号明确规定的要求。,《道路交通法实施规则》第9条之4：反光器材必须具备在夜间从后方100米处用前照灯照射时能够确认反射光的性能。
39,设置有自行车专用道标志的道路，除自行车外，原动机付自行车和汽车不得进入通行。,初级,危险行为,〇,自行车道是供轻车类自行车等专用的通行区域，其他车辆不得通行。,《道路交通法》第17条、第63条之3：自行车道是供自行车等通行的专用道路，轻便摩托车及汽车不得通行。
40,根据《道路交通法》第2条第3项，推着自行车步行的人视为行人。,初级,基本规则,〇,该条规定，推着车辆步行的人视为行人，此规定同样适用于自行车。,《道路交通法》第2条第3项：规定推着车辆步行的人视为行人。
41,在设有自行车横穿道的附近，自行车应当通过该自行车横穿道横过道路。,初级,基本规则,〇,这是根据《道路交通法》第25条之2及第63条之6规定的自行车横穿道路的基本规则。,《道路交通法》第25条之2、第63条之6：设有自行车横穿道时，必须通过该横穿道横过道路。
42,自行车之间并排行驶，除道路标志等特别允许的区间外，根据《道路交通法》第19条及第63条之5禁止。,初级,危险行为,〇,包括自行车在内的轻车原则上禁止并排行驶，仅在有交通标志特别允许时例外。,《道路交通法》第19条、第63条之5：原则上禁止轻车（自行车）并排行驶，仅在交通标志等允许时例外。
43,自行车可搭载幼儿的人数及座椅结构受《道路交通法》第63条之4及各都道府县细则限制，不得无限制搭载。,初级,危险行为,〇,儿童座椅的数量、安装方式及可搭载儿童的人数，均受法律法规及地方细则限制。,《道路交通法》第63条之4：关于自行车可乘坐人数及儿童座椅的法律依据。
44,自行车夜间在道路上通行时，应开启前照灯，并配备尾灯或符合施行规则第9条之4规定的反光装置。,初级,基本规则,〇,这是依据《道路交通法》第52条及第63条之9第2项关于灯光和反光器材的规定。,《道路交通法》第52条、第63条之9第2项：关于夜间灯光义务及自行车配备反光器材或尾灯义务的法律依据。
45,根据《道路交通法》，自行车属于轻车类。,初级,基本规则,〇,根据《道路交通法》第2条第1项第11号，自行车属于轻车，因此需遵守车辆的各项义务。,《道路交通法》第2条第1项第11号：自行车被定义为轻车。
46,自行车原则上应靠车道左侧边缘通行。,初级,基本规则,〇,根据《道路交通法》第17条及第63条之3，自行车原则上应靠车道左侧边缘通行。,《道路交通法》第17条、第63条之3：作为轻车的自行车在车道上原则上必须靠左侧边缘通行。
47,即使是自行车，在车道右侧行驶（逆向行驶）也属于违反《道路交通法》。,初级,危险行为,〇,作为轻车的自行车也有靠左通行义务，原则上不得逆向（右侧）行驶。,《道路交通法》第17条：自行车也禁止在车道右侧逆向行驶。
48,自行车在人行道通行时，应以行人为优先，减速慢行，不得妨碍行人通行。,初级,危险行为,〇,根据《道路交通法》第63条之4，自行车在人行道上通行时，应以行人为优先，并减速慢行。,《道路交通法》第63条之4：自行车在人行道通行时，应以行人为优先并减速慢行。
49,自行车作为轻车类，也有遵守交通信号灯的义务，闯红灯属于违反信号规定并可能受到处罚。,初级,危险行为,〇,《道路交通法》第7条适用于所有车辆，自行车也不例外，必须遵守交通信号。,《道路交通法》第7条、第2条第1项第11号：包括自行车在内的轻车必须遵守交通信号。
50,在设有“停车（止まれ）”标志的交叉路口，自行车也有完全停车的义务。,初级,危险行为,〇,根据《道路交通法》第43条，自行车在设有“停止”标志的路口也必须完全停车。,《道路交通法》第43条、第63条之3：设有停车标志的路口，自行车同样有停车义务。
51,打伞骑车或单手骑车，也可能因违反安全驾驶义务而成为指导或取缔对象。,初级,危险行为,〇,各地警察机关已明确将打伞骑车、单手骑车等列为执法对象，发生事故时也可能被认定为重大过失。,《道路交通法》第70条：单手骑车、撑伞骑车等属于违反安全驾驶义务，在各地均为执法对象。
52,夜间骑自行车未开启前照灯行驶，属于违反灯光使用义务，可能受到处罚。,初级,处罚与责任,〇,夜间骑自行车不开前灯属于违反《道路交通法》第52条灯光使用义务，各地均有执法取缔。,《道路交通法》第52条、第120条：夜间无灯骑行属于违反灯光使用义务，可受到处罚。
53,自行车双人乘坐原则上受到《道路交通法》禁止，但幼儿同乘自行车等例外情况除外。,初级,危险行为,〇,从安全角度来看，除符合规定的儿童载人自行车等特殊情况外，原则上禁止双人骑乘。,《道路交通法》第57条、第63条之4：自行车原则上禁止双人骑乘，儿童载人自行车等法定例外除外。
54,自行车专用道是供符合标准的自行车等使用的车道部分，汽车原则上不得通行。,高级,基本规则,〇,自行车道是专供自行车通行而划设的车道部分，机动车原则上不得驶入。,《道路交通法》第63条之3：关于可在自行车道通行车辆范围的规定。
55,作为轻车类的自行车，在公安委员会规定的交叉路口，有时必须采用二段式右转。,高级,危险行为,〇,根据《道路交通法》第34条，在公安委员会指定的地点，轻车可能必须采用“两段式右转”。,《道路交通法》第34条：关于轻车右转方式（如两段式右转）的规定。
56,作为轻车类的自行车，应按照载物装置结构及公安委员会规定的标准，对载物的大小和重量进行限制。,高级,危险行为,〇,根据《道路交通法》第57条之2，轻车载物方式及载重限制必须符合公安委员会规定的标准。,《道路交通法》第57条之2：关于轻车载物限制的规定。
57,设置有“行人专用”标志的道路，原则上不得骑乘自行车通行。,高级,危险行为,〇,根据《道路交通法》第108条之3，反复实施法定危险骑行行为的人，可能会被命令接受自行车驾驶人讲习。,《道路交通法》第108条之3：关于命令接受自行车驾驶人讲习的规定。
58,对反复实施危险自行车驾驶行为的人，公安委员会可能命令其接受自行车驾驶者讲习。,高级,基本规则,〇,“步行者专用”道路原则上仅允许行人通行，自行车应下车推行，并按行人处理。,《道路交通法》第8条、第9条：关于步行者专用道路通行限制的规定。
59,在实行单行线管理的道路上，除另有标志规定外，自行车也必须按照规定方向通行。,高级,危险行为,〇,单行道的交通管制同样适用于作为轻车的自行车，必须按规定方向通行。,《道路交通法》第8条、第17条：关于单行道管制及自行车通行方向的规定。
60,故意将自行车停放在道路中央等妨碍他人通行的行为，属于《道路交通法》禁止行为。,高级,危险行为,〇,根据《道路交通法》第76条，故意将自行车停放在道路中央等妨碍他人通行的行为属于违法,《道路交通法》第76条：关于道路上禁止行为（妨碍交通行为）的规定。
61,故意将自行车停放在道路中央等妨碍他人通行的行为，属于《道路交通法》禁止行为。,高级,危险行为,〇,根据《道路交通法》第76条，故意将自行车停放在道路中央等妨碍他人通行的行为属于违法。,《道路交通法》第76条：关于道路上禁止行为（妨碍交通行为）的规定。
62,酒后骑自行车受到《道路交通法》禁止。,高级,危险行为,〇,根据《道路交通法》第65条，酒后骑自行车同样属于法律禁止行为。,《道路交通法》第76条：规定道路上的禁止行为（妨碍交通行为）。
63,戴着耳机大音量听音乐，导致听不到周围声音而骑自行车，极有可能违反安全驾驶义务及各都道府县的禁止规定。,高级,危险行为,〇,戴耳机大音量听音乐导致无法听见周围声音，可能因违反安全驾驶义务而受到处罚。,《道路交通法》第70条、第71条：关于安全驾驶义务及公安委员会规定的禁止行为（如佩戴耳机等）的规定。
64,由于速度越高，停车距离越长，因此从安全驾驶义务的角度，应根据情况调整速度。,高级,基本规则,〇,由于速度越快，制动距离越长，因此应根据视线及路面状况调整适当速度。,《道路交通法》第70条：关于根据制动距离等选择安全车速的义务。
65,即使路面结冰、积雪或有砂石容易打滑，只要未超过限速，也无需改变平时的驾驶方式。,高级,危险行为,✕,不根据路面状况调整速度或行驶方式，可能违反安全驾驶义务。,《道路交通法》第70条：关于根据路面状况（结冰、砂石、泥泞等）调整驾驶方式的义务。
66,自行车的制动性能标准，对于湿滑路面的停车距离也有具体数值规定。,高级,危险行为,✕,《道路交通法实施规则》规定的是“干燥、平坦的铺装路面”条件，并未规定湿滑路面的具体制动距离。,《道路交通法施行規則》第9条之3：关于制动性能标准适用路面的规定。
67,电动助力自行车在低速（时速10公里以下）时，对人力辅助比例没有设定上限。,高级,基本规则,✕,根据《道路交通法实施规则》第1条之3，不同速度区间均明确规定了相对于人力的辅助动力比例上限，因此低速区域也有上限。,《道路交通法施行規則》第1条之3：时速10km以下低速时电动助力自行车助力比例上限。
68,电动助力自行车的辅助功能应当运作平稳，并且不得因其运作影响安全驾驶。,高级,危险行为,〇,《道路交通法实施规则》第1条之3第2号明确规定了辅助功能应具有平顺性及安全性的要求。,《道路交通法施行規則》第1条之3：关于助力功能平顺性与安全性的标准。
69,使用动力装置的轻型车辆，其车身尺寸不得超过长4米、宽2米、高3米。,高级,基本规则,〇,《道路交通法实施规则》第1条之2之3第1号规定，车辆尺寸不得超过长4米、宽2米、高3米。,《道路交通法施行規則》第1条之2之3：使用原动机的轻型车辆车体尺寸上限。
70,使用动力装置的轻型车辆，即使驾驶人离开车辆后，动力装置仍可继续运转。,高级,危险行为,✕,同条（ハ）规定，当驾驶人离开车辆时，原动机必须停止运转。,《道路交通法施行規則》第1条之2之3：使用原动机的轻型车辆在驾驶员离车时必须停止原动机。
71,被推行时视为行人的四轮及以上自行车，其标准为长度不超过190厘米、宽度不超过60厘米。,高级,基本规则,〇,《道路交通法实施规则》第1条之8规定，四轮以上自行车的长度不得超过190厘米，宽度不得超过60厘米。,《道路交通法施行規則》第1条之8：关于推行时视为行人的车辆尺寸标准（四轮以上自行车等）。
72,移动用小型车的车身尺寸不得超过长120厘米、宽70厘米、高120厘米（不含头枕）。,高级,基本规则,〇,《道路交通法实施规则》第1条之4第1号规定了上述尺寸作为最大限度。,《道路交通法施行規則》第1条之4：移动用小型车（电动代步车等）的尺寸上限。
73,使用动力装置的残障人士专用车辆，其车身尺寸不得超过长120厘米、宽70厘米、高120厘米（不含头枕）。,高级,基本规则,〇,《道路交通法实施规则》第1条之5第1号规定，与小型移动车辆相同的尺寸上限。,《道路交通法施行規則》第1条之5：供残障人士使用的动力车尺寸上限。
74,使用动力装置的残障人士专用车辆，应能够从外观上明显区别于汽车或原动机付自行车。,高级,基本规则,〇,《道路交通法实施规则》第1条之5第2号（ニ）规定，车辆外观必须能够与汽车或轻便摩托车明确区分。,《道路交通法施行規則》第1条之5：供残障人士使用的动力车必须能从外观上与汽车等明显区分。
75,骑行头盔的标准包括：确保视野、具有吸收冲击性能、下巴固定带牢固，以及重量不超过2公斤等。,高级,危险行为,〇,《道路交通法实施规则》第9条之5规定了头盔应符合视野、听觉、吸收冲击、抗穿透性、下巴带固定、重量不超过2公斤等要求，自行车头盔也应符合这些要求。,《道路交通法施行規則》第9条之5：乘车用头盔标准（视野、固定性、重量等），也适用于自行车头盔选择。
76,即使不踩踏板，仅靠动力装置即可行驶的车辆，属于《道路交通法施行规则》第1条之3规定的“带驱动辅助装置自行车”。,高级,基本规则,✕,《道路交通法实施规则》第1条之3所规定的是辅助人力踩踏的电动机，若仅靠原动机即可行驶，则不属于自行车，而应视为轻便摩托车等。,《道路交通法施行規則》第1条之3：规定电动助力自行车的电动机标准（必须使用电动机、不得影响安全驾驶等）。
78,电动助力自行车在时速10公里以下时，助力比例规定为人力1：电动辅助力2。,高级,基本规则,〇,根据《道路交通法实施规则》第1条之3，时速10公里以下时，电动辅助比例上限为人力1：电力2，超过该比例则不符合自行车标准。,《道路交通法施行規則》第1条之3：规定电动助力自行车助力比例（人力与电机助力）及与速度的关系。
79,助力比例或速度控制能够轻易修改的电动助力自行车，可能不符合第1条之3规定的“难以改造的结构”。,高级,危险行为,〇,若车辆结构可轻易改装以超出标准，则不符合法律规定的“助力自行车”条件，可能被认定为轻便摩托车等。,《道路交通法施行規則》第1条之3：规定电动助力自行车不得容易改造成不符合标准的结构。
80,关于自行车制动装置，《施行规则》第9条之3规定了制动距离等性能标准，因此并非“只要装有刹车即可”。,高级,基本规则,〇,该条规定了制动性能的具体标准，不符合性能标准的车辆上路可能违反法律。,《道路交通法施行規則》第9条之3：规定自行车制动装置性能（制动距离等）的具体标准。
81,自行车配备符合《施行规则》第9条之4标准的反光装置时，根据条例规定，有时可以不安装尾灯。,高级,基本规则,〇,许多都道府县的实施细则规定，只要配备符合标准的反光器材即可免装尾灯，但为了安全，仍建议同时安装尾灯。,《道路交通法》第63条之9第2项、《道路交通法施行規則》第9条之4：自行车可使用符合标准的反光器材代替尾灯。
82,《施行规则》第9条之4要求的反光装置必须是安装在自行车上的，仅依靠骑车人衣物上的反光材料不能替代。,高级,危险行为,〇,法律条文要求反光器材必须安装在自行车上，实际执法中也要求固定于车体。,《道路交通法施行規則》第9条之4：反光器材必须安装在自行车上，仅靠身体或衣物上的反光材料不能代替。
83,《施行规则》第5条之6对可通行自行车专用道的自行车尺寸（长、宽、高）设有上限，超过标准的车辆不得进入自行车专用道。,高级,基本规则,〇,该条为保障自行车道安全，对可通行自行车的尺寸设定了标准。,《道路交通法施行規則》第5条之6：规定可通行自行车道的自行车尺寸标准（长、宽、高）。
84,宽体四轮自行车如果超过自行车专用道允许的尺寸标准，不得在自行车专用道通行。,高级,基本规则,〇,超过《道路交通法实施规则》第5条之6规定尺寸的车辆，不得在自行车道通行。,《道路交通法施行規則》第5条之6：只有符合尺寸标准的普通自行车等才能通行自行车道。
85,推着自行车通过人行横道的人视为行人，因此机动车依据《道路交通法》第38条负有停车让行义务。,高级,基本规则,〇,推着自行车步行的人视为行人，因此在斑马线上受行人保护。,《道路交通法》第38条、第2条第3项：推着自行车过人行横道时视为行人，机动车负有停车让行义务。
86,自行车安全使用及停车位的保障，不仅受到《道路交通法》规定，也受到《自行车法》（《关于自行车等停车对策的法律》）规定。,高级,基本规则,〇,《自行车法》作为基本法律，旨在全面推进自行车安全使用及停车管理。,《促进自行车安全利用及自行车等停车对策综合推进法》第1条等：以促进自行车安全使用和停车管理为目的的法律（俗称《自行车法》）。
87,《施行规则》第9条之5禁止包括自行车驾驶人在内的车辆驾驶人，以听不到周围必要声音的状态听音乐驾驶。,高级,危险行为,〇,该条禁止因使用随身音乐播放器等导致无法听见必要环境声音的情况下驾驶车辆。,《道路交通法施行規則》第9条之5：禁止因使用随身音乐播放器等导致无法听见安全驾驶所需周围交通声音的驾驶行为。
88,反光装置或尾灯的义务主要适用于夜间通行，但在隧道等情况下，并不能因为是白天就完全不需要配备。,高级,基本规则,〇,除夜间外，在隧道等情况下也可能有灯光使用义务，因此从安全角度建议始终配备灯具。,《道路交通法》第52条、第63条之9第2项：反光器材和尾灯义务主要适用于夜间，但出于安全考虑，白天也建议配备。
89,无论是否设有自行车横穿道，只要可能妨碍行人或其他车辆正常通行，自行车不得横穿道路。,高级,危险行为,〇,根据《道路交通法》第25条之2及第63条之7，不得以妨碍其他交通安全的方式横穿道路。,《道路交通法》第63条之7、第25条之2：关于自行车通过人行横道、自行车横断带的方法，以及不得妨碍其他交通。
90,骑自行车时持续注视手机屏幕，可能构成违反安全驾驶义务（《道路交通法》第70条）。,高级,危险行为,〇,骑车时长时间注视手机屏幕属于未履行前方注视义务，在各地执法中也被重点查处。,《道路交通法》第70条：驾驶时持续注视手机等行为属于违反安全驾驶义务。
91,《道路交通法施行规则》规定，自行车必须配备警铃（车铃）。,高级,基本规则,〇,《道路交通法实施规则》第9条之1规定，自行车原则上与机动车一样，必须配备铃（警音器）。,《道路交通法施行規則》第9条之1：自行车必须配备警铃。
92,为了驱赶行人而随意鸣响自行车铃，不属于《道路交通法》认可的适当使用警铃。,高级,危险行为,〇,《道路交通法》第54条规定，铃只能在必要情况下使用，不得为了驱赶行人而滥用。,《道路交通法》第54条：警铃只能在必要时使用，不得为了驱赶行人而滥用。
93,目前，所有自行车使用者都有佩戴骑行头盔的努力义务。,高级,基本规则,〇,修订后的《道路交通法》规定，所有年龄层的自行车使用者均有佩戴头盔的努力义务。,《道路交通法》第63条之11（修正）：所有自行车使用者都有佩戴头盔的努力义务。
94,禁止酒后驾驶和醉酒驾驶的规定，同样适用于自行车驾驶。,高级,处罚与责任,〇,《道路交通法》第65条规定，任何人不得酒后驾驶车辆，自行车同样属于适用对象。,《道路交通法》第65条：禁止酒后、醉酒驾驶也适用于自行车。
95,骑没有制动装置的所谓“无刹车固定齿轮自行车（No Brake Pist）”上道路，可能因车辆整备不良而受到处罚。,高级,处罚与责任,〇,不符合《道路交通法》第63条之9规定要求的车辆上路，将作为违反《道路交通法》受到处罚。,《道路交通法》第63条之9、第120条：骑行没有制动装置（刹车）的自行车属于违法，并可能受到处罚。
96,自行车除遵守最高速度标志外，也有根据道路及交通状况以安全速度行驶的义务。,高级,危险行为,〇,根据《道路交通法》第22条及第70条，自行车也有义务根据道路和交通状况调整适当车速。,《道路交通法》第22条、第70条：自行车不仅要遵守最高速度限制，还必须根据实际情况以安全速度行驶。
,,,,,,
