カテゴリ,難易度,問題文,選択肢１,選択肢２,選択肢３,選択肢４,正解番号,解説,関連交通ルール
基本规则,高级,关于时速10公里以上、24公里以下时电动助力自行车的助力比例，以下哪项理解正确？,车速越高，电机助力相对于人力的辅助比例会逐渐降低。,无论速度如何，都可以按固定比例提供助力。,在这一速度范围内，完全不得使用电动助力。,超过时速20公里后，助力比例将不再受限制。,1,根据第1条之3第1项，电动助力比例会随着车速提高而逐渐降低，其上限由公式规定。,"《道路交通法施行规则》
《道路交通法施行规则》第1条之3"
基本规则,高级,根据《道路交通法》第63条之4，普通自行车可以在人行道通行的条件，以下哪项最符合规定？,自行车原则上应在人行道通行，在车道通行属于例外。,仅在交通标志允许，或儿童、老年人等在车道通行存在危险的情况下，才允许在人行道骑行。,只要人行道足够宽，任何时候都允许骑自行车通行。,只要骑行者感觉危险，任何时候都允许在人行道骑行。,2,普通自行车只有在道路标志允许，或儿童、老年人等在车道骑行存在危险，以及其他不得已情况时，才允许在人行道骑行。,"《自行车安全使用五项原则》｜警察厅
《道路交通法》第63条之4"
基本规则,初级,根据《道路交通法》，自行车属于哪一类车辆？,机动车（汽车）。,行人。,轻型车辆。,没有规定。,3,根据《道路交通法》第2条，自行车属于“轻型车辆（轻车両）”。,《道路交通法》第2条：关于轻型车辆及自行车定义的规定。
危险行为,初级,关于自行车载人（双人乘坐），哪项说法最恰当？（各都道府县的具体规定另有规定）,只要有乘坐装置，就可以搭载任何人数。,原则上禁止在没有乘坐设备的位置载人，轻型车辆的载人数由公安委员会规定限制。,轻型车辆。,自行车没有载人数量限制。,2,根据《道路交通法》第55条、第57条，原则上禁止在没有乘坐装置的位置载人，轻型车辆的载人标准由公安委员会规定。,《道路交通法》第55条、第57条：关于乘坐方式及载人数量限制的规定
基本规则,高级,根据《道路交通法》第25条，自行车为进入道路外设施而左转时，以下哪种方式最符合规定？,先靠近道路右侧边缘后再左转。,可以从道路中央附近直接左转。,应尽量提前靠近道路左侧边缘，并减速慢行后左转。,只需横穿人行道转弯即可。,3,根据《道路交通法》第25条，左转驶离道路时，应尽量提前靠近道路左侧，并减速慢行后左转,"《自行车安全使用五项原则》｜警察厅
《道路交通法》第25条"
取缔方针,高级,在日本警察厅FAQ中，以下哪项被列为适用蓝色罚单，而不是口头指导或警告的情形？,应缓慢在人行道上通行。,未佩戴头盔。,进入已放下栏杆的铁路道口。,安装反光装置。,3,根据警察厅FAQ，进入封闭铁路道口、制动装置不良、使用手机（手持）等行为，属于蓝色罚单对象，而非仅给予教育警告。,"警察厅 自行车门户网站
自行车门户网站 FAQ——恶性、危险违法行为示例"
交叉路口与横穿,高级,在横穿道路（人行横道）附近骑行自行车时，以下哪种做法是正确的？,人行横道以行人为优先，不得妨碍行人通行。,只要按响车铃，就可以优先通行。,即使有行人，自行车也可以优先通过。,自行车不得通过人行横道。,1,人行横道以行人优先，自行车不得妨碍行人通行，并应视情况停车或礼让。,"警察厅 自行车门户网站
警察厅：自行车交通规则——人行道骑行的例外、斑马线与行人优先"
危险行为,高级,根据《道路交通法》第72条，自行车发生交通事故后应履行的义务，以下哪项是正确的？,如果对方看起来只是轻伤，也可以离开现场。,应立即停车，救助伤者，采取防止危险的措施，并向警方报告。,自行车发生事故时没有报警义务。,如果只是财产损失事故，则无需采取任何措施。,2,根据《道路交通法》第72条，发生交通事故时，包括自行车在内的车辆驾驶人均负有救助伤者、采取防止危险措施以及向警方报告的义务。,"《自行车安全使用五项原则》｜警察厅
《道路交通法》第72条"
刹车,初级,关于机动车制动装置不良的罚款金额，哪项是正确的？,"10,000日元。","6,000日元。","5,000日元。","7,000日元。",3,"根据警视厅公布的罚款标准，自行车制动装置不良的罚款为5,000日元。",警视厅 自行车门户网站：警视厅《反则行为一览》——自行车制动装置不良。
基本规则,初级,下列哪组车身尺寸符合普通自行车的规定？,长度200厘米以下、宽度70厘米以下。,只规定了长度上限，没有宽度上限。,长度190厘米以下、宽度60厘米以下。,长度180厘米以下、宽度80厘米以下。,3,《施行规则》规定，普通自行车的尺寸为：长度不超过190厘米、宽度不超过60厘米，超过该标准则不属于普通自行车。,《道路交通法施行规则》第9条之2之2：普通自行车尺寸标准（长度、宽度）。
危险行为,初级,关于自行车单手骑行、操作智能手机等危险行为，根据《道路交通法》，哪项说明最恰当？,自行车不适用安全驾驶义务。,操作智能手机并未被禁止。,可能因违反安全驾驶义务或违反公安委员会规定而受到处罚。,单手骑车不属于违法行为。,3,根据《道路交通法》第70条安全驾驶义务及第71条相关规定，单手骑行、操作手机、撑伞骑车等行为均可能被认定为违法并受到处罚。,《自行车安全利用五则》。
基本规则,高级,关于自行车配备反光装置，以下哪项说明是正确的？,反光装置的颜色和亮度没有任何标准。,应遵循汽车反光装置的标准，而不是自行车的标准。,不属于安全设备，也没有型号认证制度。,作为安全设备属于型号认证对象，并根据是否符合第9条之4的标准进行判断。,4,根据第39条之8，自行车反光装置属于安全设备，并依据第9条之4的标准进行型号认证。,"《道路交通法施行规则》
《道路交通法施行规则》第9条之4、第39条之8"
交叉路口与横穿,高级,关于在人行道上骑行自行车时与交通信号的关系，以下哪项说明最为恰当？,自行车不受交通信号灯规定的约束。,应根据路口结构和通行位置，遵守所面对的交通信号灯。,在人行道骑行时，始终只需遵守行人信号灯。,即使在人行道骑行，也始终只需遵守机动车信号灯。,2,在人行道骑行时，应根据路口结构和骑行位置，遵守所面对的交通信号灯；并非始终只遵守某一种信号灯。,
危险行为,高级,根据《道路交通法》第72条，自行车发生交通事故后，驾驶人应采取的措施，以下哪项最符合规定？,只需移动车辆，原则上无需救助伤者。,如果只是轻微损坏，可以现场私下和解，无需报警。,如果对方希望离开现场，就无需采取任何措施。,应立即停车，救助伤者，采取防止危险的措施，并向警察报告事故情况。,4,根据第72条，发生事故时，必须救助伤者、采取防止危险措施，并向警方报告。,"《道路交通法》
《道路交通法》第72条"
基本规则,高级,在设有机动车道（车道）的道路上，自行车应在哪一位置通行最为恰当？,可根据情况在人行道和车道之间自由切换。,应在从左侧数第一条机动车道内通行，并靠该车道左侧行驶。,应在最右侧的机动车道内行驶。,可以自由选择空闲车道行驶。,2,设有机动车道车道线时，自行车原则上应在从左侧数第一条机动车道内靠左行驶。,"《自行车安全使用五项原则》｜警察厅
《道路交通法》第20条"
使用耳机,初级,关于佩戴耳机骑自行车，根据警视厅通知的精神，哪项说法最接近？,无论单耳还是双耳佩戴，是否影响听到安全驾驶所需的声音和呼喊来判断。,只戴一只耳机始终是合法的。,没有关于耳机使用的规定。,双耳佩戴耳机一律违法。,1,根据警察厅通知，并非单纯以单耳或双耳佩戴耳机判断是否合法，而是以“是否能够听到安全驾驶所需的声音和提示”为判断标准。,警视厅通知：关于佩戴耳机骑自行车执法的注意事项，不是根据单耳或双耳佩戴判断，而是根据是否能够听见安全驾驶所需的声音和提示来判断。
基本规则,高级,在优先道路与非优先道路交汇的路口，自行车应如何通行才是正确的？,优先道路的规定不适用于自行车。,在非优先道路上行驶的自行车，应注意优先道路上的车辆，并在必要时停车让行。,无论在哪条道路上，自行车始终享有优先通行权。,在优先道路上行驶的车辆，应始终让行非优先道路上的车辆。,2,在优先道路上行驶时，包括从非优先道路进入的自行车在内，各类车辆都应更加注意交通安全。,"《道路交通法》
《道路交通法》第36条"
开车时使用手机,高级,关于自行车骑行时使用手机（边骑车边玩手机），以下哪项说法最为恰当？,即使停车时也一定属于违法。,即使下车推行自行车，也一定属于违法。,规定原则上适用于骑行过程中（不包括停车时）。,即使看手机，只要不通话就不属于违法。,3,宣传资料说明，规定主要针对骑行过程中（不包括停车时）手持手机通话或注视手机屏幕的行为，具体认定仍需结合实际情况。,"警察厅 自行车门户网站
大阪府警察、政府宣传在线——停车状态的处理"
铁路道口,初级,在栏杆已经放下的铁路道口，自行车应如何通行？,只要下车推行，就始终可以通过。,如果是人行道一侧，就可以通过。,当铁路道口栏杆已经放下或开始放下时，不得进入。,只要是自行车就可以通过。,3,当铁路道口的遮断杆已经放下或正在放下时，不得进入道口，自行车同样适用。,警视厅 自行车门户网站：警视厅FAQ、反则行为一览——闯入铁路道口（遮断机关闭时）。
危险行为,高级,在交叉路口附近设有自行车横穿带时，自行车应如何通行最为恰当？,按照车道通行规则行驶即可，无需使用自行车横穿带。,只能使用人行横道，不得使用自行车横穿带。,在交叉路口必须下车推行自行车。,设有自行车横穿带时，无论车道通行规定如何，都必须通过该自行车横穿带。,4,根据第63条之7，在设有自行车横穿带的交叉路口附近，应通过自行车横穿带通行。,"《道路交通法》
《道路交通法》第63条之7"
危险行为,初级,关于普通自行车并排行驶，哪项说明正确？,普通自行车最多允许三辆并排行驶。,普通自行车完全不允许并排行驶。,只要在人行道上，多少辆自行车都可以并排行驶。,即使有道路标志等允许，普通自行车并排行驶也只能两辆。,4,根据《道路交通法》第19条及第63条之5，自行车原则上禁止并排行驶，只有在道路标志允许的情况下才可并行，而且最多只能两辆并行。,《自行车安全利用五则》｜警视厅：《道路交通法》第19条、第63条之5。
刹车,初级,关于制动器（刹车）不良的自行车，哪项说明正确？,仅在下坡时禁止。,不得骑行制动装置不符合规定的自行车。,如果在人行道骑行，就没有关系。,只要一侧刹车有效就没有问题。,2,不得骑行刹车失灵的自行车，因为存在无法停车的危险。,警视厅 自行车门户网站：警视厅自行车交通规则——禁止驾驶制动装置不良的自行车。
基本规则,高级,在没有交通信号或交通指挥且视线不良的交叉路口，自行车应如何通行最为恰当？,只要有人行道，就可以不减速在人行道上骑行。,在视线不良的交叉路口，应减速慢行，并注意交叉道路上的车辆和行人。,即使视线不良，只要是在优先道路上，也无需减速慢行。,自行车没有减速慢行义务，该规定仅适用于汽车。,2,根据《道路交通法》第36条和第42条，在没有交通信号且视线不良的交叉路口，应减速慢行，并注意交叉道路上的车辆和行人。,"《自行车安全使用五项原则》｜警察厅
《道路交通法》第36条、第42条"
危险行为,高级,根据《道路交通法》第25条之2，关于包括自行车在内的车辆横穿道路或掉头的规定，以下哪项是正确的？,有可能妨碍行人或其他车辆正常通行时，不得横穿、掉头或转向。,禁止横穿道路的规定仅适用于汽车。,只要注意其他交通参与者，车辆可以自由横穿道路或掉头。,如果没有交通标志，可以在任何地点横穿道路或掉头。,1,根据第25条之2，如横穿、掉头或倒车可能妨碍行人或其他车辆正常通行，则不得实施这些行为。,"《自行车安全使用五项原则》｜警察厅
《道路交通法》第25条之2"
基本规则,初级,关于安全使用自行车的总体原则，哪项最恰当？,发生事故时，只需认为自己运气不好即可。,因为不需要驾驶证，所以即使违法，责任也较轻。,应了解轻型车辆的规则，并认识到作为车辆使用者应承担的责任和风险。,像行人一样骑车即可，不需要注意详细的交通规则。,3,自行车属于轻型车辆，骑行人负有多项法律义务和责任，遵守交通规则、提高安全意识是预防事故的前提。,《道路交通法施行规则》：《道路交通法》及自行车相关法令（综合规定）。
交叉路口与横穿,高级,自行车在车道上行驶时，正确的通行位置是以下哪一项？,可以自由在道路右侧通行。,在道路中央通行。,只要有人行道，就不受车道相关规定的约束。,应靠道路左侧通行。,4,自行车原则上应靠道路左侧行驶，逆向行驶危险且容易引发重大交通事故。,"警察厅 自行车门户网站
警察厅：自行车交通规则——靠左通行"
打伞骑行,高级,关于单手骑行（单手驾驶）的规定，以下哪项说法最为恰当？,法律中完全没有关于单手骑行的规定。,单手骑行只禁止儿童进行。,单手骑行如果影响车辆稳定，可能构成违反安全驾驶义务等违法行为。,只要不是打伞，单手骑行始终没有问题。,3,不仅打伞，任何影响车辆稳定的单手骑行，都可能构成违反安全驾驶义务等违法行为，需根据具体骑行情况进行判断。,"警察厅 自行车门户网站
各都道府县公安委员会规则、《道路交通法》第70条——单手骑行"
基本规则,初级,普通自行车在人行道骑行时，应履行哪项义务？,在人行道上通行时，自行车必须始终下车推行。,可以在人行道中央附近快速骑行。,自行车优先于行人通行。,在人行道上应靠近车道一侧缓慢行驶，如妨碍行人通行，应当停车让行。,4,普通自行车在人行道上通行时，应靠近车道一侧缓慢行驶；如设有普通自行车通行指定区域，则应在指定区域内通行；妨碍行人时必须停车让行。,《自行车安全利用五则》｜警察厅：《道路交通法》第63条之4第2项。
自行车驾驶者培训,高级,关于不遵守自行车驾驶者培训（讲习）受讲命令时的处理方式，以下哪项是正确的？,只会被记驾驶证扣分。,没有特别的处罚。,"缴纳3,000日元蓝色罚单罚款即可结案。",可能被处以5万日元以下罚款。,4,不服从自行车驾驶人培训命令的，可处5万日元以下罚款。,"警察厅 自行车门户网站
自行车驾驶人培训制度——不参加培训的处罚"
基本规则,高级,根据《道路交通法》，关于自行车在人行道通行的基本原则，以下哪项最为恰当？,关于在人行道骑行，没有相关规定。,只要感觉危险，就必须在人行道上骑行。,原则上应在人行道骑行，在车道骑行属于例外。,原则上应在车道通行，仅在符合交通标志、标线规定或儿童等法定条件时，才允许在人行道骑行。,4,自行车属于轻型车辆，原则上应在车道骑行；只有符合交通标志或其他法定条件时，才允许在人行道骑行。,"《道路交通法施行规则》
《道路交通法》第63条之4"
超速,高级,关于自行车速度的说明，以下哪项是正确的？,自行车不受道路限速标志的限制。,超速处罚制度仅适用于轻便摩托车。,轻型车辆（包括自行车）也有超速违法行为。,自行车没有超速违法这一概念。,3,在交通违法处罚规定中，轻型车辆也存在超速违法行为，并根据超速幅度规定相应的罚款金额。,"警察厅 自行车门户网站
警察厅：交通违法处罚项目一览——超速违法"
载人限制,初级,关于自行车载人的基本原则，哪项是正确的？,始终允许。,只要在人行道上就始终允许。,仅在夜间禁止。,原则上禁止。,4,根据警视厅交通规则说明，自行车原则上禁止双人乘坐。,警视厅 自行车交通规则：关于乘车限制——自行车原则上禁止双人乘坐。
带脚踏板轻便摩托车,初级,关于带脚踏板车辆，哪项说明正确？,带油门或不符合电动助力自行车标准的车辆，可能被认定为轻便摩托车等，而不是自行车。,所有带踏板的车辆都不需要驾驶证。,只要有踏板，就不需要车牌。,只要有脚踏板，就一定属于自行车。,1,警视厅指出，即使装有脚踏板，若配有油门或不符合电动助力自行车标准，也可能被认定为普通摩托车或机动车，而非自行车。,警视厅 自行车门户网站：警视厅促进自行车安全利用——带脚踏板的机动车（电动自行车等）。
危险行为,高级,根据《道路交通法》第54条，关于自行车使用喇叭（警音器）的规定，以下哪项最符合其宗旨？,可以一直鸣喇叭，要求行人让路。,关于喇叭使用的规定仅适用于汽车。,仅在视线不良且设有标志要求鸣笛的地点，或为避免危险确有必要时鸣喇叭。,在市区内，禁止使用喇叭。,3,根据《道路交通法》第54条，在视线不良的交叉路口等设有鸣笛标志的地点，或为避免危险确有必要时，应使用喇叭；除此之外，不得随意鸣笛。,"《自行车安全使用五项原则》｜警察厅
《道路交通法》第54条"
基本规则,高级,妨碍安全驾驶普通汽车的身体残疾，被列入哪部法律附表所规定的残疾范围？,《身体残疾人福利法》,《道路运输车辆法》,《自行车活用推进法》,《劳动基准法》,1,第9条之2之3规定，准用《身体残疾人福利法》附表所列的残疾标准。,"《道路交通法施行规则》
《道路交通法施行规则》第9条之2之3"
危险行为,高级,根据《道路交通法》，以下哪一地点属于自行车禁止停车或临时停车的场所？,指定的自行车停车区域。,车道中央。,人行道上任何自行车不通行的地方。,人行横道及其前后一定距离范围内。,4,人行横道及交叉路口附近等属于禁止停车、临时停车区域，自行车与其他车辆一样，也不得停放在这些地点。,"《道路交通法》
《道路交通法》第44条、第45条"
使用耳机,初级,关于佩戴耳机导致无法听到周围声音骑车时，最可能涉及的违法行为及罚款金额组合是哪一项？,"夜间无灯行驶／罚款5,000日元。","闯红灯／罚款6,000日元。","违反公安委员会规定／罚款5,000日元。","使用手机（手持）/12,000日元。",3,关于耳机的规定来源于各都道府县公安委员会的规定，通常归类为违反公安委员会遵守事项。由于各地区规定有所不同，实际适用需结合当地规定判断。,警视厅 自行车门户网站：警视厅《反则行为一览》——违反公安委员会遵守事项。
基本规则,高级,在没有自行车横穿带的交叉路口，自行车应如何横穿道路最为恰当？,必须骑自行车通过人行横道。,在交叉路口，应按照车辆通行规则直行或左右转弯通过。,可以从任何地点斜穿道路。,必须下车推行自行车，以行人的身份通过。,2,没有自行车横穿带时，自行车应作为车辆，按照交叉路口通行规则横穿道路。,"《道路交通法施行规则》
《道路交通法》第24条之2、第63条之7"
处罚与责任,高级,关于自行车交通事故中的损害赔偿责任，以下哪项说明最为恰当？,即使是自行车事故，根据《民法》侵权责任，也可能被判支付高额赔偿。,承担责任的是自行车销售商，而不是骑行者本人。,所有自行车事故都由医疗保险承担，因此不会产生赔偿问题。,自行车属于轻型车辆，因此即使发生人身事故，也无需承担赔偿责任。,1,根据《民法》第709条等规定，即使是自行车事故，也有大量判例判处高额损害赔偿。,
基本规则,初级,骑自行车通过人行横道横穿道路时，应遵守哪一种交通信号？,始终只遵守行人信号灯。,如果设有标示“行人・自行车专用”的信号灯，则应遵守该信号灯。,始终只遵守机动车信号灯。,只要是绿色信号，哪一个都可以。,2,如果设置了“行人与自行车专用信号灯”，自行车应遵守该信号灯指示。,《道路交通法》第7条：遵守交通信号灯指示的义务。
基本规则,初级,根据《道路交通法》第2条，自行车属于哪一类车辆？,行人。,无分类。,机动车（汽车）。,轻型车辆。,4,根据《道路交通法》第2条，自行车属于“轻型车辆”，因此适用轻型车辆的交通规则。,《自行车安全利用五则》｜警视厅：《道路交通法》第2条。
基本规则,高级,自行车从人行道进入车道时，以下哪种驾驶方式最符合安全驾驶义务？,只要机动车信号灯是绿灯，就无需确认安全。,无需确认车道交通情况，只需确认是否有人行横道。,以在人行道上的速度直接驶入车道。,应停车或减速慢行，在充分确认车辆和行人的动态后再进入。,4,驶入车道时，为避免与其他车辆或行人发生碰撞，必须充分确认安全。,"《道路交通法》
《道路交通法》第112条、第38条"
超速,高级,关于轻型车辆超速，超速未满15公里/小时的罚款金额是多少？,"5,000日元。","6,000日元。","7,000日元。","10,000日元。",2,"根据警察厅交通违法处罚标准，轻型车辆超速未满15公里/小时的罚款为6,000日元。","警察厅 自行车门户网站
警察厅：交通违法处罚一览——超速"
停车让行,高级,关于自行车在指定地点未停车让行等违法行为的罚款金额，以下哪项是正确的？,"5,000日元。","6,000日元。","7,000日元。","12,000日元。",1,"根据警察厅交通违法处罚标准，轻型车辆在指定地点未停车等违法行为的罚款为5,000日元。","警察厅 自行车门户网站
警察厅：交通违法处罚一览——指定地点未停车等"
蓝色罚单制度,高级,以下哪种情况更可能适用刑事程序处理，而不是蓝色罚单制度？,未使用铃铛（车铃）。,车座高度调整不当。,轻微的未开灯行驶。,酒后驾驶、醉酒驾驶等严重违法行为。,4,根据制度说明，酒后驾驶、醉酒驾驶等重大违法行为以及发生交通事故时，通常会适用红色罚单，即进入刑事程序。,"警视厅 自行车门户网站
政府宣传在线——蓝色罚单与红色罚单的区分"
危险行为,高级,关于自行车交通事故中的法律责任，以下哪项一般性说明是正确的？,如果因过失造成他人损害，可能需要承担高额赔偿责任。,自行车没有任何保险制度。,自行车事故中，肇事者无需承担赔偿责任。,只有与行人发生事故时才需要承担责任。,1,即使是自行车事故，如造成严重后遗症，也可能承担数千万日元的赔偿责任，因此强烈建议投保自行车保险。,"《道路交通法》
《民法》及《道路交通法》相关——第709条等"
基本规则,高级,根据《道路交通法》，“普通自行车”应符合哪些条件？以下哪项说明最为恰当？,仅依靠电机行驶的轻便摩托车。,只要装有脚踏板，不论大小，都属于普通自行车。,车身尺寸和结构符合标准，且未牵引其他车辆的自行车。,只要是三轮及以上的自行车，都属于普通自行车。,3,普通自行车是指车身尺寸和结构符合内阁府令标准，且未牵引其他车辆的自行车。,"《自行车安全使用五项原则》｜警察厅
《道路交通法》第2条、第63条之3、《施行规则》第9条之2"
交通信号,高级,关于自行车应遵守的交通信号，以下哪项说明最为恰当？,始终只需遵守行人信号灯。,自行车不受交通信号规定的约束。,应根据自己的通行方式，遵守所面对的交通信号灯。,始终只需遵守机动车信号灯。,3,根据警察厅说明，在车道骑行时应遵守机动车信号灯，在人行道骑行时则根据情况遵守行人信号灯，即应遵守自己所面对的信号灯。,"警察厅 自行车门户网站
警察厅：自行车交通规则——靠左通行、遵守面对的交通信号灯"
