カテゴリ,難易度,問題文,選択肢１,選択肢２,選択肢３,選択肢４,正解番号,解説,関連交通ルール
Hệ thống vé phạt xanh,Trình độ nâng cao,Nếu thừa nhận vi phạm khi nhận vé phạt xanh đối với xe đạp thì thời hạn nộp tiền tạm thời là bao lâu theo quy định?,"Trong nguyên tắc, phải nộp tiền phạt tạm thời trong vòng 7 ngày kể từ ngày hôm sau khi bị xử phạt.",Trong ngày bị xử lý vi phạm.,Trong vòng 30 ngày kể từ khi nhận thông báo.,Không có thời hạn (trong lựa chọn này).,1,"Theo quy định, nếu thừa nhận vi phạm thì phải nộp tiền phạt tạm thời trong vòng 7 ngày kể từ ngày sau ngày bị lập biên bản.","Cơ quan Cảnh sát Quốc gia – Cổng thông tin xe đạp
Hướng dẫn về việc nộp tiền phạt tạm thời (provisional payment)."
Lái xe sau khi uống rượu,Trình độ sơ cấp,Phát biểu nào đúng về việc lái xe đạp sau khi uống rượu?,Xe đạp không phải là phương tiện giao thông nên không thuộc đối tượng áp dụng.,Ngay cả xe đạp cũng bị cấm lái xe khi đã uống rượu.,Chỉ cấm lái xe khi say rượu; còn có nồng độ cồn thì không bị cấm.,Chỉ cấm vào ban đêm.,2,"Xe đạp cũng bị cấm lái xe sau khi uống rượu, và đây được coi là hành vi vi phạm nghiêm trọng.","Điều 65 của Luật Giao thông Đường bộ
Lái xe đạp sau khi uống rượu cũng bị cấm."
Xe gắn máy điện hạng nhỏ (Tokutei Kogata Gentsuki),Trình độ nâng cao,Phát biểu nào đúng về xe gắn máy điện cỡ nhỏ đặc định (特定小型原動機付自転車)?,Chỉ cần có bàn đạp thì tự động được coi là xe gắn máy điện loại nhỏ (tokutei kogata gendōki tsukijitensha).,Xe máy điện loại nhỏ đặc biệt áp dụng hoàn toàn giống xe máy thông thường và không có giới hạn độ tuổi.,Là xe đạp và được phân loại là xe thô sơ (軽車両).,"Nếu đáp ứng điều kiện nhất định thì không cần bằng lái, nhưng đó là xe gắn máy điện cỡ nhỏ (特定小型原動機付自転車) chứ không phải xe đạp.",4,"Xe gắn máy điện cỡ nhỏ (特定小型原動機付自転車) không phải là xe đạp, mà là một loại xe gắn máy; nếu đáp ứng điều kiện nhất định thì không cần bằng lái nhưng về mặt pháp lý vẫn là loại phương tiện khác.",
Sử dụng điện thoại khi đang lái xe,Trình độ sơ cấp,Hành vi nào gần nhất với lái xe đạp trong khi làm việc khác (ながら運転) bị cấm?,Vừa cầm điện thoại để gọi điện vừa nhìn vào màn hình khi đang điều khiển xe (không bao gồm khi xe đang dừng).,Chỉ mang theo điện thoại đã tắt nguồn.,Chỉ cất điện thoại trong túi xách.,Chỉ cầm điện thoại khi xe đang dừng.,1,"Theo quy định, khi đang điều khiển xe đạp (trừ khi đã dừng hẳn), cấm cầm điện thoại để gọi hoặc nhìn vào màn hình.","Điều 71 khoản 5-5 của Luật Giao thông Đường bộ
Cấm cầm điện thoại để gọi hoặc nhìn màn hình khi đang điều khiển xe (không áp dụng khi xe đang dừng)."
Xe đạp trợ lực điện,Trình độ nâng cao,Dấu hiệu nhận biết đúng của xe đạp trợ lực điện đã được chứng nhận kiểu loại là gì?,Dấu PSC.,Dấu PSE.,Tem TS.,Dấu JIS.,3,"Trong hệ thống chứng nhận kiểu loại của Cơ quan Cảnh sát Quốc gia, xe đạp trợ lực điện đạt tiêu chuẩn sẽ được gắn tem TS.","Cơ quan Cảnh sát Quốc gia – Cổng thông tin xe đạp
Hệ thống chứng nhận kiểu loại đối với xe đạp trợ lực điện."
Hành vi nguy hiểm,Trình độ nâng cao,"Khi đi xe đạp trong đường hầm hoặc trên cầu hẹp, cách lái xe nào phù hợp với nghĩa vụ lái xe an toàn?","Để tránh gây cản trở xe phía sau, tăng tốc và đi qua thật nhanh.",Tắt đèn khi chạy để người khác khó nhìn thấy mình.,"Đi chậm, đồng thời quan sát kỹ phía trước và phía sau để đảm bảo an toàn.","Nghĩa vụ lái xe an toàn chỉ áp dụng cho ô tô, xe đạp được đi với tốc độ tự do.",3,"Tại nơi khuất tầm nhìn và có nguy cơ va chạm cao, phải đi chậm và quan sát an toàn đầy đủ.",Điều 42 của Luật Giao thông Đường bộ.
Đi trên vỉa hè,Trình độ nâng cao,Trường hợp nào xe đạp được phép đi trên vỉa hè?,Khi mang nhiều hành lý thì luôn được phép đi trên vỉa hè.,"Được phép khi có biển báo hoặc thuộc trường hợp ngoại lệ như người dưới 13 tuổi, người từ 70 tuổi trở lên.",Khi đang vội.,Nếu thấy nhiều xe thì có thể tự do chuyển lên vỉa hè.,2,"Chỉ được đi trên vỉa hè khi có biển báo cho phép, hoặc người điều khiển dưới 13 tuổi, từ 70 tuổi trở lên, người khuyết tật, hoặc có lý do bất khả kháng.","Cơ quan Cảnh sát Quốc gia – Cổng thông tin xe đạp
Các trường hợp ngoại lệ được phép đi xe đạp trên vỉa hè."
Hệ thống vé phạt xanh,Trình độ sơ cấp,Độ tuổi nào là đối tượng áp dụng chế độ vé phạt xanh đối với xe đạp?,Từ 15 tuổi trở lên.,Từ 18 tuổi trở lên.,Từ 16 tuổi trở lên.,Mọi độ tuổi.,3,"Theo quy định, đối tượng áp dụng chế độ vé xanh đối với xe đạp là từ đủ 16 tuổi trở lên.","Sở Cảnh sát Tokyo – Cổng thông tin xe đạp
Đối tượng áp dụng: Hệ thống vé phạt xanh áp dụng về nguyên tắc đối với người từ 16 tuổi trở lên."
Quy tắc cơ bản,Trình độ nâng cao,"Trong khoảng tốc độ từ 10 km/h đến dưới 24 km/h, tỷ lệ hỗ trợ của xe đạp trợ lực điện được hiểu đúng là như thế nào?",Tốc độ càng cao thì tỷ lệ hỗ trợ của động cơ so với sức người càng phải giảm.,"Lực hỗ trợ của động cơ luôn giữ nguyên tỷ lệ, không phụ thuộc vào tốc độ.",Trong khoảng tốc độ này hoàn toàn không được dùng trợ lực điện.,"Trên 20 km/h, không còn giới hạn tỷ lệ hỗ trợ của động cơ.",1,"Theo Điều 1-3, tỷ lệ hỗ trợ của động cơ giảm dần theo tốc độ theo công thức được quy định.","Quy tắc thi hành Luật Giao thông Đường bộ
Điều 1-3."
Quy tắc cơ bản,Trình độ nâng cao,Điều kiện nào phù hợp nhất với tinh thần của Điều 63-4 Luật Giao thông đường bộ về việc xe đạp thông thường được phép đi trên vỉa hè?,"Xe đạp về nguyên tắc đi trên vỉa hè, còn đi trên lòng đường chỉ là ngoại lệ.","Chỉ được đi trên vỉa hè khi có biển báo cho phép hoặc khi trẻ em, người cao tuổi... gặp nguy hiểm nếu đi dưới lòng đường.",Nếu vỉa hè rộng thì lúc nào cũng được phép đi xe đạp.,Nếu người đi xe đạp thấy nguy hiểm thì luôn được phép đi trên vỉa hè.,2,"Xe đạp thông thường chỉ được đi trên vỉa hè khi có biển báo hoặc trong trường hợp trẻ em, người cao tuổi, người buộc phải đi trên vỉa hè theo quy định.","5 Quy tắc sử dụng xe đạp an toàn (NPA)
Điều 63-4 của Luật Giao thông Đường bộ."
Quy tắc cơ bản,Trình độ sơ cấp,"Theo Luật Giao thông đường bộ, xe đạp thuộc nhóm phương tiện nào?",Ô tô.,Người đi bộ.,Xe thô sơ.,Không quy định.,3,"Theo Điều 2 của Luật Giao thông Đường bộ, xe đạp được xếp vào loại xe hạng nhẹ (軽車両).","Điều 2 của Luật Giao thông Đường bộ
Quy định về định nghĩa xe hạng nhẹ và xe đạp."
Hành vi nguy hiểm,Trình độ sơ cấp,Phát biểu nào phù hợp nhất về việc chở hai người trên xe đạp? (Chi tiết cụ thể có thể khác nhau tùy quy định của từng địa phương.),Chỉ cần có chỗ ngồi thì có thể chở bao nhiêu người cũng được.,"Về nguyên tắc, không được chở người ở vị trí không có chỗ ngồi; số người được chở trên xe đạp được quy định bởi quy định của Ủy ban An toàn Công cộng.","Một người ngồi yên xe, một người ngồi giá chở hàng thì luôn được phép.",Xe đạp không có quy định về số người được chở.,2,"Theo Điều 55 và Điều 57, không được chở người ở vị trí không có chỗ ngồi, và số người được chở trên xe đạp do Ủy ban An toàn Công cộng quy định.","Điều 55 và Điều 57 của Luật Giao thông Đường bộ
Quy định về cách chở người và giới hạn số người được chở."
Quy tắc cơ bản,Trình độ nâng cao,"Khi xe đạp rẽ trái để đi vào một cơ sở ngoài đường, cách thực hiện nào phù hợp nhất với tinh thần Điều 25 của Luật Giao thông đường bộ?",Đi sát mép phải rồi mới rẽ trái.,Có thể rẽ trái ngay từ giữa đường.,"Trước khi rẽ trái, phải đi sát mép trái của đường trong phạm vi có thể và rẽ với tốc độ chậm.",Chỉ cần băng qua vỉa hè để rẽ.,3,"Khi rẽ trái để đi vào cơ sở ngoài đường, phải đi sát mép trái đường và rẽ với tốc độ chậm theo Điều 25.","5 Quy tắc sử dụng xe đạp an toàn (NPA)
Điều 25 của Luật Giao thông Đường bộ."
Chính sách xử lý vi phạm giao thông,Trình độ nâng cao,"Theo mục Hỏi & Đáp của Cơ quan Cảnh sát Quốc gia, trường hợp nào được nêu là đối tượng xử phạt bằng vé phạt xanh thay vì chỉ nhắc nhở?",Đi chậm trên vỉa hè.,Không đội mũ bảo hiểm.,Đi vào đường sắt khi rào chắn đang hạ.,Lắp vật phản quang.,3,"Theo FAQ của Cơ quan Cảnh sát Quốc gia, các hành vi như đi vào đường sắt khi chắn đang hạ, xe đạp hỏng phanh, cầm điện thoại khi lái xe là các ví dụ bị xử lý bằng vé xanh chứ không chỉ nhắc nhở.","Cơ quan Cảnh sát Quốc gia – Cổng thông tin xe đạp
FAQ: Ví dụ về các hành vi vi phạm nghiêm trọng hoặc nguy hiểm."
Ngã tư và việc băng qua đường,Trình độ nâng cao,"Khi đi xe đạp gần vạch qua đường, người điều khiển nên xử lý như thế nào?","Tại vạch qua đường, người đi bộ được ưu tiên và không được cản trở họ.",Chỉ cần bấm chuông thì được quyền ưu tiên đi trước.,Dù có người đi bộ thì xe đạp vẫn được đi trước.,Xe đạp không được đi qua vạch sang đường dành cho người đi bộ.,1,"Vạch qua đường là nơi ưu tiên người đi bộ, xe đạp không được cản trở và phải dừng hoặc nhường đường khi cần.","Cơ quan Cảnh sát Quốc gia – Cổng thông tin xe đạp
Quy tắc giao thông cho xe đạp – Ngoại lệ khi đi trên vỉa hè, vạch qua đường và ưu tiên người đi bộ."
Hành vi nguy hiểm,Trình độ nâng cao,"Khi gây tai nạn giao thông bằng xe đạp, nghĩa vụ nào theo Điều 72 Luật Giao thông đường bộ là phù hợp?",Nếu thấy người bị nạn chỉ bị thương nhẹ thì có thể rời khỏi hiện trường.,"Phải lập tức dừng xe, cứu giúp người bị thương, thực hiện biện pháp phòng ngừa nguy hiểm và báo cảnh sát.",Xe đạp không có nghĩa vụ báo cáo khi xảy ra tai nạn.,Nếu chỉ là tai nạn thiệt hại tài sản thì không cần làm gì.,2,"Theo Điều 72, người điều khiển xe gây tai nạn (bao gồm cả xe đạp) phải cứu giúp người bị nạn, thực hiện biện pháp phòng ngừa nguy hiểm và báo cảnh sát.","5 Quy tắc sử dụng xe đạp an toàn (NPA)
Điều 72 của Luật Giao thông Đường bộ."
Phanh,Trình độ sơ cấp,Mức tiền phạt đối với xe đạp có hệ thống phanh không đạt tiêu chuẩn là bao nhiêu?,10.000 yên.,6.000 yên.,5.000 yên.,7.000 yên.,3,"Theo bảng tiền phạt của Sở Cảnh sát Tokyo, xe đạp hỏng phanh bị phạt 5.000 yên.","Sở Cảnh sát Tokyo – Cổng thông tin xe đạp
Danh mục các hành vi vi phạm – Xe đạp có hệ thống phanh không đạt tiêu chuẩn."
Quy tắc cơ bản,Trình độ sơ cấp,Tổ hợp kích thước nào đúng với tiêu chuẩn của xe đạp thông thường?,"Dài không quá 200 cm, rộng không quá 70 cm.","Chỉ quy định chiều dài tối đa, không quy định chiều rộng tối đa.","Dài không quá 190 cm, rộng không quá 60 cm.","Dài không quá 180 cm, rộng không quá 80 cm.",3,"Theo quy định thi hành, xe đạp thông thường phải có chiều dài không quá 190 cm và chiều rộng không quá 60 cm.","Điều 9-2-2 của Quy tắc thi hành Luật Giao thông Đường bộ
Tiêu chuẩn về kích thước của xe đạp thông thường (chiều dài và chiều rộng)."
Hành vi nguy hiểm,Trình độ sơ cấp,"Theo Luật Giao thông đường bộ, phát biểu nào phù hợp nhất về các hành vi nguy hiểm như lái xe bằng một tay hoặc sử dụng điện thoại khi đi xe đạp?",Nghĩa vụ lái xe an toàn không áp dụng đối với xe đạp.,Thao tác điện thoại thông minh không bị cấm.,Có thể bị xử lý về vi phạm nghĩa vụ lái xe an toàn hoặc vi phạm quy định của Ủy ban An toàn Công cộng.,Lái xe bằng một tay không bị coi là vi phạm.,3,"Theo Điều 70 và Điều 71, các hành vi như lái bằng một tay, sử dụng điện thoại hoặc che ô khi lái xe có thể bị xử lý là vi phạm.",5 Quy tắc sử dụng xe đạp an toàn.
Quy tắc cơ bản,Trình độ nâng cao,Phát biểu nào đúng về thiết bị phản quang được trang bị trên xe đạp?,Không có bất kỳ tiêu chuẩn nào về màu sắc hoặc độ sáng của thiết bị phản quang.,Không áp dụng tiêu chuẩn phản quang của xe đạp mà áp dụng tiêu chuẩn của ô tô.,Không được coi là thiết bị an toàn và cũng không có chế độ chứng nhận kiểu loại.,"Được công nhận là thiết bị an toàn, phải đáp ứng tiêu chuẩn tại Điều 9-4 của Quy định thi hành.",4,"Theo Điều 39-8, thiết bị phản quang của xe đạp thuộc đối tượng chứng nhận kiểu loại, tiêu chuẩn được quy định tại Điều 9-4.","Quy tắc thi hành Luật Giao thông Đường bộ
Điều 9-4 và Điều 39-8."
Ngã tư và việc băng qua đường,Trình độ nâng cao,Mối quan hệ giữa xe đạp đang đi trên vỉa hè và tín hiệu đèn giao thông được giải thích đúng nhất như thế nào?,Xe đạp không thuộc đối tượng phải tuân theo tín hiệu đèn giao thông.,Phải tuân theo tín hiệu giao thông đối diện tùy theo vị trí trong giao lộ và hướng di chuyển.,Khi đi trên vỉa hè thì luôn chỉ phải tuân theo đèn tín hiệu dành cho người đi bộ.,Dù đi trên vỉa hè cũng luôn phải tuân theo đèn tín hiệu dành cho xe.,2,"Khi đi trên vỉa hè, tùy cấu trúc giao lộ và vị trí lưu thông mà người đi xe đạp phải tuân theo tín hiệu đối diện phù hợp.",
Hành vi nguy hiểm,Trình độ nâng cao,"Khi gây tai nạn giao thông bằng xe đạp, người điều khiển phải thực hiện biện pháp nào phù hợp nhất với Điều 72 của Luật Giao thông đường bộ?","Chỉ cần di chuyển phương tiện, về nguyên tắc không cần cứu giúp người bị thương.","Nếu chỉ hư hỏng nhẹ thì có thể tự giải quyết, không cần báo cảnh sát.",Nếu đối phương muốn rời đi thì không cần làm gì.,"Phải dừng xe ngay, cứu giúp người bị nạn, thực hiện biện pháp phòng ngừa nguy hiểm và báo cáo với cảnh sát.",4,"Theo Điều 72, khi xảy ra tai nạn phải cứu người bị nạn, ngăn ngừa nguy hiểm và báo cảnh sát.","Luật Giao thông Đường bộ
Điều 72."
Quy tắc cơ bản,Trình độ nâng cao,"Trên đường có làn đường dành cho xe cơ giới, vị trí nào là phù hợp nhất để xe đạp lưu thông?",Có thể tự do di chuyển giữa vỉa hè và lòng đường tùy tình huống.,Đi ở làn xe sát mép trái nhất và phần bên trái của làn đó.,Đi ở làn xe ngoài cùng bên phải.,Có thể chọn bất kỳ làn đường nào còn trống để đi.,2,"Nếu có làn đường dành cho xe cơ giới, xe đạp phải đi ở làn ngoài cùng bên trái và đi sát bên trái của làn đó.","5 Quy tắc sử dụng xe đạp an toàn (NPA)
Điều 20 của Luật Giao thông Đường bộ."
Sử dụng tai nghe,Trình độ sơ cấp,"Theo tinh thần của hướng dẫn từ Sở Cảnh sát Thủ đô, việc đeo tai nghe khi đi xe đạp được hiểu như thế nào là phù hợp nhất?","Không phân biệt đeo tai nghe một bên hay hai bên, mà căn cứ vào việc người điều khiển có nghe được âm thanh và tiếng nói cần thiết để lái xe an toàn hay không.",Đeo tai nghe một bên tai thì luôn hợp pháp.,Không có quy định cấm đeo tai nghe.,Đeo tai nghe cả hai bên tai thì luôn vi phạm.,1,"Theo hướng dẫn của Cơ quan Cảnh sát Quốc gia, việc đeo tai nghe không được đánh giá chỉ dựa vào đeo một hay hai tai, mà dựa vào việc người lái có còn nghe được âm thanh cần thiết để lái xe an toàn hay không.","Thông báo của Sở Cảnh sát Tokyo
Lưu ý khi xử lý người đi xe đạp sử dụng tai nghe: Không đánh giá chỉ dựa vào việc đeo một tai hay hai tai, mà dựa trên việc người điều khiển có còn nghe được các âm thanh và tiếng nói cần thiết để lái xe an toàn hay không."
Quy tắc cơ bản,Trình độ nâng cao,"Tại giao lộ giữa đường ưu tiên và đường không ưu tiên, xe đạp phải đi như thế nào?",Quy định về đường ưu tiên không áp dụng đối với xe đạp.,Xe đạp đi từ đường không ưu tiên phải chú ý các xe đi trên đường ưu tiên và khi cần thì phải dừng lại.,Dù ở đường nào thì xe đạp luôn được ưu tiên.,Xe đi trên đường ưu tiên luôn phải nhường xe từ đường không ưu tiên.,2,"Khi đi vào đường ưu tiên, kể cả xe đạp từ đường không ưu tiên cũng phải đặc biệt chú ý và nhường đường khi cần.",Luật Giao thông Đường bộ – Điều 36
Sử dụng điện thoại khi đang lái xe,Trình độ nâng cao,Phát biểu nào phù hợp nhất về việc vừa đi xe đạp vừa sử dụng điện thoại (ながらスマホ)?,Ngay cả khi đang dừng xe cũng luôn bị coi là vi phạm.,Dắt xe đi bộ vẫn luôn bị coi là vi phạm.,Đối tượng bị xử lý chủ yếu là khi đang điều khiển xe (không bao gồm lúc dừng xe).,Chỉ nhìn điện thoại mà không gọi điện thì không vi phạm.,3,"Theo tài liệu hướng dẫn, hành vi cầm điện thoại hoặc nhìn màn hình khi đang chạy xe là đối tượng bị xử lý; việc đánh giá cụ thể còn tùy từng trường hợp.",Cổng thông tin xe đạp của Cơ quan Cảnh sát Quốc gia Nhật Bản (NPA) – Cảnh sát tỉnh Osaka / Cổng thông tin Chính phủ: Quy định khi phương tiện đang dừng
Đường ngang đường sắt,Trình độ sơ cấp,"Khi rào chắn đường sắt đang hạ xuống, xe đạp được phép đi như thế nào?",Chỉ cần xuống xe và dắt bộ thì luôn được phép đi qua.,Chỉ cần đi phía vỉa hè là được.,Không được đi vào đường sắt khi rào chắn đang hạ hoặc bắt đầu hạ.,Xe đạp được phép đi qua.,3,"Không được đi vào đường sắt khi chắn đang hạ hoặc bắt đầu hạ, xe đạp cũng phải tuân thủ quy định này.",Cổng thông tin xe đạp của Sở Cảnh sát Tokyo – FAQ / Danh mục vi phạm: Đi vào đường sắt khi chắn tàu đã hạ
Hành vi nguy hiểm,Trình độ nâng cao,"Nếu gần giao lộ có làn dành riêng cho xe đạp băng qua đường, xe đạp phải đi như thế nào?","Chỉ cần đi theo quy định dành cho xe trên lòng đường, không cần sử dụng làn sang đường dành cho xe đạp.","Chỉ được sử dụng vạch qua đường dành cho người đi bộ, không được sử dụng làn băng qua đường dành cho xe đạp.",Tại ngã tư phải xuống xe và dắt bộ.,"Nếu có làn đường dành cho xe đạp băng qua giao lộ, phải đi theo làn đó.",4,"Theo Điều 63-7, nếu gần giao lộ có làn băng qua dành cho xe đạp, người đi xe đạp phải đi qua làn đó.",Luật Giao thông Đường bộ – Điều 63-7
