問題番号,問題文,難易度,カテゴリ,正解,解説,法令参照
13,Cầm ô hoặc lái xe bằng một tay khiến không thể điều khiển tay lái đầy đủ có thể bị coi là vi phạm nghĩa vụ lái xe an toàn.,Cơ bản,Hành vi nguy hiểm,〇,Điều khiển xe trong tình trạng không thể thao tác chắc chắn tay lái hoặc phanh có thể bị xử lý vì vi phạm nghĩa vụ lái xe an toàn (Điều 70).,"Điều 70, Điều 71: Quy định về việc lái xe trong tình trạng không thể điều khiển tay lái an toàn."
14,"Theo pháp luật, ngay cả người lớn đi xe đạp cũng được yêu cầu cố gắng đội mũ bảo hiểm.",Cơ bản,Hành vi nguy hiểm,〇,"Theo Điều 63-11, mọi người điều khiển xe đạp, không phân biệt độ tuổi, đều có nghĩa vụ cố gắng đội mũ bảo hiểm.",Điều 63-11: Nghĩa vụ nỗ lực đội mũ bảo hiểm đối với người đi xe đạp.
15,Người có trách nhiệm bảo vệ trẻ em phải cố gắng cho trẻ đội mũ bảo hiểm khi đi xe đạp.,Cơ bản,Hành vi nguy hiểm,〇,Điều 63-11 cũng quy định người giám hộ trẻ em phải cố gắng cho trẻ đội mũ bảo hiểm khi đi xe đạp.,Điều 63-11: Nghĩa vụ nỗ lực cho trẻ em và trẻ nhỏ đội mũ bảo hiểm.
16,"Xe đạp, kể cả trên đường chỉ có một làn mỗi chiều, về nguyên tắc không được đi bên phải.",Cơ bản,Hành vi nguy hiểm,✕,Xe hạng nhẹ có nghĩa vụ đi bên trái phần đường; đi ngược chiều về nguyên tắc không được phép vì làm tăng nguy cơ va chạm trực diện.,"Điều 17, Điều 18: Quy định về phần đường lưu thông và nguyên tắc đi bên trái."
17,"Ban đêm, việc sử dụng vật liệu phản quang hoặc mặc quần áo sáng màu được khuyến khích theo quan điểm an toàn giao thông.",Cơ bản,Hành vi nguy hiểm,〇,"Ban đêm, việc sử dụng vật liệu phản quang để tăng khả năng được nhìn thấy được khuyến khích mạnh mẽ nhằm phòng ngừa tai nạn.",Điều 70: Quan điểm về đảm bảo an toàn khi lái xe ban đêm và tăng khả năng được nhận diện.
18,"Tại khu vực trường học hoặc đường đến trường, người đi xe đạp phải đặc biệt chú ý đến tốc độ và vị trí di chuyển để bảo đảm an toàn cho trẻ em.",Cơ bản,Hành vi nguy hiểm,〇,"Tại khu vực có nguy cơ trẻ em băng qua đường, người đi xe đạp phải đặc biệt thận trọng theo nghĩa vụ lái xe an toàn.","Điều 76 và các quy định liên quan đến khu vực trường học: Nghĩa vụ chú ý để bảo đảm an toàn tại khu vực trường học (kết hợp giữa luật, thông tư và quy định địa phương)."
19,"Dù chạy dưới tốc độ giới hạn, việc lao xuống dốc với tốc độ cao vẫn có thể vi phạm nghĩa vụ lái xe an toàn.",Cơ bản,Hành vi nguy hiểm,✕,"Ở đoạn đường dốc hoặc mặt đường xấu, dù chưa vượt quá tốc độ tối đa, vẫn phải chọn tốc độ an toàn phù hợp với tình hình.",Điều 70: Nghĩa vụ duy trì tốc độ an toàn khi xuống dốc.
20,"Khi trời mưa hoặc gió mạnh, không thể chỉ vì còn trong giới hạn tốc độ mà giữ nguyên cách lái xe như bình thường.",Cơ bản,Hành vi nguy hiểm,✕,"Khi thời tiết xấu, quãng đường phanh tăng và tầm nhìn giảm, vì vậy cần giảm tốc độ và lái xe cẩn thận hơn.",Điều 70: Nghĩa vụ điều chỉnh tốc độ khi trời mưa hoặc gió mạnh.
21,"Xe đạp là phương tiện hạng nhẹ, được phép đi trên phần lề đường bên trái nếu không gây cản trở đáng kể cho người đi bộ.",Cơ bản,Quy tắc cơ bản,〇,"Theo Điều 17-2, xe hạng nhẹ được phép đi trên lề đường bên trái nếu không cản trở người đi bộ.",Điều 17-2: Quy định về việc xe nhẹ đi trên dải lề đường và phải nhường người đi bộ.
22,"Theo Quy định thi hành Luật Giao thông đường bộ, xe đạp thông thường phải có không quá bốn bánh.",Cơ bản,Quy tắc cơ bản,〇,Điều 9-2-2 của Quy định thi hành Luật Giao thông đường bộ quy định xe đạp thông thường phải có không quá bốn bánh.,Điều 9-2-2: Tiêu chuẩn về số bánh xe của xe đạp thông thường.
23,Tiêu chuẩn của xe đạp thông thường bao gồm điều kiện “không được gắn thùng xe bên (sidecar)”.,Cơ bản,Quy tắc cơ bản,〇,Điều 9-2-2 khoản 2 quy định xe đạp thông thường không được gắn thùng xe bên (sidecar).,Điều 9-2-2: Quy định về việc xe đạp thông thường có được gắn thùng xe bên (sidecar) hay không.
24,Xe đạp thông thường được phép lắp ghế trẻ em ngoài ghế của người lái.,Cơ bản,Quy tắc cơ bản,〇,"Quy định thi hành nêu rõ xe đạp không được có chỗ ngồi khác ngoài chỗ ngồi của người lái, ngoại trừ ghế dành cho trẻ em.",Điều 9-2-2: Hạn chế về số lượng ghế ngồi trên xe đạp thông thường.
25,Hệ thống phanh của xe đạp phải được bố trí ở vị trí có thể thao tác dễ dàng khi đang chạy.,Cơ bản,Hành vi nguy hiểm,〇,Điều 9-2-2 khoản 2 quy định phanh phải được bố trí ở vị trí có thể thao tác dễ dàng khi xe đang chạy.,Điều 9-2-2: Tiêu chuẩn về vị trí lắp đặt tay phanh.
26,Xe đạp thông thường không được có các phần nhô ra sắc nhọn có thể gây nguy hiểm cho người đi bộ.,Cơ bản,Hành vi nguy hiểm,✕,Quy định cũng nêu rõ xe không được có các phần nhô ra sắc nhọn có nguy cơ gây thương tích cho người đi bộ.,Điều 9-2-2: Cấm các bộ phận nhô ra sắc nhọn có thể gây nguy hiểm cho người đi bộ.
27,"Tiêu chuẩn về phanh yêu cầu phải phanh được cả bánh trước và bánh sau, không chỉ một bánh.",Cơ bản,Hành vi nguy hiểm,✕,Điều 9-3 khoản 1 quy định phải có khả năng phanh cả bánh trước và bánh sau.,Điều 9-3: Tiêu chuẩn về hệ thống phanh (phanh cả bánh trước và bánh sau).
28,Xe đạp phải có khả năng dừng êm trong phạm vi 3 mét khi chạy với tốc độ ban đầu 10 km/h trên mặt đường nhựa khô và bằng phẳng.,Cơ bản,Hành vi nguy hiểm,〇,Điều 9-3 khoản 2 quy định cụ thể các tiêu chuẩn về hiệu suất phanh.,Điều 9-3: Tiêu chuẩn hiệu suất phanh (dừng trong vòng 3 m từ tốc độ 10 km/h).
29,Thiết bị phản quang của xe đạp phải có thể được nhìn thấy dễ dàng từ khoảng cách 100 mét phía sau khi được đèn pha chiếu vào ban đêm.,Cơ bản,Hành vi nguy hiểm,〇,Điều 9-4 khoản 1 quy định tấm phản quang phải có khả năng phản xạ để dễ nhận biết khi được đèn pha chiếu từ phía sau ở khoảng cách 100 m vào ban đêm.,Điều 9-4: Tiêu chuẩn về khả năng nhìn thấy của gương phản quang xe đạp (100 m vào ban đêm).
30,Ánh sáng phản quang của thiết bị phản quang xe đạp không được là màu vàng hoặc xanh lá cây.,Cơ bản,Hành vi nguy hiểm,✕,Quy định chỉ cho phép màu phản quang là màu cam hoặc màu đỏ; màu vàng hoặc xanh lá không đạt tiêu chuẩn.,Điều 9-4: Tiêu chuẩn về màu sắc của ánh sáng phản quang.
31,Động cơ của xe đạp trợ lực điện phải là động cơ điện.,Cơ bản,Quy tắc cơ bản,〇,Điều 1-3 khoản 1 mục (i) quy định động cơ của xe đạp trợ lực điện phải là động cơ điện.,Điều 1-3: Loại động cơ của xe đạp trợ lực điện (phải là động cơ điện).
32,Xe đạp trợ lực điện phải có cấu tạo không còn trợ lực của động cơ khi tốc độ đạt từ 24 km/h trở lên.,Cơ bản,Quy tắc cơ bản,〇,"Điều 1-3 khoản 1 mục (ha) quy định từ tốc độ 24 km/h trở lên, động cơ không được tiếp tục hỗ trợ lực đạp.",Điều 1-3: Khi tốc độ từ 24 km/h trở lên thì động cơ không được tiếp tục hỗ trợ.
33,Phương tiện hạng nhẹ sử dụng động cơ phải dùng động cơ điện và có cấu tạo cho phép điều khiển khi đang dắt đi bộ.,Cơ bản,Quy tắc cơ bản,〇,Điều 1-2-3 khoản 2 mục (i) và (ro) quy định phương tiện hạng nhẹ có động cơ phải sử dụng động cơ điện và có cấu tạo để điều khiển khi đi bộ.,"Điều 1-2-3: Cấu tạo của xe nhẹ sử dụng động cơ (ví dụ phải có thể điều khiển khi đi bộ cạnh xe, v.v.)."
34,Xe di chuyển cỡ nhỏ phải có cấu tạo không thể chạy quá tốc độ 6 km/h.,Cơ bản,Hành vi nguy hiểm,〇,Điều 1-4 khoản 2 quy định phương tiện di chuyển cỡ nhỏ không được có cấu tạo cho phép chạy quá 6 km/h.,Quy định thi hành Luật Giao thông Đường bộ Điều 1-4: Giới hạn tốc độ tối đa của xe cỡ nhỏ dùng để di chuyển (移動用小型車).
35,Động cơ của xe di chuyển cỡ nhỏ không được là động cơ đốt trong như động cơ xăng.,Cơ bản,Quy tắc cơ bản,✕,"Điều 1-4 khoản 2 mục (i) quy định động cơ phải là động cơ điện, không bao gồm động cơ đốt trong.",Quy định thi hành Luật Giao thông Đường bộ Điều 1-4: Loại động cơ của xe cỡ nhỏ dùng để di chuyển (phải là động cơ điện).
36,"Xe đạp trợ lực điện đáp ứng Điều 1-3 của Quy định thi hành Luật Giao thông đường bộ được xem là xe đạp, không phải xe gắn máy.",Cơ bản,Quy tắc cơ bản,〇,"Theo hướng dẫn của Cơ quan Cảnh sát Quốc gia và các địa phương, phương tiện đáp ứng tiêu chuẩn của quy định này được xem là xe đạp.",Luật Giao thông Đường bộ Điều 2 và Quy định thi hành Điều 1-3: Định nghĩa làm căn cứ phân biệt xe đạp trợ lực điện và xe gắn máy.
37,Xe đạp chỉ có phanh ở bánh trước hoặc bánh sau không đáp ứng tiêu chuẩn phanh theo Điều 63-9 của Luật Giao thông đường bộ và có thể bị coi là vi phạm.,Cơ bản,Quy tắc cơ bản,〇,"Điều này yêu cầu xe đạp phải được trang bị hệ thống phanh, với điều kiện cả bánh trước và bánh sau đều có phanh hoạt động hiệu quả.",Luật Giao thông Đường bộ Điều 63-9 Khoản 1: Căn cứ pháp lý về tiêu chuẩn hệ thống phanh của xe đạp.
38,Thiết bị phản quang của xe đạp phải có khả năng phản xạ để dễ dàng nhìn thấy từ khoảng cách 100 m phía sau khi được đèn pha chiếu vào ban đêm.,Cơ bản,Quy tắc cơ bản,〇,Đây là yêu cầu được quy định rõ tại Điều 9-4 khoản 1 của Quy định thi hành.,Quy định thi hành Luật Giao thông Đường bộ Điều 9-4: Gương phản quang phải có khả năng phản xạ để có thể nhận biết khi được đèn pha chiếu từ khoảng cách 100 m phía sau vào ban đêm.
39,"Trên làn đường dành riêng cho xe đạp được chỉ định bằng biển báo, xe gắn máy và ô tô không được phép đi vào.",Cơ bản,Hành vi nguy hiểm,〇,Làn đường dành cho xe đạp là phần đường chuyên dùng cho xe đạp và các phương tiện hạng nhẹ; các phương tiện khác không được phép đi vào.,"Luật Giao thông Đường bộ Điều 17, Điều 63-3: Làn đường dành cho xe đạp chỉ dành cho xe đạp và các phương tiện tương tự; xe gắn máy và ô tô không được phép đi vào."
40,"Theo Điều 2 Khoản 3 của Luật Giao thông đường bộ, người dắt xe đạp được xem là người đi bộ.",Cơ bản,Quy tắc cơ bản,〇,"Điều này quy định người dắt xe đi bộ được xem là người đi bộ, và quy định này cũng áp dụng cho xe đạp.",Luật Giao thông Đường bộ Điều 2 Khoản 3: Người đang dắt xe được xem là người đi bộ.
41,"Khi gần nơi có vạch sang đường dành cho xe đạp, xe đạp phải băng qua đường tại vạch đó.",Cơ bản,Quy tắc cơ bản,〇,Đây là quy tắc cơ bản về cách băng qua đường bằng xe đạp theo Điều 25-2 và Điều 63-6 của Luật Giao thông đường bộ.,"Luật Giao thông Đường bộ Điều 25-2, Điều 63-6: Nơi có vạch sang đường dành cho xe đạp thì phải đi qua bằng chính vạch đó."
42,"Xe đạp không được đi song song với nhau, trừ những đoạn đường được biển báo cho phép.",Cơ bản,Hành vi nguy hiểm,〇,"Việc đi song song của xe đạp và các phương tiện hạng nhẹ về nguyên tắc bị cấm, chỉ được phép khi có biển báo cho phép.","Luật Giao thông Đường bộ Điều 19, Điều 63-5: Xe nhẹ (xe đạp) về nguyên tắc bị cấm đi song song, chỉ được phép khi có biển báo cho phép."
43,Số lượng trẻ em được chở và cấu tạo ghế ngồi trên xe đạp bị giới hạn theo pháp luật và quy định của từng địa phương.,Cơ bản,Hành vi nguy hiểm,〇,"Số lượng ghế trẻ em, cách bố trí và số trẻ em được chở đều có giới hạn theo pháp luật và quy định địa phương.",Luật Giao thông Đường bộ Điều 63-4: Quy định về số người được chở trên xe đạp và ghế dành cho trẻ em.
44,"Khi đi vào ban đêm, xe đạp phải bật đèn trước và có đèn hậu hoặc thiết bị phản quang đạt tiêu chuẩn.",Cơ bản,Quy tắc cơ bản,〇,Đây là nghĩa vụ về đèn chiếu sáng và tấm phản quang theo Điều 52 và Điều 63-9 khoản 2 của Luật Giao thông đường bộ.,"Luật Giao thông Đường bộ Điều 52, Điều 63-9 Khoản 2: Nghĩa vụ bật đèn và trang bị gương phản quang hoặc đèn hậu khi đi ban đêm."
45,"Theo Luật Giao thông đường bộ, xe đạp được xếp vào loại phương tiện hạng nhẹ.",Cơ bản,Quy tắc cơ bản,〇,"Theo Điều 2 khoản 1 mục 11, xe đạp được xếp vào phương tiện hạng nhẹ, vì vậy phải tuân thủ các nghĩa vụ của phương tiện giao thông.",Luật Giao thông Đường bộ Điều 2 Khoản 1 Mục 11: Xe đạp được định nghĩa là phương tiện hạng nhẹ.
46,Xe đạp phải đi sát mép trái của phần đường xe chạy.,Cơ bản,Quy tắc cơ bản,〇,"Theo Điều 17 và Điều 63-3, xe đạp phải đi sát mép trái của phần đường xe chạy","Luật Giao thông Đường bộ Điều 17, Điều 63-3: Xe đạp phải đi sát mép trái của phần đường xe chạy."
47,Đi xe đạp ngược chiều trên phần đường xe chạy là hành vi vi phạm pháp luật.,Cơ bản,Hành vi nguy hiểm,〇,Xe đạp cũng có nghĩa vụ đi bên trái như các phương tiện khác; đi ngược chiều về nguyên tắc không được phép.,Luật Giao thông Đường bộ Điều 17: Xe đạp cũng bị cấm đi ngược chiều.
48,"Khi đi trên vỉa hè, xe đạp phải ưu tiên người đi bộ, đi chậm và không được cản trở họ",Cơ bản,Hành vi nguy hiểm,〇,"Theo Điều 63-4, khi đi trên vỉa hè, xe đạp phải ưu tiên người đi bộ và đi chậm.","Luật Giao thông Đường bộ Điều 63-4: Khi đi trên vỉa hè, xe đạp phải ưu tiên người đi bộ và đi chậm."
49,Xe đạp cũng phải tuân theo tín hiệu đèn giao thông; vượt đèn đỏ sẽ bị xử phạt.,Cơ bản,Hành vi nguy hiểm,〇,"Điều 7 áp dụng cho tất cả các phương tiện, xe đạp cũng không phải ngoại lệ.","Luật Giao thông Đường bộ Điều 7, Điều 2 Khoản 1 Mục 11: Xe đạp cũng phải tuân thủ tín hiệu đèn giao thông."
50,"Tại giao lộ có biển báo dừng, xe đạp cũng phải dừng hẳn.",Cơ bản,Hành vi nguy hiểm,〇,Nghĩa vụ dừng hẳn theo Điều 43 cũng áp dụng đối với xe đạp.,"Luật Giao thông Đường bộ Điều 43, Điều 63-3: Xe đạp cũng phải dừng hẳn tại giao lộ có biển ""Dừng lại""."
51,Đi xe đạp bằng một tay hoặc cầm ô có thể bị xử lý vì vi phạm nghĩa vụ lái xe an toàn.,Cơ bản,Hành vi nguy hiểm,〇,Hành vi này được các cơ quan cảnh sát đưa vào nội dung xử lý vi phạm và có thể bị đánh giá là lỗi nghiêm trọng nếu xảy ra tai nạn.,Luật Giao thông Đường bộ Điều 70: Lái xe bằng một tay hoặc che ô khi lái xe có thể bị xử lý vì vi phạm nghĩa vụ lái xe an toàn.
52,Đi xe đạp ban đêm mà không bật đèn trước là vi phạm quy định về đèn chiếu sáng và có thể bị xử phạt.,Cơ bản,Hình phạt và trách nhiệm,〇,Đây là hành vi vi phạm nghĩa vụ bật đèn theo Điều 52; nhiều địa phương xử lý hành vi đi xe không bật đèn vào ban đêm.,"Luật Giao thông Đường bộ Điều 52, Điều 120: Đi xe đạp ban đêm không bật đèn là hành vi vi phạm và có thể bị xử phạt."
53,"Chở hai người trên xe đạp về nguyên tắc bị cấm, ngoại trừ một số trường hợp như xe đạp chở trẻ em.",Cơ bản,Hành vi nguy hiểm,〇,"Vì lý do an toàn, việc chở hai người trên xe đạp không được phép, trừ trường hợp xe có cấu tạo và ghế ngồi phù hợp theo quy định.","Luật Giao thông Đường bộ Điều 57, Điều 63-4: Xe đạp về nguyên tắc bị cấm chở hai người, ngoại trừ các trường hợp được pháp luật cho phép như xe chở trẻ em."
54,Làn đường dành cho xe đạp là phần đường dành riêng cho xe đạp đạt tiêu chuẩn; ô tô về nguyên tắc không được đi vào.,Nâng cao,Quy tắc cơ bản,〇,Làn đường dành cho xe đạp là phần đường được phân chia riêng cho xe đạp; ô tô và các phương tiện khác không được đi vào.,Luật Giao thông Đường bộ Điều 63-3: Quy định về các phương tiện được phép đi trên làn đường dành cho xe đạp.
55,"Tại một số giao lộ theo quy định, xe đạp phải rẽ phải theo phương thức rẽ hai giai đoạn.",Nâng cao,Hành vi nguy hiểm,〇,"Theo Điều 34, trong một số giao lộ do Ủy ban An toàn Công cộng quy định, xe đạp phải rẽ phải theo phương thức rẽ hai giai đoạn.",Luật Giao thông Đường bộ Điều 34: Quy định về cách rẽ phải của xe nhẹ (ví dụ: rẽ phải hai giai đoạn).
56,Hàng hóa chở trên xe đạp bị giới hạn về kích thước và trọng lượng theo quy định.,Nâng cao,Hành vi nguy hiểm,〇,"Theo Điều 57-2, việc chở hàng trên xe đạp phải tuân theo tiêu chuẩn về cách chở và giới hạn do Ủy ban An toàn Công cộng quy định.",Luật Giao thông Đường bộ Điều 57-2: Quy định về giới hạn chở hàng của xe nhẹ.
57,Người nhiều lần có hành vi đi xe đạp nguy hiểm có thể bị yêu cầu tham gia khóa học dành cho người điều khiển xe đạp.,Nâng cao,Hành vi nguy hiểm,〇,"Theo Điều 108-3, người nhiều lần thực hiện hành vi lái xe đạp nguy hiểm có thể bị yêu cầu tham gia khóa học dành cho người điều khiển xe đạp.",Luật Giao thông Đường bộ Điều 108-3: Quy định về lệnh tham gia khóa học dành cho người điều khiển xe đạp vi phạm nhiều lần.
58,"Trên đường có biển “Chỉ dành cho người đi bộ”, xe đạp không được đi khi đang ngồi trên xe.",Nâng cao,Quy tắc cơ bản,〇,"Trên đường chỉ dành cho người đi bộ, về nguyên tắc chỉ người đi bộ được đi; người đi xe đạp phải xuống xe và dắt bộ.","Luật Giao thông Đường bộ Điều 8, Điều 9: Quy định về việc lưu thông trên đường dành riêng cho người đi bộ."
59,"Trên đường một chiều, xe đạp cũng phải đi đúng chiều quy định, trừ khi có biển báo ngoại lệ.",Nâng cao,Hành vi nguy hiểm,〇,Quy định đường một chiều cũng áp dụng đối với xe đạp; phải đi theo hướng được biển báo chỉ định.,"Luật Giao thông Đường bộ Điều 8, Điều 17: Quy định về đường một chiều và hướng lưu thông của xe đạp."
60,Cố ý đỗ xe đạp giữa đường gây cản trở giao thông là hành vi bị cấm.,Nâng cao,Hành vi nguy hiểm,〇,Điều 76 cấm các hành vi cản trở giao thông; cố ý cản trở việc đi lại của người khác là hành vi vi phạm.,Luật Giao thông Đường bộ Điều 76: Quy định về các hành vi bị cấm trên đường (gây cản trở giao thông).
61,Cố ý đỗ xe đạp giữa đường gây cản trở giao thông là hành vi bị cấm.,Nâng cao,Hành vi nguy hiểm,〇,Điều 76 cấm các hành vi cản trở giao thông; cố ý cản trở việc đi lại của người khác là hành vi vi phạm.,Luật Giao thông Đường bộ Điều 76: Quy định về các hành vi bị cấm trên đường (gây cản trở giao thông).
62,Điều khiển xe đạp khi say rượu bị pháp luật cấm.,Nâng cao,Hành vi nguy hiểm,〇,"Theo Điều 65, việc điều khiển xe trong tình trạng có nồng độ cồn làm ảnh hưởng đến khả năng lái xe bị cấm, bao gồm cả xe đạp.",Luật Giao thông Đường bộ Điều 76: Là điều luật quy định về các hành vi bị cấm trên đường gây cản trở giao thông.
63,Đi xe đạp trong khi nghe nhạc quá to đến mức không nghe được âm thanh xung quanh có thể vi phạm nghĩa vụ lái xe an toàn và quy định của địa phương.,Nâng cao,Hành vi nguy hiểm,〇,Nghe nhạc với âm lượng lớn đến mức không nghe được âm thanh xung quanh có thể bị xử lý vì vi phạm nghĩa vụ lái xe an toàn.,"Luật Giao thông Đường bộ Điều 70, Điều 71: Quy định về nghĩa vụ lái xe an toàn và các hành vi bị cấm theo quy định của Ủy ban An toàn Công cộng (ví dụ: đeo tai nghe)."
64,"Tốc độ càng cao thì quãng đường phanh càng dài, vì vậy cần điều chỉnh tốc độ phù hợp với tình hình thực tế.",Nâng cao,Quy tắc cơ bản,〇,"Quãng đường phanh tăng theo tốc độ, vì vậy cần lựa chọn tốc độ phù hợp với tầm nhìn và tình trạng mặt đường.",Luật Giao thông Đường bộ Điều 70: Nghĩa vụ lựa chọn tốc độ an toàn phù hợp với khoảng cách dừng xe.
65,"Dù mặt đường bị đóng băng, có tuyết hoặc sỏi và rất trơn trượt, không được lái xe như bình thường chỉ vì vẫn dưới giới hạn tốc độ.",Nâng cao,Hành vi nguy hiểm,✕,Không điều chỉnh tốc độ và hướng đi theo tình trạng mặt đường có thể bị coi là vi phạm nghĩa vụ lái xe an toàn.,"Luật Giao thông Đường bộ Điều 70: Nghĩa vụ điều chỉnh cách lái xe theo tình trạng mặt đường (đóng băng, sỏi, bùn lầy, v.v.)."
66,Tiêu chuẩn hiệu suất phanh của xe đạp cũng quy định cụ thể khoảng cách dừng trên mặt đường ướt.,Nâng cao,Hành vi nguy hiểm,✕,"Quy định thi hành chỉ quy định điều kiện đối với mặt đường nhựa khô và bằng phẳng, không quy định cụ thể quãng đường dừng trên mặt đường ướt.",Quy định thi hành Luật Giao thông Đường bộ Điều 9-3: Quy định về điều kiện mặt đường áp dụng tiêu chuẩn hiệu suất phanh của xe đạp.
67,"Đối với xe đạp trợ lực điện, ở tốc độ dưới 10 km/h không phải không có giới hạn về tỷ lệ trợ lực.",Nâng cao,Quy tắc cơ bản,✕,Điều 1-3 quy định cụ thể giới hạn tỷ lệ hỗ trợ của động cơ so với sức người theo từng mức tốc độ; ngay cả ở tốc độ thấp cũng có giới hạn.,Quy định thi hành Luật Giao thông Đường bộ Điều 1-3: Giới hạn tỷ lệ trợ lực ở tốc độ thấp dưới 10 km/h.
68,Chức năng trợ lực của xe đạp trợ lực điện phải hoạt động ổn định và không được ảnh hưởng đến việc lái xe an toàn.,Nâng cao,Hành vi nguy hiểm,〇,Điều 1-3 khoản 2 quy định rõ các yêu cầu về tính ổn định và an toàn của chức năng trợ lực.,Quy định thi hành Luật Giao thông Đường bộ Điều 1-3: Tiêu chuẩn về sự hoạt động trơn tru và an toàn của chức năng trợ lực.
