카테고리,난이도,문제,선택지 1,선택지 2,선택지 3,선택지 4,정답 번호,해설,관련 교통 규칙
위험행위,초급,자전거의 2인 탑승에 관한 설명으로 가장 적절한 것은 무엇인가? (세부 사항은 각 도도부현 규칙에 따름),탑승 장치가 있으면 몇 명이든 태울 수 있다.,"승차 설비가 없는 곳에 사람을 태우고 운전하는 것은 원칙적으로 금지되며, 경차량의 승차 인원은 공안위원회 규칙으로 제한된다.",차량용 신호만 따른다.,자전거에는 승차 인원 규정이 없다.,2,"도로교통법 제55조·제57조에 따라 승차 설비가 없는 곳에 사람을 태우는 것은 원칙적으로 금지되며, 경차량의 승차 인원은 공안위원회가 기준을 정한다.",자전거 안전이용 5칙｜경찰청 · 도로교통법 제25조
기본 규칙,고급,자전거가 도로 밖 시설로 들어가기 위해 좌회전하는 경우의 방법으로 도로교통법 제25조의 취지에 가장 부합하는 것은 무엇인가?,도로 오른쪽 가장자리로 붙은 후 좌회전한다.,도로 중앙 부근에서 한 번에 좌회전해도 된다.,보도 중앙부,보도를 가로질러서 꺾으면 된다.,3,"도로 밖으로 나가기 위해 좌회전하는 경우, 도로교통법 제25조에 따라 가능한 한 왼쪽 가장자리로 붙어 서행하며 좌회전해야 한다.",경찰청 자전거 포털 사이트 · 자전거 포털 사이트 FAQ 악질·위험 위반 사례
단속 방침,고급,경찰청 FAQ에서 지도·경고가 아닌 범칙금 대상 사례로 제시된 것은 무엇인가?,보도를 천천히 통행한다.,헬멧 미착용.,통행금지 위반에 해당할 수 있다.,반사재를 부착하는 것,3,"경찰청 FAQ에서는 차단기 내려진 건널목 진입, 자전거 제동장치 불량, 휴대전화 사용(손에 들고 사용) 등이 지도·경고가 아닌 청색 딱지 대상 사례로 제시되어 있다.",경찰청 자전거 포털 사이트 · 경찰청 자전거 교통규칙 보도 통행의 예외·횡단보도와 보행자 우선
교차로·횡단,고급, 횡단 장소 부근에서 자전거의 대응으로 적절한 것은 무엇인가?,"횡단보도에서는 보행자가 우선이며, 보행자의 통행을 방해해서는 안 된다.",벨을 울리면 우선 통행할 수 있다.,보행자보다 차량이 우선이므로 그대로 진행해도 된다.,자전거는 횡단보도를 이용해서는 안 된다.,1,"횡단보도는 보행자가 우선인 장소이며, 자전거도 보행자의 통행을 방해해서는 안 되고 필요 시 정지하거나 양보해야 한다.",자전거 안전이용 5칙｜경찰청 · 도로교통법 제72조
위험행위,고급, 자전거로 교통사고를 일으킨 경우 도로교통법 제72조에 따른 의무로 적절한 것은 무엇인가?,상대방의 부상이 가벼워 보이면 현장을 떠나도 된다.,즉시 운전을 중지하고 부상자를 구조하며 위험 방지 조치를 한 뒤 경찰에 신고해야 한다.,자전거에는 강습 제도가 없으므로 아무리 위반해도 강습을 받을 일은 없다.,물적 피해 사고라면 아무 조치도 할 필요가 없다.,2,"도로교통법 제72조는 교통사고를 일으킨 차량 운전자에게 부상자 구호, 도로 위험 방지 조치, 경찰 신고 의무를 부과하며 자전거도 대상이다.",경시청 자전거 포털 사이트 · 경시청 범칙행위 일람 자전거 제동장치 불량
브레이크,초급, 자동차 제동장치 불량에 대한 범칙금 액수로 올바른 것은 무엇인가?,"10,000엔.","6,000엔.",골전도 이어폰이면 항상 적법하다.,"7,000엔",3,"경시청의 범칙행위 목록에 따르면 자전거 제동장치 불량의 범칙금은 5,000엔이다.",도로교통법 시행규칙 제9조의2의2 · 보통자전거의 크기(길이·너비) 기준
기본 규칙,초급, 일반 자전거로 인정되는 차체 규격 조합으로 올바른 것은 무엇인가?,"길이 200cm 이하, 폭 70cm 이하.",길이 상한만 정해져 있고 폭 상한은 없다.,가로등이 있으면 무등화 주행도 가능하다.,길이 180cm 이하 · 폭 80cm 이하,3,"시행규칙에서는 일반자전거의 크기를 ‘길이 190cm 이하, 폭 60cm 이하’로 규정하고 있으며 이를 초과하면 일반자전거에 해당하지 않는다.",자전거 안전이용 5칙
위험행위,초급, 자전거의 한 손 운전이나 스마트폰 조작 등의 위험행위에 관한 도로교통법 규정으로 가장 적절한 설명은 무엇인가?,자전거에는 안전운전 의무가 적용되지 않는다.,스마트폰 조작은 금지되어 있지 않다.,차단기 있는 건널목 진입,한 손 운전이라도 위반은 아니다.,3,"도로교통법 제70조의 안전운전의무 및 제71조에 근거한 공안위원회 규칙에 따라 한 손 운전, 스마트폰 조작, 우산 운전 등은 단속 대상이 될 수 있다.",도로교통법 시행규칙 · 도로교통법 시행규칙 제9조의4·제39조의8
기본 규칙,고급, 자전거에 장착하는 반사기재에 대한 올바른 설명은 무엇인가?,반사기재의 색상이나 밝기에 대한 기준은 전혀 없다.,자전거용이 아닌 자동차용 반사재 기준을 따른다.,보도 주행은 항상 가능하다.,"안전장비 등으로 형식 인증 대상이 되며, 제9조의4 기준 적합 여부로 판단한다.",4,"제39조의8에 따라 자전거 반사재는 안전장비로서 형식인증 대상이며, 기준은 제9조의4에 의해 판단된다.",도로교통법 · 도로교통법 제72조
교차로·횡단,고급, 보도 통행 중인 자전거와 신호의 관계에 대해 가장 적절한 설명은 무엇인가?,자전거는 신호 규정의 적용 대상이 아니다.,교차로 구조와 통행 위치에 따라 마주 보는 신호를 따라야 한다.,"5,000엔",보도를 통행 중이어도 항상 차량용 신호만 따라야 한다.,2,보도를 통행하는 자전거는 교차로 구조와 통행 위치에 따라 보행자용 신호를 따라야 하는 경우가 있다. 따라서 단순히 “항상 이것만 따른다”고 단정하기보다 마주 보는 신호를 확인하는 것이 안전하다.,자전거 안전이용 5칙｜경찰청 · 도로교통법 제20조
위험행위,고급, 자전거로 교통사고를 일으킨 경우 운전자가 취해야 할 조치로 도로교통법 제72조에 가장 부합하는 것은 무엇인가?,"차량만 이동시키고, 부상자 구호는 원칙적으로 하지 않아도 된다.",경미한 손상이라면 현장에서 처리하고 경찰에 신고하지 않아도 된다.,"병진 주행은 금지이며, 병진 가능 표지가 있는 경우 등에 한해 예외가 있다.","즉시 운전을 중지하고, 부상자 구조와 위험 방지 조치를 한 뒤 경찰관에게 자신의 사항을 신고해야 한다.",4,"제72조에 따라 사고 발생 시 부상자 구호, 위험 방지 조치, 경찰 신고가 의무이다.",경시청 통달 · 이어폰 등을 사용한 자전거 이용자 단속 시 유의사항 · 한쪽 귀인지 양쪽 귀인지가 아니라 ‘안전한 운전에 필요한 소리나 음성이 들리지 않는 상태’인지 여부로 판단
기본 규칙,고급, 차로가 설치된 도로에서 자전거가 통행해야 할 위치로 가장 적절한 것은 무엇인가?,상황에 따라 보도와 차도를 자유롭게 이동한다.,왼쪽 끝에서 첫 번째 차로를 통행하고 그 차로의 왼쪽 부분을 통행한다.,가입은 고등학생 이상만 가능하다.,비어 있는 차로를 자유롭게 선택하여 통행해도 된다.,2,"자전거는 차로가 있는 경우 원칙적으로 왼쪽에서 첫 번째 차로를 통행하며, 그 차로의 왼쪽 부분을 이용해야 한다.",도로교통법 · 도로교통법 제36조
이어폰 사용,초급, 이어폰을 착용한 상태의 자전거 운전에 대해 경시청 통달의 취지에 가장 가까운 것은 무엇인가?,"한쪽 귀든 양쪽 귀든 관계없이, 안전운전에 필요한 소리나 음성이 들리지 않는 상태인지 여부로 판단한다.",한쪽 귀만 이어폰을 착용하면 항상 적법하다.,경미한 무등화,양쪽 귀 이어폰 사용은 항상 위반이다.,1,"경찰청 통달에서는 한쪽 귀인지 양쪽 귀인지로 일률 판단하지 않고, ‘안전 운전에 필요한 소리나 음성이 들리지 않는 상태’인지 여부로 판단하도록 하고 있다.",경찰청 자전거 포털 사이트 · 오사카부 경찰·정부 홍보 온라인 정차 중 취급
기본 규칙,고급, 우선도로와 비우선도로가 만나는 교차로에서 자전거 통행 방법으로 올바른 것은 무엇인가?,자전거에는 우선도로 개념이 적용되지 않는다.,비우선도로를 통행하는 자전거는 우선도로를 통행하는 차량에 주의하고 필요 시 일시정지 등의 조치를 해야 한다.,라이트만 점검하면 문제없다.,우선도로를 통행하는 차량은 항상 비우선도로 차량에 양보해야 한다.,2,우선도로에서는 비우선도로에서 진입하는 자전거를 포함한 차량 등에 대해 더욱 높은 주의의무가 요구된다.,경시청 자전거 포털 사이트 · 경시청 FAQ·범칙행위 일람 차단기 내려진 건널목 진입
주행 중 스마트폰 사용,고급, 자전거의 ‘주행 중 스마트폰 사용(ながらスマホ)’에 관한 내용으로 가장 적절한 것은 무엇인가?,정차 중에도 반드시 위반이 된다.,자전거에서 내려 끌고 가더라도 반드시 위반이 된다.,청색 범칙금(청딱지)을 한 번 받으면 반드시 명령이 내려진다.,스마트폰을 보더라도 통화만 하지 않으면 위반이 아니다.,3,"안내 자료에 따르면 운전 중(정차 중 제외)의 손에 든 통화나 화면 주시가 대상이며, 구체적인 평가는 상황에 따라 달라진다.",도로교통법 · 도로교통법 제63조의7
건널목,초급, 차단기가 내려와 있는 철도 건널목에서 자전거의 통행으로 올바른 것은 무엇인가?,내려서 끌고 가면 항상 통행할 수 있다.,보도 쪽이라면 통행해도 된다.,자전거 차량검사 제도,자전거라면 통행해도 된다.,3,차단기가 내려와 있거나 내려오기 시작한 건널목에는 진입해서는 안 된다. 자전거도 동일하다.,자전거 안전이용 5칙｜경시청 · 도로교통법 제19조·제63조의5
위험행위,고급, 교차로 부근에 자전거 횡단대가 있는 경우 자전거의 통행 방법으로 가장 적절한 것은 무엇인가?,"차도 통행 방법을 따르면 되며, 자전거 횡단대는 이용하지 않아도 된다.",보행자 횡단보도만 이용해야 하며 자전거 횡단대는 이용해서는 안 된다.,건널목 직전에서 일시정지하고 안전을 확인한 후에만 진행해야 한다.,자전거 횡단대가 있는 경우에는 차도 통행 방법 규정과 관계없이 그 자전거 횡단대를 통행해야 한다.,4,제63조의7에 따라 자전거 횡단대가 있는 교차로 부근에서는 그 자전거 횡단대를 이용해야 한다.,경시청 자전거 포털 사이트 · 경시청 자전거 교통규칙 제동장치 불량 자전거 운전
위험행위,초급, 일반 자전거의 병렬 주행에 대한 올바른 설명은 무엇인가?,일반 자전거는 3대까지 병렬 주행이 허용된다.,일반 자전거의 병진은 전혀 허용되지 않는다.,우회전은 금지되어 있다.,도로 표지 등으로 허가된 경우에도 일반 자전거의 병진 주행은 2대까지만 가능하다.,4,"도로교통법 제19조 및 제63조의5에 따라 도로표지 등으로 허가된 경우를 제외하고 병진은 금지되며, 허가된 경우에도 2대까지만 허용된다.",자전거 안전이용 5칙｜경찰청 · 도로교통법 제36조·제42조
브레이크,초급, 브레이크가 불량한 자전거에 관한 설명으로 올바른 것은 무엇인가?,내리막길에서만 금지된다.,제동장치가 불량한 자전거를 운전해서는 안 된다.,헬멧 착용은 법률상 전혀 규정되어 있지 않다.,브레이크 한쪽만 작동해도 문제없다.,2,브레이크가 불량한 자전거를 운전해서는 안 된다. 정지할 수 없어 위험하기 때문이다.,자전거 안전이용 5칙｜경찰청 · 도로교통법 제25조의2
기본 규칙,고급, 교통정리가 이루어지지 않는 시야가 나쁜 교차로에서 자전거의 통행 방법으로 가장 적절한 것은 무엇인가?,보도가 있으면 속도를 줄이지 않고 보도를 통행하면 된다.,시야가 좋지 않은 교차로에서는 서행하며 교차도로를 통행하는 차량이나 보행자에 주의해 진행해야 한다.,비나 강풍 등 날씨가 나쁠 때는 항상 보도를 달려도 된다.,자전거에는 서행 의무가 없고 자동차에만 적용된다.,2,도로교통법 제36조 및 제42조에 따라 신호가 없고 시야가 좋지 않은 교차로에서는 서행하면서 교차 도로의 차량과 보행자에 주의하여 진행해야 한다.,도로교통법 시행규칙 · 도로교통법·자전거 관련 법령 총론
위험행위,고급, 도로교통법 제25조의2에서 자전거를 포함한 차량의 횡단 및 유턴에 대해 규정한 내용으로 적절한 것은 무엇인가?,"보행자 또는 다른 차량 등의 정상적인 교통을 방해할 우려가 있을 때에는 횡단, 유턴 또는 방향 전환을 해서는 안 된다.",횡단 금지는 자동차에만 적용된다.,보도 통행이 원칙이고 차도는 예외이다.,도로 표지가 없으면 어디서든 횡단·유턴해도 된다.,1,"제25조의2는 보행자 또는 다른 차량의 정상적인 교통을 방해할 우려가 있는 경우 횡단, 회전, 후진을 해서는 안 된다고 규정한다.",경찰청 자전거 포털 사이트 · 경찰청 자전거 교통규칙 좌측통행
기본 규칙,초급, 자전거의 안전 이용에 관한 종합적인 사고방식으로 가장 적절한 것은 무엇인가?,사고는 운이 나빴던 것으로 생각하면 된다.,면허가 필요 없으므로 위반해도 책임이 가볍다.,"7,000엔","보행자와 같은 감각으로 이용하면 되며, 세부 규칙은 신경 쓰지 않아도 된다.",3,자전거는 경차량으로서 다양한 법적 의무와 책임을 부담한다. 규칙 이해와 안전의식이 사고 예방의 전제이다.,경찰청 자전거 포털 사이트 · 도도부현 공안위원회 규칙·도로교통법 제70조 한손운전
교차로·횡단,고급, 차도 통행 시 자전거의 통행 위치로 올바른 것은 무엇인가?,도로의 오른쪽을 자유롭게 통행할 수 있다.,도로 중앙을 통행한다.,차체 크기와 관계없이 페달이 달려 있으면 모두 일반 자전거이다.,도로의 왼쪽으로 붙어서 통행한다.,4,"자전거는 차도에서 좌측통행이 원칙이며, 역주행은 위험하고 중대한 사고로 이어질 가능성이 크다.",자전거 안전이용 5칙｜경찰청 · 도로교통법 제63조의4 제2항
우산 사용 운전,고급, 한 손 운전에 대한 정리로 가장 적절한 것은 무엇인가?,한 손 운전에 대해서는 법률상 전혀 언급되어 있지 않다.,한 손 운전은 어린이만 금지된다.,보도를 통행하면 일시정지할 필요가 없다.,우산을 쓰지 않았다면 한 손 운전은 언제나 문제없다.,3,"우산 운전뿐 아니라 안정성을 해치는 한 손 운전도 안전운전의무 위반으로 평가될 수 있으며, 운전 형태 전체를 종합적으로 판단한다.",경찰청 자전거 포털 사이트 · 자전거 운전자 강습 제도 수강 명령 불이행 시 벌칙
기본 규칙,초급,일반 자전거가 보도를 통행할 때의 의무로 가장 적절한 것은 무엇인가?,보도를 통행할 경우 자전거는 항상 내려서 끌고 가야 한다.,보도 중앙 부근을 빠른 속도로 통행해도 된다.,"보도 중앙에서 차도 쪽(보통자전거 통행 지정 부분이 있으면 그 부분)을 서행하고, 보행자의 통행을 방해할 경우 일시정지한다.","보도 중앙에서 차도 쪽 부분을 서행하고, 보행자 통행을 방해하는 경우에는 일시정지해야 한다.",4,"일반자전거는 보도를 통행할 경우 보도 중앙에서 차도 쪽 부분(일반자전거 통행지정 부분이 있으면 그 부분)을 서행해야 하며, 보행자 통행을 방해할 경우 일시정지해야 한다.",도로교통법 시행규칙 · 도로교통법 제63조의4
자전거 운전자 교육,고급,자전거 운전자 강습 수강 명령에 따르지 않은 경우의 취급으로 올바른 것은 무엇인가?,면허 벌점만 추가된다.,특별한 처벌은 없다.,자전거는 교통량이 적으면 적신호에도 진행할 수 있다.,5만 엔 이하의 벌금이 부과될 수 있다.,4,자전거 운전자 강습 수강 명령에 따르지 않으면 5만 엔 이하의 벌금이 부과될 수 있다.,경찰청 자전거 포털 사이트 · 경찰청 범칙행위 일람 속도 초과
기본 규칙,고급, 자전거의 보도 통행에 대한 도로교통법상의 기본적인 사고방식으로 가장 적절한 것은 무엇인가?,보도 통행에 관한 규정은 존재하지 않는다.,위험을 느끼면 항상 보도 통행이 의무화된다.,빨간색만 해당한다.,"차도 통행이 원칙이며, 표지·표시 또는 아동 등의 조건을 충족하는 경우에만 보도 통행이 허용된다.",4,"자전거는 경차량으로서 원칙적으로 차도를 통행해야 하며, 보도 통행은 표지 또는 특정 요건을 충족하는 경우에만 허용된다.",경시청 자전거 교통규칙 · 승차 제한 등 · 자전거 2인 탑승은 원칙적으로 금지
속도위반,고급, 자전거의 속도에 관한 설명으로 올바른 것은 무엇인가?,자전거는 표지판의 속도 제한을 받지 않는다.,속도위반은 원동기장치자전거에만 적용되는 제도이다.,"7,000엔",자전거에는 속도위반 개념이 없다.,3,"범칙행위 목록에는 경차량의 속도위반도 포함되며, 초과 속도에 따라 범칙금이 정해져 있다.",경시청 자전거 포털 사이트 · 경시청 자전거 안전이용 촉진 페달 부착 원동기장치자전거
