問題番号,問題文,難易度,カテゴリ,正解,解説,法令参照
19,急な下り坂で制限速度未満やったとしても、どれだけスピードを出しても安全運転義務違反にならへんわけやないで。,初級,危険行為,✕,坂の傾きや路面の状態などによっては、制限速度より遅くても危ない場合があるから、そのときの状況に応じた安全な速度で走らなあかんで。道路交通法,道路交通法 第70条 下り坂等での安全な速度保持に関する安全運転義務。
20,雨の日や風が強い日でも、制限速度内やったら自転車の運転の仕方を特に変える必要はないで。,初級,危険行為,✕,天気が悪いときは、ブレーキをかけてから止まるまでの距離が長くなったり、周りが見えにくくなったりするから、普段より速度を落として慎重に運転せなあかんで。道路交通法,道路交通法 第70条 雨天・強風時の安全運転義務に基づく速度調整等。
21,軽車両である自転車は、道路の左側に設けられた路側帯やったら、歩行者の通行を著しく妨げへん限り通行できるで。,初級,基本ルール,〇,"道路交通法第17条の2では、軽車両は左側に設けられた路側帯を、歩行者の通行を妨げへん速度と方法で通ることができるで。
自転車安全利用五則|普察庁入 ",道路交通法第17条の2 軽車両による路側帯通行と歩行者への配慮に関する規定。
22,道路交通法施行規則では、普通自転車は四輪以下やなあかんで。,初級,基本ルール,〇,"施行規則第9条の2の2では、普通自転車の構造として「四輪以下」であることが条件になっとるで。
 道路交通法施行規則",道路交通法施行規則第9条の2の2 普通自転車の車輪数に関する基準。
23,"普通自転車の基準には、「側車が付いてへんこと」も含まれとるで。
",初級,基本ルール,〇,第9条の2の2第2号では、側車が付いてへんことが普通自転車の条件として明記されとるで。道路交通法施行規則,道路交通法施行規則第9条の2の2 普通自転車に側車を付けられるかどうか。
24,普通自転車は、運転者席以外でも、幼児用の座席やったら設けることができるで。,初級,基本ルール,〇,施行規則では、「運転者席以外の乗車装置（幼児用座席を除く。）を備えてへんこと」とされとって、幼児用座席だけが例外として認められとるで。道路交通法施行規則,道路交通法施行規則 第9条の2の2 普通自転車に設けられる座席の制限。
25,"普通自転車のブレーキは、走っとる最中でも簡単に操作できる位置に付いとらなあかんで。
",初級,危険行為,〇,"第9条の2の2第2号ニでは、ブレーキが走っとる最中でも簡単に操作できる位置に付いとることが、普通自転車の条件とされとるで。
道路交通法施行規則",道路交通法施行規則第9条の2の2 制動装置（ブレーキ）の操作位置に関する基準。
26,普通自転車には、歩行者に危害を与えるおそれがある鋭い突起があってもええで。,初級,危険行為,✕,"同条ホでは、「歩行者に危害を及ぼすおそれがある鋭利な突起がないこと」とされとるから、そのような突起は認められてへんで。
道路交通法施行規則",道路交通法施行規則第9条の2の2 歩行者に危害を及ぼすおそれのある鋭利な突出部の禁止。
27,自転車のブレーキの基準では、前輪か後輪のどっちか一方だけ止められればええとされとるで。,初級,危険行為,✕,"第9条の3第1号では、「前車輪及び後車輪を制動すること」と定められとって、前後両方の車輪を止められることが求められとるで。
道路交通法施行規則",道路交通法施行規則第9条の3 自転車の制動装置の基準（前後輪制動）。
28,自転車のブレーキは、乾いた平らな舗装道路で時速10kmからブレーキをかけたとき、3m以内でスムーズに止まれる性能が必要やで。,初級,危険行為,〇,"第9条の3第2号では、その条件が具体的に定められとるで。
第道路交通法施行規則",道路交通法施行規則 第9条の3 自転車の制動性能（10km/hから3m以内で停止）。
29,自転車に付ける反射器材は、夜に後ろ100mの位置から前照灯で照らしたとき、その反射光を簡単に確認できるものでなあかんで。,初級,危険行為,〇,"第9条の4第1号では、後ろ100mの位置から前照灯で照らしたときに、反射光を簡単に確認できることが基準とされとるで。
道路交通法施行規則",道路交通法施行規則第9条の4 自転車用反射器材の見え方に関する基準（夜間100m)
30,"自転車用の反射器材の反射光は、黄色や緑色でもええとされとるで。
",初級,危険行為,✕,"施行規則では、反射光の色を「橙色または赤色」に限っとるから、黄色や緑色は基準に合ってへんで。
道路交通法施行規則",道路交通法施行規則第9条の4 自転車用反射器材の反射光の色の基準。
31,人の力を補うために原動機を使う自転車（いわゆる電動アシスト自転車）の原動機は、電動機やないとあかんで。,初級,基本ルール,〇,第1条の3第1号イでは、原動機として電動機であることが条件になっとるで。道路交通法施行規則,道路交通法施行規則 第1条の3 人の力を補うため原動機を用いる自転車の原動機の種類（電動機）。
32,電動アシスト自転車は、時速24km以上になったら、原動機による補助力が加わらへん構造やないとあかんで。,初級,基本ルール,〇,"第1条の3第1号ハでは、時速24km以上の速度域では原動機による補助力が加わらへんことが定められとるで。
道路交通法施行規則",道路交通法施行規則 第1条の3 24km/h以上では原動機による補助力が加わらないこと。
33,"原動機を使う軽車両は、原動機として電動機を使い、歩きながら運転する構造やないとあかんで。
",初級,基本ルール,〇,"第1条の2の3第2号イ・ロでは、電動機を使うことと、歩きながら運転するものであることが定められとるで。
道路交通法施行規則",道路交通法施行規則第1条の2の3 原動機を用いる軽車両の構造（歩きながら運転することなど）。
34,移動用小型車は、時速6kmを超える速度が出えへん構造やないとあかんで。,初級,危険行為,〇,"第1条の4第2号ロでは、時速6kmを超える速度が出えへんことが条件になっとるで。
道路交通法施行規則",道路交通法施行規則第1条の4 移動用小型車の最高速度の上限。
35,移動用小型車の原動機は、ガソリンエンジンなど内燃機関であってもええで。,初級,基本ルール,✕,"第1条の4第2号イでは、原動機として電動機を使うことが定められとって、エンジン（内燃機関）は想定されとらへんで。
道路交通法施行規則",道路交通法施行規則 第1条の4 移動用小型車の原動機の種類（電動機）。
36,道路交通法施行規則第1条の3に適合する電動アシスト自転車は、原動機付自転車ではなく「自転車」として扱われるで。,初級,基本ルール,〇,"警察庁や各都道府県も案内しとるとおり、この規則の基準に合っとるものは、自転車として扱われるで。
道路交通法施行規則",道路交通法 第2条・道路交通法施行規則第1条の3 電動アシスト自転車と原動機付自転車の区別の根拠となる定義。
37,前か後ろのどっちか一方にしかブレーキが付いてへん自転車は、道路交通法第63条の9で求められとる制動性能を満たしてへんから、違反になる可能性があるで。,初級,基本ルール,〇,"同条では「制動装置など」を備えた自転車であることが求められとって、前後それぞれの車輪に有効なブレーキが付いとることが前提になっとるで。
道路交通法施行規則",道路交通法 第63条の9第1項 自転車に備える制動装置（ブレーキ）の基準の根拠条文。
38,自転車の反射器材は、夜に後ろ100mの位置から前照灯で照らしたとき、その反射光を照らした場所から簡単に確認できる性能が必要やで。,初級,基本ルール,〇,"これは施行規則第9条の4第1号に明記されとる条件やで。
道路交通法施行規則",道路交通法施行規則第9条の4 反射器材は、夜間後方100mの距離から前照灯で照らしたときに反射光を確認できる性能が必要とされる。
39,道路標識などで指定された自転車道には、自転車以外の原付や自動車が入って通ることは認められとらんで。,初級,危険行為,〇,"自転車道は軽車両である自転車などのための専用通行帯で、ほかの車両は通ったらあかんで。
道路交通法施行規則",道路交通法 第17条、第63条の3 自転車道は自転車等のための通行帯であり、原動機付自転車や自動車は通行できない。
40,道路交通法第2条第3項では、自転車を押して歩いとる人は歩行者とみなされるで。,初級,基本ルール,〇,"同条では、車両を押して歩いとる人は歩行者とみなすことが定められとって、自転車にも適用されるで。
道路交通法施行規則",道路交通法第2条第3項 車両を押して歩いている者は、歩行者として扱われることを定めている。
41,自転車横断帯が設けられとる近くでは、自転車はその自転車横断帯を通って道路を横断せなあかんとされとるで。,初級,基本ルール,〇,"道路交通法第25条の2と第63条の6に基づく、自転車の横断方法の基本的なルールやで。
道路交通法施行規則",道路交通法 第25条の2、第63条の6 自転車横断帯のある場所では、その自転車横断帯によって道路を横断しなければならない。
42,"自転車どうしで並んで走ることは、道路標識などで特別に認められとる区間を除いて、道路交通法第19条・第63条の5によって禁止されとるで。
",初級,危険行為,〇,自転車を含む軽車両が並んで走ることは原則として禁止されとって、標識によって例外的に認められとるだけやで。道路交通法施行規則,道路交通法 第19条、第63条の5 軽車両（自転車）の並進を原則禁止し、標識等で認められた場合のみ例外とする。
43,自転車に同乗できる幼児の人数や座席の構造は、道路交通法第63条の4や各都道府県の細則によって制限されとるから、何人でも自由に乗せられるわけやないで。,初級,危険行為,〇,"チャイルドシートの数や配置、それに同乗できる幼児の人数は、法令や細則で上限が決められとるで。
道路交通法施行規則",道路交通法第63条の4 自転車に乗車できる人数や、幼児用座席に関する規定の根拠条文。
44,自転車は、夜に道路を通るときは前照灯を点けるのに加えて、尾灯か施行規則第9条の4に合った反射器材を付けとらなあかんで。,初級,基本ルール,〇,"道路交通法第52条と第63条の9第2項に基づく、灯火や反射器材に関する義務やで。
道路交通法施行規則",道路交通法 第52条、第63条の9第2項 夜間の灯火義務と、自転車に反射器材または尾灯を備える義務の根拠条文。
45,"道路交通法では、自転車は軽車両として定義されとるで。
",初級,基本ルール,〇,"自転車は道路交通法第2条第1項第11号で軽車両として位置づけられとって、車両としてのさまざまな義務が課されとるで。
道路交通法施行規則",道路交通法 第2条第1項第11号 自転車は軽車両として定義される。
46,自転車は、原則として車道の左側端に寄って通らなあかんとされとるで。,初級,基本ルール,〇,"道路交通法第17条と第63条の3に基づいて、自転車は車道の左側端寄りを通らなあかんことになっとるで。
 道路交通法施行規則",道路交通法 第17条、第63条の3 軽車両である自転車は、車道では原則として左側端を通行しなければならない。
47,"自転車やったとしても、車道の右側を通ること（いわゆる逆走）は道路交通法違反になるで。
",初級,危険行為,〇,軽車両である自転車も、車両として左側通行の義務があって、右側通行は原則として認められてへんで。道路交通法施行規則,道路交通法第17条 車道の右側通行（逆走）は自転車も禁止される。
48,自転車が歩道を通る場合は、歩行者優先で徐行して、歩行者の通行を妨げたらあかんとされとるで。,初級,危険行為,〇,道路交通法第63条の4では、自転車は歩道を通るときに、歩行者優先で徐行せなあかんことになっとるで。道路交通法施行規則,道路交通法第63条の4 歩道を通行する場合、自転車は歩行者優先・徐行義務を負う。
49,自転車も軽車両やから、信号機の表示に従う義務があって、赤信号で進んだら信号無視として処罰の対象になるで。,初級,危険行為,〇,"道路交通法第7条では、すべての車両に信号を守ることが求められとって、自転車も例外やないで。
道路交通法施行規則",道路交通法 第7条、第2条第1項第11号 自転車を含む軽車両は号機の表示に従う義務がある。
50,一時停止の標識がある交差点では、自転車も完全に一時停止する義務があるで。,初級,危険行為,〇,"道路交通法第43条に基づく一時停止義務は、軽車両である自転車にも適用されるで。
道路交通法施行規則",道路交通法 第43条、第63条の3 一時停止標識がある交差点での一時停止義務は自転車にも及ぶ。
51,傘差し運転や片手運転は、自転車でも安全運転義務違反として指導や取締りの対象になることがあるで。,初級,危険行為,〇,各警察本部の取締り対象として明示されとって、事故が起きたときは重大な過失と判断されることがあるで。道路交通法施行規則,道路交通法 第70条 片手運転や傘差し運転は、安全運転義務違反として各地の取締り対象となっている。
52,夜に自転車の前照灯を点けんと走ることは、灯火義務違反として処罰の対象になるで。,初級,罰則・責任,〇,"道路交通法第52条の灯火義務に違反する行為で、各地で無灯火走行の取締りが行われとるで。
道路交通法施行規則",道路交通法 第52条、第120条 夜間の無灯火走行は灯火義務違反として罰則の対象となる。
53,自転車の二人乗りは、幼児同乗用自転車などの例外を除いて、道路交通法では原則として禁止されとるで。,初級,危険行為,〇,"安全性の観点から、座席や構造が対応しとる場合を除いて、二人乗りは認められてへんで。
道路交通法施行規則",道路交通法 第57条、第63条の4 自転車の二人乗りは、幼児同乗用自転車など例外を除き原則禁止。
54,自転車道は、基準に合った自転車などのための車道の一部で、自動車は原則として通ったらあかんで。,上級,基本ルール,〇,自転車道は、自転車が通るために区切られた車道の一部で、自動車などは通られへんことになっとるで。道路交通法,道路交通法 第63条の3 自転車道を通行できる車両の範囲。
55,軽車両である自転車は、公安委員会の規制などによって指定された交差点では、いわゆる二段階右折の方法で右折せなあかんことがあるで。,上級,危険行為,〇,道路交通法第34条では、軽車両は公安委員会が定める場合に、二段階右折をせなあかんことがあるで。道路交通法,道路交通法 第34条 軽車両の右折方法（二段階右折など）に関する規定。
56,軽車両である自転車は、積載装置の構造や公安委員会が定める基準に従って、積む荷物の大きさや重さが制限されとるで。,上級,危険行為,〇,第57条の2では、軽車両の荷物の積み方や積める量は、公安委員会が定める基準に従わなあかんことになっとるで。道路交通法,道路交通法第57条の2 軽車両の積載制限に関する規定。
57,危険な自転車運転を繰り返し行った人に対しては、公安委員会が自転車運転者講習の受講を命じることがあるで。,上級,危険行為,〇,"第108条の3に基づいて、政令で定められた危険な行為を繰り返した場合は、自転車運転者講習を受けるよう命じられることがあるで。
道路交通法",道路交通法 第108条の3 自転車運転者講習の受講命令に関する規定。
58,「歩行者専用」の道路標識が設置されとる道路は、原則として自転車に乗ったまま通ることはできへんで。,上級,基本ルール,〇,"歩行者専用道路は原則として歩行者しか通られへんけど、自転車は押して歩けば歩行者と同じ扱いで通ることができるで。
道路交通法",道路交通法第8条・第9条 歩行者専用道路における通行規制に関する規定。
59,一方通行の規制がされとる道路では、別に標識などで例外が示されとらん限り、自転車も指定された方向に従って通らなあかんで。,上級,危険行為,〇,一方通行の交通規制は、軽車両である自転車にも適用されるから、標識に従った方向に通らなあかんで。道路交通法,道路交通法第8条・第17条 一方通行の規制と自転車の通行方向に関する取扱い。
60,自転車をわざと道路の真ん中などに止めて、ほかの人の通行を妨げる行為は、道路交通法上の禁止行為に当たるで。,上級,危険行為,〇,第76条では、道路で交通の妨げになるような行為を禁止しとって、わざと通行を妨げる行為は違反になるで。道路交通法,道路交通法第76条 道路における禁止行為（交通の妨害行為）に関する規定。
61,自転車をわざと道路の真ん中などに止めて、ほかの人の通行を妨げる行為は、道路交通法上の禁止行為に当たるで。,上級,危険行為,〇,"第76条では、道路で交通の妨げになるような行為を禁止しとって、わざと通行を妨げる行為は違反になるで。
道路交通法入",道路交通法第76条 道路における禁止行為（交通の妨害行為）に関する規定。
62,酒に酔った状態で自転車を運転することは、道路交通法で禁止されとるで。,上級,危険行為,〇,"第65条では、酒気を帯びて正常に運転できへんおそれがある状態での運転は、自転車も含めて禁止されとるで。
",
63,大音量で音楽を聴いて周りの音が聞こえへん状態で自転車を運転することは、安全運転義務や各都道府県の禁止行為に違反する可能性が高いで。,上級,危険行為,〇,"周りの音が聞こえへん状態は危険を予測することを大きく妨げるから、安全運転義務違反として取締りの対象になる場合があるで。
道路交通法",道路交通法第70条・第71条 安全運転義務および公安委員会の定める禁止行為（イヤホン等）に関する規定。
64,速度が速いほど止まるまでの距離は長くなるから、安全運転義務の観点からも、そのときの状況に応じて速度を調整せなあかんで。,上級,基本ルール,〇,"停止距離は速度が速くなるほど長くなるから、見通しや路面の状態に応じて適切な速度で走らなあかんで。
道路交通法",道路交通法第70条 停止距離等を踏まえた安全な速度選択に関する義務。
65,路面が凍結しとったり、雪が積もっとったり、砂利で滑りやすい場合でも、制限速度未満やったら普段どおり運転しても問題ないで。,上級,危険行為,✕,"路面の状態に応じて速度や進む方向を調整せえへん運転は、安全運転義務に反する可能性があるで。
道路交通法",道路交通法第70条 路面状態（凍結・砂利・ぬかるみ等）に応じた運転方法の調整義務。
66,自転車の制動性能基準は、濡れた路面での停止距離についても具体的な数値で定められとるで。,上級,危険行為,✕,"施行規則では「乾いた平らな舗装道路」での条件が定められとって、濡れた路面での具体的な停止距離までは示されとらへんで。
道路交通法施行規則",道路交通法施行規則第9条の3 制動性能基準が適用される路面条件に関する理解。
67,電動アシスト自転車は、低速域（10km/h未満）やったら、人の力に対する補助力の割合に上限は設けられとらんで。,上級,基本ルール,✕,"第1条の3では、速度ごとに人の力に対する補助力の割合の上限が具体的に決められとって、低速域にも上限があるで。
道路交通法施行規則",道路交通法施行規則第1条の3 10km/h未満の低速域におけるアシスト比率の上限。
68,電動アシスト自転車の補助機能は、スムーズに作動して、その働きによって安全な運転の妨げにならんことが求められとるで。,上級,危険行為,〇,"第1条の3では、速度ごとに人の力に対する補助力の割合の上限が具体的に決められとって、低速域にも上限があるで。
道路交通法施行規則",道路交通法施行規則第1条の3 補助機能の円滑性と安全性に関する基準。
69,原動機を使う軽車両の車体の大きさは、長さ4m、幅2m、高さ3mを超えたらあかんとされとるで。,上級,基本ルール,〇,"第1条の2の3第1号では、長さ4m・幅2m・高さ3mを超えへんことが基準になっとるで。
道路交通法施行規則",道路交通法施行規則第1条の2の3 原動機を用いる軽車両の車体の大きさの上限。
70,原動機を使う軽車両では、運転者がその車から離れても、原動機が動き続けてええで。,上級,危険行為,✕,"同条ハでは、運転者が車から離れた場合は、原動機が停止することが条件になっとるで。
道路交通法施行規則",道路交通法施行規則第1条の2の3 原動機を用いる軽車両における離脱時の原動機 停止要件。
71,押して歩いとる人を歩行者とみなす四輪以上の自転車については、長さ190cm、幅60cmを超えへんことが基準とされとるで。,上級,基本ルール,〇,"第1条の8では、四輪以上の自転車について、長さ190cm・幅60cmを超えへんことが定められとるで。
道路交通法施行規則",道路交通法施行規則第1条の8 押して歩いている者を歩行者とする車両の大きさ （四輪以上の自転車等）。
72,移動用小型車の車体の大きさは、長さ120cm、幅70cm、高さ120cm（ヘッドサポートは除く）を超えたらあかんで。,上級,基本ルール,〇,"第1条の4第1号では、その寸法を上限とすることが定められとるで。
道路交通法施行規則",道路交通法施行規則第1条の4 移動用小型車（いわゆる電動カート等）の大きさの上限。
73,原動機を使う身体障害者用の車の車体の大きさは、長さ120cm、幅70cm、高さ120cm（ヘッドサポートは除く）を超えたらあかんで。,上級,基本ルール,〇,"第1条の5第1号では、移動用小型車と同じ寸法を上限とすることが定められとるで。
道路交通法施行規則",道路交通法施行規則第1条の5 原動機を用いる身体障害者用の車の大きさの上限。
74,原動機を使う身体障害者用の車は、自動車や原動機付自転車と見た目ではっきり区別できることが求められとるで。,上級,基本ルール,〇,"第1条の5第2号ニでは、自動車や原動機付自転車と見た目ではっきり区別できることが条件になっとるで。
道路交通法施行規則",道路交通法施行規則第1条の5 原動機を用いる身体障害者用の車が自動車等と外観で識別できること。
75,乗車用ヘルメットの基準には、視野の確保、衝撃を吸収する性能、あごひもの固定性、それに重さが2kg以下であることなどが含まれとるで。,上級,危険行為,〇,"第9条の5では、視野・聴力・衝撃吸収性・耐貫通性・あごひも・重量2kg以下などの条件が定められとるで。自転車用ヘルメットでも同じような観点が大事やで。
道路交通法施行規則",道路交通法施行規則第9条の5 乗車用ヘルメットの基準の一部（視野・固定性・重量など）。自転車ヘルメット選びにも関連する考え方。
76,ペダルをこがんでも原動機だけで走れる車両は、道路交通法施行規則第1条の3で定める「駆動補助機付自転車」に当たるで。,上級,基本ルール,✕,"第1条の3で想定されとるんは、人がこぐ力を補うための原動機（電動モーター）で、原動機だけで走れるものは自転車やのうて原動機付自転車などとして扱われるで。
道路交通法施行規則",道路交通法施行規則第1条の3 電動アシスト自転車として扱われるための原動機の基準（電動機であること、安全な運転に支障がないこと等）を定めている。
78,電動アシスト自転車のアシスト比率は、時速10km未満やったら、人の力1に対して原動機による補助力2までとされとるで。,上級,基本ルール,〇,第1条の3では、低速域（時速10km未満）でのアシスト比率の上限は1対2とされとって、それを超えると法令上の自転車の基準から外れるで。道路交通法施行規則,道路交通法施行規則第1条の3 電動アシスト自転車のアシスト比率（人の力とモータ一の力の比）と速度の関係を定めている。
79,アシスト比率や速度制御を簡単に変更できる構造の電動アシスト自転車は、第1条の3で求められとる「簡単に改造できへん構造」には当たらへん可能性があるで。,上級,危険行為,〇,"基準から外れる改造を簡単にできる構造のものは、法律で想定されとる「駆動補助機付自転車」の条件を満たしてへんから、原付などに当たる可能性があるで。
道路交通法施行規則",道路交通法施行規則 第1条の3 電動アシスト自転車の原動機は、基準を外れるような改造が容易でない構造であることが求められている。
80,自転車のブレーキについては、施行規則第9条の3で制動距離などの性能基準が定められとるから、ただ「ブレーキが付いとればええ」というもんやないで。,上級,基本ルール,〇,"同条では制動性能の具体的な基準が定められとって、その性能を満たしてへん車両で通ることは法令違反になる可能性があるで。
道路交通法施行規則",道路交通法施行規則第9条の3 自転車の制動装置の性能（制動距離など）の具体的な基準を定めている。
81,自転車は、施行規則第9条の4の基準に合った反射器材を付けとる場合は、条例によっては尾灯を省略できるとされとるで。,上級,基本ルール,〇,"多くの都道府県の施行細則では、その基準に合った反射器材が付いとれば尾灯はいらんと定められとるで。ただ、安全のためには尾灯も一緒に使うことが勧められとるで。
道路交通法施行規則",道路交通法 第63条の9第2項・道路交通法施行規則第9条の4自転車は尾灯の代わりに一定基準に適合する反射器材を備えることができるとされている。
82,施行規則第9条の4で求められとる反射器材は「自転車に取り付けられたもの」のことやから、乗っとる人の服なんかに付いとる反射素材だけでは代わりにならへんと考えられとるで。,上級,危険行為,〇,"条文では、自転車に取り付けられとることが前提になっとって、実務上も自転車本体に付けることが求められとるで。
道路交通法施行規則",道路交通法施行規則 第9条の4 反射器材は「自転車に備え付けられた場合」を前提としており、身体や衣服だけにある反射材では代替できないとされている解釈がある。
83,施行規則第5条の6では、自転車道を通れる自転車の大きさ（長さ・幅・高さ）に上限が決められとって、それを超える車両は自転車道を通られへんで。,上級,基本ルール,〇,"同条では、自転車道の安全を確保するために、自転車の大きさに基準が設けられとるで。
道路交通法施行規則",道路交通法施行規則 第5条の6 自転車道を通行できる自転車の大きさ等（長さ・幅・高さ）の基準を定めている。
84,幅の広い四輪自転車で、自転車道を通れる寸法の基準を超えとるものは、自転車道を通ることができへんで。,上級,基本ルール,〇,第5条の6の寸法基準を超える車両は、自転車道通行の対象外となる。 道路交通法施行規則,道路交通法施行規則第5条の6 自転車道を通行できる車両は一定の大きさ以内の普通自転車等に限定される。
85,自転車を押して横断歩道を渡っとる人は歩行者とみなされるから、自動車には道路交通法第38条に基づく一時停止義務が生じるで。,上級,基本ルール,〇,"第5条の6の寸法基準を超えとる車両は、自転車道を通ることができへんで。
道路交通法施行規則",道路交通法 第38条、第2条第3項 歩行者として横断歩道を通行する場合、車両側の一時停止義務等が働く。
86,自転車の安全な利用や駐輪スペースの確保は、道路交通法だけやのうて、いわゆる自転車法（自転車等の駐車対策等に関する法律）でも定められとるで。,上級,基本ルール,〇,自転車法は、自転車の安全な利用と駐輪対策を総合的に進めるための基本となる法律やで。道路交通法施行規則,自転車の安全利用の促進及び自転車等の駐車対策の総合的推進に関する法律第1条ほか 自転車の安全利用と駐輪対策を総合的に推進する目的の法律（いわゆる自転車法）。
