問題番号,問題文,難易度,カテゴリ,正解,解説,法令参照
12,Conducir mientras se está mirando la pantalla del smartphone y la bicicleta no está parada puede considerarse una violación de las obligaciones de conducción segura.,Principiante,acto peligroso,〇,Mirar fijamente la pantalla de un teléfono móvil o dispositivo similar mientras se conduce se considera atención desatenta al frente y es un acto peligroso que viola el deber de conducir con prudencia. Ley de Tráfico Vial 7,"Artículos 70 y 71 de la Ley de Tráfico Vial: disposiciones relativas a obligaciones de conducir seguro y el uso de teléfonos móviles, etc."
13,"Montar en bicicleta sin un control suficiente del volante, como sujetar un paraguas o manejar con una sola mano, puede considerarse una violación de las obligaciones de conducción segura.",Principiante,acto peligroso,〇,Conducir sin operar correctamente el volante o los frenos puede violar el deber de conducción segura (Artículo 70) y puede estar sujeto a aplicación. Ley de Tráfico Vial,Artículos 70 y 71 de la Ley de Tráfico por Carretera: Disposiciones relativas a la conducción de manera que dificulte la conducción segura.
14,Los ciclistas adultos están legalmente obligados a llevar el casco dedicado.,Principiante,acto peligroso,〇,El artículo 63-11 exige que los ciclistas de todas las edades lleven casco de montar. Ley de Tráfico Vial 7,Artículos 63-11 de la Ley de Tráfico Vial: Obligación para los ciclistas de llevar casco.
15,Quienes son responsables de proteger a niños o bebés deben esforzarse por garantizar que los niños u otras personas vayan en bicicleta con casco de montar.,Principiante,acto peligroso,〇,El artículo 63-11 también impone la obligación de fomentar el uso de cascos por parte de los padres de niños y niños pequeños. Ley de Tráfico Vial 7,Artículo 63-11 de la Ley de Tráfico Vial: La obligación de hacer esfuerzos para llevar casco a niños y niños pequeños.
16,Generalmente no se permite que las bicicletas circulen por el lado derecho de las calles con un carril por lado.,Principiante,acto peligroso,✕,"Los vehículos ligeros deben circular por el lado izquierdo de la carretera, y conducir por la derecha, lo que aumenta el riesgo de colisiones frontales, generalmente no está permitido. Ley de Tráfico Vial 7",Artículos 17 y 18 de la Ley de Tráfico Vial: Disposiciones relativas a las categorías de tráfico vehicular y el principio de conducción a la izquierda.
17,"Por la noche, llevar materiales reflectantes o ropa de colores vivos se considera deseable desde la perspectiva de las obligaciones legales y las obligaciones de conducción segura.",Principiante,acto peligroso,〇,"Por la noche, es importante mejorar la visibilidad, y se recomienda encarecidamente el uso de materiales reflectantes desde la perspectiva de la prevención de accidentes. Ley de Tráfico Vial 7",Artículo 70 de la Ley de Tráfico Vial: El concepto como parte de la obligación de garantizar una conducción segura y visibilidad por la noche.
18,"En las rutas escolares y cerca de ellos, las bicicletas deben prestar especial atención a la velocidad y la posición del tráfico para garantizar la seguridad de los niños y de los demás.",Principiante,acto peligroso,〇,"En zonas con alto riesgo de que los niños se queden sin ellas, se requiere especial precaución en función de las obligaciones de conducción segura. Ley de Tráfico Vial 7","Ley de Tráfico Vial Artículo 76: Designación de rutas escolares relacionadas: Deber de consideración para garantizar la seguridad en las rutas escolares, etc. (una combinación de leyes, notificaciones y ordenanzas)."
19,"Si conduces por debajo del límite de velocidad en una pendiente empinada de bajada, por mucho que vayas a gran velocidad, no constituye una violación del deber de conducción segura.",Principiante,acto peligroso,✕,"Dependiendo de las pendientes y las condiciones de la carretera, incluso velocidades por debajo del límite pueden ser peligrosas, por lo que es necesario elegir una velocidad segura según la situación. Ley de Tráfico Vial 7","Artículo 70 de la Ley de Tráfico Viario: Obligación de conducir con seguridad en pendientes en bajada, etc."
20,"Incluso con lluvia o vientos fuertes, no es necesario cambiar tu método de bicicleta si estás dentro del límite de velocidad.",Principiante,acto peligroso,✕,"Durante mal tiempo, la distancia de frenado y la visibilidad disminuyen, por lo que debes reducir la velocidad y conducir con más cautela de lo habitual. Ley de Tráfico Vial 7","Artículo 70 de la Ley de Tráfico Vial: Ajuste de velocidad, etc., basado en las obligaciones de conducción segura en condiciones de lluvia o vientos fuertes."
21,"Las bicicletas, que son vehículos ligeros, pueden circular siempre que la franja lateral esté instalada en el lado izquierdo de la carretera, siempre que no obstruya significativamente el tráfico peatonal.",Principiante,Reglas básicas,〇,"Según el artículo 17-2 de la Ley de Tráfico, los vehículos ligeros pueden circular por la franja lateral por el lado izquierdo a una velocidad y de manera que no obstaculen a los peatones. Cinco normas para el uso seguro de bicicletas | Ingreso en la Agencia de Inspección Pública",El artículo 17-2 de la Ley de Tráfico Vial estipula el tráfico en carretera para vehículos ligeros y la contraprestación para peatones.
22,"Según el Reglamento de Aplicación de la Ley de Tráfico, las bicicletas normales deben tener cuatro o menos ruedas.",Principiante,Reglas básicas,〇,"El artículo 9-2-2 de la normativa de aplicación exige que la estructura de una bicicleta normal sea ""cuatro ruedas o menos"". Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículo 9-2-2 del Reglamento de Aplicación de la Ley de Tráfico Viario: Normas para el número de ruedas en bicicletas ordinarias.
23,El estándar para bicicletas normales incluye el requisito de que no tengan sidecar.,Principiante,Reglas básicas,〇,"El artículo 9-2-2, punto 2 establece claramente que la condición para bicicletas ordinarias es que no se acople un sidecar. Reglamentos de Aplicación de la Ley de Tráfico Vial",Artículo 9-2-2 del Reglamento de Aplicación de la Ley de Tráfico Vial: Si se puede o no acoplar un sidecar a una bicicleta normal.
24,Las bicicletas ordinarias pueden equiparse con asientos para bebés siempre que sean vehículos distintos al asiento del conductor.,Principiante,Reglas básicas,〇,"Las normativas de cumplimiento especifican que 'el vehículo no debe estar equipado con dispositivos de embarque distintos del asiento del conductor (excluyendo los asientos para bebés)', y solo se permiten asientos infantiles como excepción. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículo 9-2-2 del Reglamento de Aplicación de la Ley de Tráfico: Restricciones sobre los asientos proporcionados en bicicletas convencionales.
25,Los frenos de bicicleta ordinarios deben instalarse en posiciones que permitan una operación fácil durante la circulación.,Principiante,acto peligroso,〇,"El artículo 9-2-2, punto 2(ii) establece que el sistema de frenos debe estar en una posición que pueda operarse fácilmente mientras se conduce, condición que es una condición para bicicletas ordinarias. Reglamentos de Aplicación de la Ley de Tráfico Vial",Artículo 9-2-2 del Reglamento de Aplicación de la Ley de Tráfico Viario: Normas para la Posición de Funcionamiento del Sistema de Frenos (Freno).
26,Las bicicletas ordinarias pueden tener protuberancias afiladas que pueden suponer una amenaza para los peatones.,Principiante,acto peligroso,✕,"El artículo (i) del mismo artículo establece que no debe haber protuberancias afiladas que puedan dañar a los peatones, y tales protuberancias no están permitidas. Reglamentos de Aplicación de la Ley de Tráfico Vial",Artículo 9-2-2 del Reglamento de Aplicación de la Ley de Tránsito por Carretera: Prohibición de protuberancias afiladas que puedan suponer una amenaza para los peatones.
27,"Según las normas de frenado de bicicleta, basta con frenar tanto las ruedas delanteras como traseras.",Principiante,acto peligroso,✕,"El artículo 9-3, Punto 1 estipula que ""las ruedas delanteras y traseras deben frenar"", lo que exige la capacidad de frenar ambas ruedas. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículo 9-3 del Reglamento de Aplicación de la Ley de Tráfico Vial: Normas para dispositivos de frenado de bicicleta (frenado de ruedas delantero y trasero).
28,El sistema de frenos de la bicicleta debe ser capaz de frenar suavemente en menos de 3 metros a una velocidad inicial de 10 km/h en superficies pavimentadas secas y planas.,Principiante,acto peligroso,〇,"El artículo 9-3, punto 2 establece claramente las condiciones para ello. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículo 9-3 del Reglamento de Aplicación de la Ley de Tráfico: Rendimiento de frenado en bicicleta (frenar a menos de 3 metros de 10 km/h).
29,El equipo reflectante que se proporciona en las bicicletas debe ser capaz de confirmar fácilmente la luz reflejada cuando se ilumina desde 100 metros por los faros de noche desde atrás.,Principiante,acto peligroso,〇,"El artículo 9-4, Punto 1 establece el estándar para la capacidad de confirmar fácilmente la luz reflejada al iluminar los faros desde 100 metros detrás. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículo 9-4 del Reglamento de Aplicación de la Ley de Tráfico Viario: Normas para la Visibilidad de Equipos Reflectantes para Bicicletas (100 m por la noche)
30,El color de la luz reflejada por los reflectores de bicicleta puede ser amarillo o verde.,Principiante,acto peligroso,✕,"Las normativas de aplicación limitan el color de la luz reflejada a ""naranja o rojo"", y el amarillo o el verde no cumplen con los estándares. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículo 9-4 del Reglamento de Aplicación de la Ley de Tráfico Vial: Normas para el color de la luz reflejada en dispositivos reflectantes para bicicletas.
31,Las bicicletas que utilizan un motor para compensar la fuerza humana (las llamadas bicicletas de asistencia eléctrica) deben tener un motor eléctrico como motor.,Principiante,Reglas básicas,〇,"El artículo 1-3, párrafo 1, punto (i) exige que el motor sea un motor eléctrico. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículos 1-3 del Reglamento de Aplicación de la Ley de Tráfico: Tipos de motores (motores eléctricos) utilizados para complementar la fuerza humana.
32,"Las bicicletas con asistencia eléctrica deben diseñarse de modo que, al alcanzar velocidades superiores a 24 km/h, no se aplique ninguna fuerza auxiliar del motor.",Principiante,Reglas básicas,〇,"El artículo 1-3, Punto 1(h) estipula que a velocidades de 24 km/h o superiores no se aplica fuerza auxiliar del motor. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","Artículo 1-3 del Reglamento de Aplicación de la Ley de Tráfico Vial: A velocidades superiores a 24 km/h, no se debe aplicar la potencia auxiliar del motor."
33,Los vehículos ligeros que usen un motor deben tener una estructura que utilice un motor eléctrico como motor y funcione mientras caminan.,Principiante,Reglas básicas,〇,"El artículo 1-2-3, punto 2(i) exige el uso de motores eléctricos y que el vehículo debe ser conducido mientras se camina. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","Artículo 1-2-3 del Reglamento de Aplicación de la Ley de Tráfico Vial: Estructura de vehículos ligeros que utilizan un motor (por ejemplo, conducir mientras camina)."
34,Los vehículos móviles pequeños deben diseñarse para que las velocidades no superen los 6 km/h.,Principiante,acto peligroso,〇,"Los artículos 1-4, punto 2 exigen que no se permitan velocidades superiores a 6 km/h. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículo 1-4 del Reglamento de Aplicación de la Ley de Tráfico: Límite máximo de velocidad para vehículos móviles pequeños.
35,"El motor para vehículos móviles pequeños puede ser un motor de combustión interna, como un motor de gasolina.",Principiante,Reglas básicas,✕,"Los artículos 1-4, Punto 2(i) estipulan que los motores eléctricos deben usarse como motores de motor, y no se asumen motores de combustión interna. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículos 1-4 del Reglamento de Aplicación de la Ley de Tráfico Vial: Tipos de motores (motores eléctricos) para vehículos pequeños para movilidad.
36,"Las bicicletas de asistencia eléctrica que cumplen con los Artículos 1-3 del Reglamento de Aplicación de la Ley de Tráfico se tratan como ""bicicletas"" en lugar de bicicletas motorizadas.",Principiante,Reglas básicas,〇,"Como han informado la Agencia de Inspección Pública y cada prefectura, las bicicletas que cumplen con los estándares de estas normativas se tratan como bicicletas. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículo 2 de la Ley de Tráfico Vial y Reglamento de Aplicación de la Ley de Tráfico Circulante Artículo 1-3: Definiciones que sirven de base para distinguir entre bicicletas asistidas eléctricamente y bicicletas motorizadas.
37,"Las bicicletas equipadas con frenos solo en una de las partes delantera y trasera no pueden cumplir con los requisitos de rendimiento de frenado del Artículo 63-9 de la Ley de Tráfico Vial, por lo que pueden considerarse una infracción.",Principiante,Reglas básicas,〇,"Este artículo requiere bicicletas equipadas con ""sistemas de frenado, etc."", siempre que existan dispositivos de frenado efectivos tanto en las ruedas delanteras como traseras. Reglamentos de Aplicación de la Ley de Tráfico Vial","Artículo 63-9, párrafo 1 de la Ley de Tráfico Viario: Base legal para establecer normas para dispositivos de frenado (frenos) en bicicletas."
38,Los equipos reflectantes de bicicleta deben tener un rendimiento que permita confirmar fácilmente la reflexión desde la posición iluminada cuando se ilumina desde 100 metros por los faros desde la noche.,Principiante,Reglas básicas,〇,"Este es un requisito explícitamente establecido en el Artículo 9-4, Punto 1 del Reglamento de Ejecución. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículo 9-4 del Reglamento de Aplicación de la Ley de Tráfico: Los equipos reflectantes deben tener un rendimiento que permita confirmar la reflexión cuando se iluminan con faros desde una distancia de 100 metros detrás durante la noche.
39,No se permiten carriles para motocicletas señalizados por señales de tráfico y otros medios para que las bicicletas o vehículos motorizados entren y pasen.,Principiante,acto peligroso,〇,"Los carriles bici son carriles dedicados a vehículos ligeros, como bicicletas, y otros vehículos tienen prohibido el paso. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","Artículos 17 y 63-3 de la Ley de Tráfico Viario: Los carriles bici son pasillos para bicicletas y uso similar, y no se permite el paso de bicicletas y automóviles motorizados."
40,"Según el Artículo 2, párrafo 3 de la Ley de Tráfico Vial, cualquier persona que empuje una bicicleta mientras camina se considera peatón.",Principiante,Reglas básicas,〇,"Este artículo estipula que una persona que empuja un vehículo mientras camina se considera peatón, y esto también se aplica a las bicicletas. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","El artículo 2, párrafo 3 de la Ley de Tráfico Vial estipula que cualquier persona que empuje un vehículo mientras camina será tratada como peatón."
41,"Cerca de una zona de cruce para bicicletas, las bicicletas deben cruzar la carretera usando la zona de cruce para bicicletas.",Principiante,Reglas básicas,〇,Estas son las normas básicas para el paso de bicicletas basadas en los artículos 25-2 y 63-6 de la Ley de Tráfico Vial. Reglamento de Aplicación 7 de la Ley de Tráfico Vial,"Artículos 25-2 y 63-6 de la Ley de Tráfico Vial: En los lugares con pasos a nivel para bicicletas, debes cruzar la carretera utilizando esos pasos a nivel."
42,"La bicicleta en paralelo está prohibida por los artículos 19 y 63-5 de la Ley de Tráfico Vial, salvo en secciones específicamente permitidas por señales de tráfico.",Principiante,acto peligroso,〇,"En principio, está prohibido que los vehículos ligeros paralelos, incluidas las bicicletas, y solo se permita excepcionalmente mediante señalización. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","Artículos 19 y 63-5 de la Ley de Tráfico Viario: El movimiento paralelo de vehículos ligeros (bicicletas) está generalmente prohibido, con excepciones solo cuando lo permitan señales, etc."
43,"El número de bebés autorizados para montar en bicicleta y la estructura de asientos están restringidos por el artículo 63-4 de la Ley de Tráfico Vial y las normas detalladas de cada prefectura, por lo que no se permiten viajes ilimitados.",Principiante,acto peligroso,〇,"El número y la disposición de los asientos infantiles, así como el número de bebés que pueden pasar, están establecidos por leyes y normativas. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículo 63-4 de la Ley de Tráfico por Carretera: La base legal para el número de personas permitidas en bicicletas y sillas infantiles.
44,"Al circular por carreteras de noche, las bicicletas deben tener los faros encendidos y equipados con pilotos traseros o equipos reflectantes que cumplan con el artículo 9-4 de las normativas de aplicación.",Principiante,Reglas básicas,〇,"Esta es una obligación respecto a la iluminación y los equipos reflectantes basada en el artículo 52 y el artículo 63-9, párrafo 2 de la Ley de Tráfico Vial. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","Artículo 52, artículo 63-9, párrafo 2 de la Ley de Tráfico Vial: Disposiciones sobre la base de las obligaciones de iluminación nocturna y la obligación de equipar las bicicletas con dispositivos reflectantes o luces traseras."
45,"Según la Ley de Tráfico Vial, las bicicletas se definen como vehículos ligeros.",Principiante,Reglas básicas,〇,"Las bicicletas están clasificadas como vehículos ligeros según el Artículo 2, Párrafo 1, Punto 11 de la Ley de Tráfico Vial y están sujetas a diversas obligaciones relacionadas con el vehículo. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","Artículo 2, párrafo 1, punto 11 de la Ley de Tráfico Viario: Las bicicletas se definen como vehículos ligeros."
46,Generalmente se requiere que las bicicletas se desplacen hacia el borde izquierdo de la calzada.,Principiante,Reglas básicas,〇,"Según los artículos 17 y 63-3 de la Ley de Tráfico Vial, las bicicletas están obligadas a circular por el borde izquierdo de la calzada. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","Artículos 17 y 63-3 de la Ley de Tráfico Viario: Las bicicletas, que son vehículos ligeros, deben, en principio, circular por el extremo izquierdo de la calzada."
47,"Incluso si vas en bicicleta, conducir por el lado derecho de la carretera (lo que se llama conducir en sentido contrario) es una violación de la Ley de Tráfico Vial.",Principiante,acto peligroso,〇,"Las bicicletas, que son vehículos ligeros, también están obligadas a circular por el lado izquierdo como vehículos, y circular por el lado derecho generalmente no está permitido. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",El artículo 17 de la Ley de Tráfico Vial prohíbe ir en bicicleta por el lado derecho de la carretera (conducir en sentido contrario).
48,"Cuando una bicicleta pasa por una acera, debe avanzar despacio con prioridad peatonal y no debe obstruir el paso peatonal.",Principiante,acto peligroso,〇,"Según el Artículo 63-4 de la Ley de Tráfico Vial, las bicicletas están obligadas a tener prioridad peatonal y a reducir la velocidad al circular por las aceras. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","Artículo 63-4 de la Ley de Tráfico Vial: Cuando circulan por aceras, las bicicletas están obligadas a tener prioridad peatonal y a conducir despacio."
49,"Las bicicletas también se consideran vehículos ligeros y deben respetar los semáforos, y proceder con semáforos en rojo se considera ignorar el semáforo y está sujeto a sanciones.",Principiante,acto peligroso,〇,"El artículo 7 de la Ley de Tráfico Circulatorio exige que todos los vehículos cumplan con ello, y las bicicletas no son una excepción. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","Artículo 7, Artículo 2, Párrafo 1, Punto 11 de la Ley de Tráfico Viario: Los vehículos ligeros, incluidas las bicicletas, deben seguir la señal del número del vehículo."
50,"En los cruces con señales de stop, también se requiere que las bicicletas se detengan por completo.",Principiante,acto peligroso,〇,"La obligación de frenar según el artículo 43 de la Ley de Tráfico Vial también se aplica a las bicicletas, que son vehículos ligeros. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículos 43 y 63-3 de la Ley de Tráfico Viario: La obligación de detenerse en intersecciones con señales de stop también se extiende a las bicicletas.
51,Conducir con paraguas o con una sola mano también puede estar sujeto a directrices y control para bicicletas como infracciones de las obligaciones de conducción segura.,Principiante,acto peligroso,〇,"Estos se establecen claramente como elementos de cumplimiento por cada sede de inspección y, en caso de accidente, se consideran una negligencia grave. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículo 70 de la Ley de Tráfico Vial: Conducir con una mano o usar un paraguas se considera una violación del deber de conducción segura y está sujeto a aplicación en varias regiones.
52,Conducir sin encender los faros de la bicicleta por la noche se considera una violación del deber de iluminación y está sujeto a sanciones.,Principiante,Sanciones y responsabilidades,〇,"Esto viola el deber de usar luces según el Artículo 52 de la Ley de Tráfico, y se está aplicando la aplicación de la ley contra conducir sin luces en varias regiones. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículos 52 y 120 de la Ley de Tráfico Vial: Conducir sin luces de noche se considera una violación del deber de llevar la luz y está sujeto a sanciones.
53,"Montar en bicicleta en dos personas está generalmente prohibido por la Ley de Tráfico Vial, salvo excepciones como las bicicletas usadas por niños que van con niños.",Principiante,acto peligroso,〇,"Desde el punto de vista de la seguridad, no se permite sentarse salvo cuando los asientos o estructuras sean adecuados. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","Artículos 57 y 63-4 de la Ley de Tráfico Viario: Generalmente está prohibido montar en bicicleta en dos personas, salvo excepciones como bicicletas que lleven bebés."
54,"Los carriles bici son tramos de carretera para bicicletas y vehículos similares que cumplen con los estándares y, como regla general, no se permite su uso de vehículos.",superior,Reglas básicas,〇,Los carriles bici son tramos de carretera designados para el paso en bicicleta y no están permitidos para vehículos ni vehículos similares. Ley de Tráfico Vial,Artículo 63-3 de la Ley de Tráfico Viario: Alcance de los vehículos autorizados para utilizar carriles bici.
55,"Las bicicletas, que son vehículos ligeros, pueden estar obligadas a girar a la derecha en los cruces designados por la Comisión de Seguridad Pública u otras normativas, utilizando el llamado método de giro a la derecha de dos pasos.",superior,acto peligroso,〇,"Según el Artículo 34 de la Ley de Tráfico Vial, los vehículos ligeros pueden estar obligados a realizar un giro a la derecha en dos fases, según lo especificado por la Comisión de Seguridad Pública. Ley de Tráfico Vial 7A",Ley de Tráfico Vial Artículo 34: Reglamentos sobre el método de giros a la derecha para vehículos ligeros (como giros a la derecha en dos etapas).
56,"Las bicicletas, que son vehículos ligeros, tienen su carga y peso restringidos según la estructura del dispositivo de carga y los estándares establecidos por la Comisión de Seguridad Pública.",superior,acto peligroso,〇,"Según el artículo 57-2, los métodos de carga y los límites para vehículos ligeros deben cumplir con los estándares establecidos por la Comisión de Seguridad Pública. Ley de Tráfico Vial julio al mes",El artículo 57-2 de la Ley de Tráfico Vial establece restricciones para cargar vehículos ligeros.
57,La Comisión de Seguridad Pública puede ordenar a quienes participen repetidamente en bicicletas peligrosas que asistan a cursos de formación para conductores de bicicleta.,superior,acto peligroso,〇,"Según el artículo 108-3, si se cometen repetidamente actos peligrosos especificados por la ordenanza gubernamental, se puede emitir una orden para asistir a la formación de ciclistas. Ley de Tráfico Vial 7",Artículo 108-3 de la Ley de Tráfico en Carretera: Disposiciones relativas a órdenes de asistir a cursos de formación para conductores de bicicleta.
58,"Las carreteras señalizadas con señales de 'solo peatones' no pueden pasar, en principio, mientras se va en bicicleta.",superior,Reglas básicas,〇,"Las calles peatonales son, en principio, accesibles solo para peatones, y las bicicletas se tratan como peatones empujando el paso. Ley de Tráfico Vial",Artículos 8 y 9 de la Ley de Tráfico Vial: Disposiciones relativas a la normativa de tráfico en carreteras solo peatonales.
59,"En carreteras con restricciones de tráfico de sentido único, salvo que se indique lo contrario mediante señales u otros indicativos, las bicicletas también deben circular en la dirección designada.",superior,acto peligroso,〇,"Las normativas de tráfico de sentido único también se aplican a las bicicletas, que son vehículos ligeros y deben seguir la dirección de las señales. Ley de Tráfico Vial",Artículos 8 y 17 de la Ley de Tráfico Vial: Regulaciones sobre calles de sentido único y manejo de las direcciones de circulación en bicicleta.
60,Aparcar deliberadamente una bicicleta en el centro de una carretera para obstruir el paso de otros es un acto prohibido según la Ley de Tráfico Vial.,superior,acto peligroso,〇,"El artículo 76 prohíbe actos que obstruyan el tráfico en las carreteras, y obstruir intencionadamente el paso es una infracción. Ley de Tráfico Vial",El artículo 76 de la Ley de Tráfico Vial estipula actos prohibidos en carreteras (actos de obstrucción del tráfico).
61,Aparcar deliberadamente una bicicleta en el centro de una carretera para obstruir el paso de otros es un acto prohibido según la Ley de Tráfico Vial.,superior,acto peligroso,〇,"El artículo 76 prohíbe actos que obstruyan el tráfico en las carreteras, y obstruir intencionadamente el paso es una infracción. Ley de Tráfico Vial",El artículo 76 de la Ley de Tráfico Vial estipula actos prohibidos en carreteras (actos de obstrucción del tráfico).
62,Conducir en bicicleta bajo los efectos del alcohol está prohibido por la Ley de Tráfico en Carretera.,superior,acto peligroso,〇,"Según el artículo 65, está prohibido conducir bajo los efectos del alcohol y en un estado donde conducir normalmente puede ser imposible, incluidas las bicicletas.",El artículo 76 de la Ley de Tráfico Vial estipula actos prohibidos (actos de obstrucción del tráfico) en las carreteras.
63,Montar en bicicleta mientras escuchas música a alto volumen sin oír los sonidos alrededor es muy probable que incumpla las obligaciones de conducción segura y las prácticas prohibidas por cada prefectura.,superior,acto peligroso,〇,Un estado donde no se oigan los sonidos circundantes dificulta significativamente la predicción del peligro y puede estar sujeto a la aplicación por violar las obligaciones de conducción segura. Ley de Tráfico Vial 7,Artículos 70 y 71 de la Ley de Tráfico Vial: Disposiciones relativas a obligaciones de conducción segura y actos prohibidos (como auriculares) según la definición de la Comisión de Seguridad Pública.
